ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
763,itu-320924 (1),Westminster Financial,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320924 (1).pdf,11/18/2019,41,"names and account numbers, social security numbers, or drivers' license numbers",unauthorized access to email account
764,itu-320924 (2),Westminster Financial,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320924 (2).pdf,11/18/2019,41,"names and account numbers, social security numbers, or drivers' license numbers",unauthorized access to email account
765,itu-320927,"Human Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320927.pdf,11/18/2019,3,name and limited medical info,unauthorized access to email account
766,itu-312242 (UPDATE),Drake Software,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-312242 (UPDATE).pdf,11/18/2019,,,
767,itu-320906,"Friedman Law Group, Ltd.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320906.pdf,11/15/2019,1,"names, social security numbers, addresses, photographs of identity documentation, phone numbers, and other personally identifiable information for approximately 38 individuals, primarily contained in W-2, W-4, W-9",unauthorized access to employee email account
768,itu-320907,"Wayside Technology Group, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320907.pdf,11/15/2019,22,"Social Security numbers, passport numbers, driver's license/state identification numbers, financial account information, medical/health information, and/or username and password",unauthorized access to email acount
769,itu-320921,"CAH Holdings, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320921.pdf,11/15/2019,47,"names and Social Security numbers, address, date of birth, driver's license number, health insurance number, diagnosis, and/or treatment plan",unauthorized access to email account
770,itu-320922,"Macy's, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320922.pdf,11/15/2019,"3,836","name, address, payment card info",unauthorized computer code
771,itu-320900,Psyche Systems Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320900.pdf,11/14/2019,1,"name, date of birth, Social Security number, and diagnostic data",laptops stolen during burglary
772,itu-320901,"Green Roads of Florida, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320901.pdf,11/14/2019,939,"name, payment card info",compromised administrator account in the web server
773,itu-320902,"U.S. Xpress Enterprises, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320902.pdf,11/14/2019,175,"name,, ssn, dln",phishing
774,itu-320903,fUCL,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320903.pdf,11/14/2019,2,"name, Social Security number, bank or credit card account information, driver's license or other government ID number, or login and password information",unauthorized access to employee email account
775,itu-320899,"GFS, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320899.pdf,11/13/2019,1,"name, address, Social Security number, wage/salary information, financial account information, and date of birth.",unauthorized access to office computers
776,itu-320898 (1),"Colosimo, Ewing and Smith, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320898 (1).pdf,11/12/2019,3,"name, ssn, financial account number",unauthorized access to email account
777,itu-320898 (2),"Colosimo, Ewing and Smith, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320898 (2).pdf,11/12/2019,3,"name, ssn, financial account number",unauthorized access to email account
778,ITU-318910 (UPDATE),"Marriott, International",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-318910 (UPDATE).pdf,11/11/2019,,,
779,itu-320893 (2),Brighthouse Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320893 (2).pdf,11/8/2019,2,"name, disability insurance number, Social Security Number,diagnosis information, billing/claims information, or other insurance information",unauthorized access to email account
780,itu-320894 (1),EmployBridge,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320894 (1).pdf,11/8/2019,3,"name, ssn",unauthorized access
781,itu-320894 (2),EmployBridge,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320894 (2).pdf,11/8/2019,3,"name, ssn",unauthorized access
782,itu-320895 (1),Chesapeake Bank of Maryland,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320895 (1).pdf,11/8/2019,37,personal information,unauthorized access
783,itu-320895 (2),Chesapeake Bank of Maryland,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320895 (2).pdf,11/8/2019,37,personal information,unauthorized access
784,itu-320895,Chesapeake Bank of Maryland,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320895.pdf,11/8/2019,37,personal information,unauthorized access
785,itu-320896,Yale New Haven Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320896.pdf,11/8/2019,24,"name, bank account number, and Social Security number",data potentially accessible via intranet
786,itu-320897,"Arizona Dental Insurance Service, Inc. d.b.a. Delta Dental of Arizona",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320897.pdf,11/8/2019,22,"name, ssn, Member ID, Subscriber ID, date of birth, and/or dental insurance information",unauthorized access to email account
787,itu-320966,First Aid Beauty Limited,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320966.pdf,11/8/2019,,,
788,itu-320893 (1),Brighthouse Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320893 (1).pdf,11/8/2019,2,"name, disability insurance number, Social Security Number,diagnosis information, billing/claims information, or other insurance information",unauthorized access to email account
789,itu-320889 (1),"Aegis Medical Group, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320889 (1).pdf,11/7/2019,4,"name, ssn, dob, account number, diagnosis",improper access by employee
790,itu-320889 (2),"Aegis Medical Group, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320889 (2).pdf,11/7/2019,4,"name, ssn, dob, account number, diagnosis",improper access by employee
791,itu-320890,"Golden Entertainment, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320890.pdf,11/7/2019,779,"name, Social Security number, driver's license number, passport number, and financial account numbers",phishing
792,itu-320891,Legg Mason Global Asset Management,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320891.pdf,11/7/2019,1,"name, address, date of birth, account number, fund holdings and market value, email address, phone number, and Social Security number/tax identification number",employee inadvertently provided access to a file containing info
793,itu-320887,Cato Networks,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320887.pdf,11/6/2019,1,name and information contained on that person's Form W-2 including Social Security number,unauthorized access to email account
794,itu-320888,Healthcare Administrative Partners,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320888.pdf,11/6/2019,,,
795,itu-318135,Wolff Shoe Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318135.pdf,11/6/2019,119,customer credit and debit card information,Suspicious activity on its website by unauthorized person
796,itu-318301,"Kestler Financial Group, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318301.pdf,11/6/2019,12,"names, soc sec #, drivers' license numbers and/or financial information",unauthorized access to email
797,itu-320879 (1),"Metalcraft, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320879 (1).pdf,11/5/2019,70,"Employee Name, Date of Birth, Emergency Contact Information, Home Address, Employee Phone Number(s), Email Address, Social Security Number, Salary and 401k Participant ID",unauthorized access
798,itu-320879 (2),"Metalcraft, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320879 (2).pdf,11/5/2019,70,"Employee Name, Date of Birth, Emergency Contact Information, Home Address, Employee Phone Number(s), Email Address, Social Security Number, Salary and 401k Participant ID",unauthorized access
799,itu-320886,"Jones Street Residential, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320886.pdf,11/5/2019,3,"name, address, Social Security number and/or financial account information",unauthorized access to email account
800,itu-320877 (1),Massachusetts Mutual Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320877 (1).pdf,11/4/2019,1,"name, mailing address, driver's license number, date of birth, policy number, telephone number, and email address and health informatio",info mailed to wrong recipient
801,itu-320877 (2),Massachusetts Mutual Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320877 (2).pdf,11/4/2019,1,"name, mailing address, driver's license number, date of birth, policy number, telephone number, and email address and health informatio",info mailed to wrong recipient
802,itu-320883,Progressive Pipeline,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320883.pdf,11/4/2019,1,"Social Security number, U.S. Alien Registration number, and finger print",unauthorized access to email account
803,itu-320884 (1),Beatitudes Campus,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320884 (1).pdf,11/4/2019,2,"names, social security numbers, and medical information",unauthorized access to email account
804,itu-320884 (2),Beatitudes Campus,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320884 (2).pdf,11/4/2019,2,"names, social security numbers, and medical information",unauthorized access to email account
805,itu-320885,Pennsylvania Real Estate Investment Trust (PREIT),http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320885.pdf,11/4/2019,66,"name, ssn, dln",phishing email
806,itu-301400 (UPDATE),TradeMotion,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-301400 (UPDATE).pdf,11/4/2019,,,
807,itu-318302,"Canto, Rausch, Deck & Co., P.A.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318302.pdf,11/1/2019,517,"names, Social Security numbers, driver's license numbers, passport numbers, financial account information, payment card information, and other tax-related information.",email phishing
808,itu-318303,"TQ Banking, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318303.pdf,11/1/2019,1,"name, soc sec # and medical info",unauthorized actor accessed employee email account
809,itu-320858,Select Health Network,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320858.pdf,11/1/2019,2,"name, ssn",unauthorized access to employee email account
810,itu-320860 (UPDATE),South Florida PBS,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320860 (UPDATE).pdf,11/1/2019,2,"name, financial account info, ssn",unauthorized access to employee accounts
811,itu-320860,South Florida PBS,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320860.pdf,11/1/2019,2,"name, financial account info, ssn",unauthorized access to employee accounts
812,itu-320870,Juniata College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320870.pdf,11/1/2019,96,"name, Social Security number, Driver's License number, medical information, and passport number",unauthorized access to email accounts
813,itu-320872 (1),Northwestern Health Sciences University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320872 (1).pdf,11/1/2019,1,"name, ssn",unauthorized access to email
814,itu-320872 (2),Northwestern Health Sciences University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-320872 (2).pdf,11/1/2019,1,"name, ssn",unauthorized access to email
815,itu-315475 (UPDATE),Attunity,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-315475 (UPDATE).PDF,11/1/2019,,,
816,itu-318909 (update),Prisma Health Midlands,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318909 (update).pdf,10/31/2019,24,"name, date of birth, social security number, address, and health information",compromised login credentials
817,ITU-318909,Prisma Health Midlands,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-318909.pdf,10/31/2019,24,"name, date of birth, social security number, address, and health information",compromised login credentials
818,itu-318306,CoverHound,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318306.pdf,10/30/2019,,,
819,itu-318307(1),"Amerman, Ginder & Co",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318307(1).pdf,10/30/2019,3,"name, Social Security number, and for one individual involved, financial account number.",unauthorized access
820,itu-318307(2),"Amerman, Ginder & Co",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-318307(2).pdf,10/30/2019,3,"name, Social Security number, and for one individual involved, financial account number.",unauthorized access
821,ITU-318910,"Marriott International, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-318910.pdf,10/30/2019,42,"name, address, ssn",unauthorized access to vendor network
822,ITU-318911,"T. Rowe Price Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/ITU-318911.pdf,10/29/2019,4,"name, address, ssn, dob",error in online account application allowing unauthorized access
