Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
"Michael T. Dulin, CPA PA",GENERAL BUSINESS,3/28/2018,2/23/2018,HACKERS/ UNAUTHORIZED,1460,1314
Mintie Corporation,GENERAL BUSINESS,3/27/2018,2/16/2018,HACKERS/ UNAUTHORIZED,349,2
Bigfoot Gun Belts,GENERAL BUSINESS,3/27/2018,2/1/2018,HACKERS/ UNAUTHORIZED,4141,167
Bronson Nutrtionals LLC,GENERAL BUSINESS,3/19/2018,12/13/2017,HACKERS/ UNAUTHORIZED,25450,533
Manduka,GENERAL BUSINESS,3/27/2018,2/25/2018,HACKERS/ UNAUTHORIZED,64279,1297
"The Hanover Insurance Company and its subsidiary and affiliate insurance companies (""The Hanover"")",FINANCIAL SERVICES/ INSURANCE,3/26/2018,2/26/2018,HACKERS/ UNAUTHORIZED ACCESS,13600,31
"Ross, Langan, & McKendree LLP",GENERAL BUSINESS,3/26/2018,2/26/2018,PHISHING,149,4
Pro World Inc.,GENERAL BUSINESS,3/26/2018,2/25/2018,HACKERS/ UNAUTHORIZED,28,1
"NWAM, LLC dba Northwest Asset Management, dba RIA Innovations",FINANCIAL SERVICES/ INSURANCE,3/26/2018,2/28/2018,PHISHING,531,4
Carolinas Construction Solutions,GENERAL BUSINESS,3/26/2018,3/21/2018,RELEASE/ DISPLAY OF INFO,5,1
Squire Patton Boggs (US) LLP,GENERAL BUSINESS,3/26/2018,1/31/2018,RELEASE/ DISPLAY OF INFO,256,2
Enterprise Leasing Company Southeast LLC DBA Enterprise Car Sales,GENERAL BUSINESS,3/26/2018,3/12/2018,LOST IN TRANSIT,9,9
UnitedHealthcare,HEALTHCARE,3/26/2018,2/19/2018,RELEASE/ DISPLAY OF INFO,3327,216
"Teal, Becker & Chiaramonte, CPAs PC",GENERAL BUSINESS,3/24/2018,2/21/2018,"HACKERS/ UNAUTHORIZED, ACCESS",5576,23
"NFP Property & Casualty Services, Inc.",FINANCIAL SERVICES/INSURANCE,3/23/2018,3/13/2018,PHISHING,573,3
Cortland Capital Market Services LLC,FINANCIAL SERVICES/INSURANCE,3/23/2018,2/1/2018,PHISHING,1199,80
Vidant Medical Group,HEALTHCARE,3/23/2018,1/3/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",122,121
"King & Associates CPA, P.C.",GENERAL BUSINESS,3/23/2018,2/16/2018,HACKERS/ UNAUTHORIZED,2009,6
"Hurst & Langlinais, Ltd.",FINANCIAL SERVICES/INSURANCE,3/22/2018,2/26/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2113,3
SAMBA Federal Employee Benefit Association,RELIGIOUS/NONPROFIT,3/22/2018,2/22/2017,RELEASE/ DISPLAY OF INFO,13851,453
4 Ever Life Insurance Company,HEALTHCARE,3/22/2018,2/1/2018,PHISHING,3,2
"WTT, Inc. dba Radius Travel",GENERAL BUSINESS,4/17/2017,4/14/2017,PHISHING,1,1
"Clinical Pathology Laboratories Southeast, Inc.",HEALTHCARE,3/21/2018,9/20/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",42720,48
Orbitz,GENERAL BUSINESS,3/21/2018,3/1/2018,HACKERS/ UNAUTHORIZED,328612,6614
Columbus Surgery Center LLC,HEALTHCARE,12/7/2017,10/9/2017,HACKERS/ UNAUTHORIZED,7221,3
"NHL Enterprises, LP",GENERAL BUSINESS,8/30/2017,8/3/2017,HACKERS/ UNAUTHORIZED,1,1
Builders Capital,GENERAL BUSINESS,10/23/2017,8/14/2017,HACKERS/ UNAUTHORIZED,1,1
"Eye Physicians, PC",HEALTHCARE,12/7/2017,10/9/2017,HACKERS/ UNAUTHORIZED,2620,1
Charles Schwab Retirement Plan Services (SRPS),FINANCIAL SERVICES/INSURANCE,3/20/2018,2/28/2018,RELEASE/ DISPLAY OF INFO,37,2
Cumberland County Hospital System Inc. d/b/a Cape Fear Valley Health System,HEALTHCARE,3/15/2018,1/26/2018,HACKERS/ UNAUTHORIZED ACCESS,1,1
Brazos Higher Education Service Corporatio,FINANCIAL SERVICES/INSURANCE,12/21/2017,11/27/2017,RELEASE/ DISPLAY OF INFO,500,11
SESAC,GENERAL BUSINESS,3/16/2018,11/7/2017,HACKERS/ UNAUTHORIZED,42,2
Clarfeld Financial Advisors,FINANCIAL SERVICES/INSURANCE,3/16/2018,3/9/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1178,8
The Fireman Hospitality Group and its affiliated restaurants and corporate offices,GENERAL BUSINESS,3/16/2018,3/5/2018,PHISHING,1685,1
Inn on Biltmore Estate and Village Hotel on Biltmore Estate,GENERAL BUSINESS,1/2/2018,12/21/2017,"HACKERS/ UNAUTHORIZED, ACCESS",148,148
Belmont Savings Bank,FINANCIAL SERVICES/INSURANCE,2/1/2018,12/1/2017,RELEASE/ DISPLAY OF INFO,1,1
"Aperio Group, LLC's",GENERAL BUSINESS,1/26/2018,1/11/2018,PHISHING,57,57
Aberdeen Proving Ground Federal Credit Union,FINANCIAL SERVICES/INSURANCE,1/25/2018,1/5/2018,RELEASE/ DISPLAY OF INFO,3,3
TruPoint Bank,FINANCIAL SERVICES/INSURANCE,3/15/2018,1/11/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",14,13
"Island Outdoor, LLC",GENERAL BUSINESS,3/15/2018,2/23/2018,HACKERS/ UNAUTHORIZED,979,30
"Draper and Kramer, Inc.",FINANCIAL SERVICES/INSURANCE,3/14/2018,1/24/2018,PHISHING,3000,14
Chalavoutis & Associates LLC,FINANCIAL SERVICES/INSURANCE,3/14/2018,2/18/2018,"HACKERS/ UNAUTHORIZED, ACCESS",497,10
Darden Restaurants,GENERAL BUSINESS,3/14/2018,1/11/2018,RELEASE/ DISPLAY OF INFO,48,7
Nampa School District,EDUCATIONAL,3/14/2018,2/14/2018,HACKERS/ UNAUTHORIZED,4054,2
UPS,GENERAL BUSINESS,3/14/2018,2/19/2018,RELEASE/ DISPLAY OF INFO,2395,39
Ithaca College,EDUCATIONAL,3/14/2018,11/28/2017,PHISHING,143,3
Invacare Corporation,GENERAL BUSINESS,3/14/2018,3/6/2018,PHISHING,187,3
Rotary International,RELIGIOUS/NONPROFIT,3/13/2018,1/23/2018,PHISHING,1776,9
Port of Longview,GOVERNMENT,3/13/2018,2/2/2018,HACKERS/ UNAUTHORIZED,402,1
Inphi Corporation,GENERAL BUSINESS,3/13/2018,3/5/2018,PHISHING,451,7
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,3/14/2018,2/13/2018,"HACKERS/ UNAUTHORIZED, ACCESS",164,164
Southpoint Financial Services,FINANCIAL SERVICES/INSURANCE,3/12/2018,1/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1421,11
"Dodge City Cooperative Exchange, Inc.",GENERAL BUSINESS,3/12/2018,2/21/2018,PHISHING,267,3
"TravCorp USA, Inc. (Company does not own but maintain the information)",GENERAL BUSINESS,3/12/2018,2/26/2018,HACKERS/ UNAUTHORIZED ACCESS,812,4
"CNU Online Holdings, LLC and its subsidiaries, collectively d/b/a NetCredit",FINANCIAL SERVICES/INSURANCE,3/13/2018,2/20/2018,"HACKERS/ UNAUTHORIZED, ACCESS",3011,38
United Services Automobile Association,FINANCIAL SERVICES/INSURANCE,3/13/2018,2/27/2018,RELEASE/ DISPLAY OF INFO,3,3
The University of North Carolina at Chapel Hill,EDUCATIONAL,3/9/2018,2/5/2018,RELEASE/ DISPLAY OF INFO,2,2
"Citibank, N.A.",FINANCIAL SERVICES/INSURANCE,3/5/2018,2/20/2018,"HACKERS/ UNAUTHORIZED, ACCESS",20,1
"Anchor Fund, LLC",FINANCIAL SERVICES/INSURANCE,3/9/2018,2/7/2018,RELEASE/ DISPLAY OF INFO,485,2
Academy Mortgage,GENERAL BUSINESS,3/9/2018,1/24/2018,HACKERS/ UNAUTHORIZED,268,6
"Neil D. Dilorenzo, CPA, P.C.",FINANCIAL SERVICES/INSURANCE,3/9/2018,1/13/2018,"HACKERS/ UNAUTHORIZED, ACCESS",963,1
Nova Southeastern University,EDUCATIONAL,3/9/2018,2/9/2018,HACKERS/ UNAUTHORIZED,152,2
Quanta Technology LLC,GENERAL BUSINESS,3/9/2018,3/2/2018,PHISHING,55,26
"Insight Private Advisors, LLC dba Hampton Square Wealth",FINANCIAL SERVICES/INSURANCE,3/9/2018,2/14/2018,"HACKERS/ UNAUTHORIZED, ACCESS",55,1
"Chopra Enterprises, LLC",GENERAL BUSINESS,3/7/2018,1/2/2018,HACKERS/ UNAUTHORIZED,614,11
"California State University, Fresno",EDUCATIONAL,3/6/2018,1/12/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",10777,62
CHROME Federal Credit Union,FINANCIAL SERVICES/INSURANCE,3/6/2018,1/18/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",3122,6
"Interstate Plastics, Inc.",GENERAL BUSINESS,3/6/2018,12/23/2017,HACKERS/ UNAUTHORIZED,1031,24
"ISS Solutions, Inc",HEALTHCARE,3/6/2018,1/23/2018,HACKERS/ UNAUTHORIZED,2295,5
"Lydia Security Monitoring, d/b/a COPS Monitoring",GENERAL BUSINESS,3/5/2018,2/15/2018,PHISHING,2260,1
Badger Daylighting Ltd.,GENERAL BUSINESS,3/5/2018,2/13/2018,RELEASE/ DISPLAY OF INFO,92,1
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,3/5/2018,2/4/2018,"HACKERS/ UNAUTHORIZED, ACCESS",147,147
Cruzstar LLC.,GENERAL BUSINESS,3/5/2018,11/28/2017,HACKERS/ UNAUTHORIZED,28740,323
"Waccamaw Management, LLC",FINANCIAL SERVICES/INSURANCE,3/5/2018,2/27/2018,RELEASE/ DISPLAY OF INFO,195,3
CDG Engineers & Associates,GENERAL BUSINESS,3/5/2018,2/7/2018,HACKERS/ UNAUTHORIZED,536,2
Esther V. Rettig M.D. P.A.,HEALTHCARE,3/2/2018,1/2/2018,HACKERS/ UNAUTHORIZED,13500,1
GHG Greyhealth Group LLC,GENERAL BUSINESS,3/2/2018,2/6/2018,PHISHING,683,1
"SDI, Inc.",GENERAL BUSINESS,3/2/2018,2/12/2018,PHISHING,409,4
Fairchild Maddox & Leonidas,FINANCIAL SERVICES/INSURANCE,3/2/2018,2/7/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2365,1
"Honest Dollar, LLC",FINANCIAL SERVICES/INSURANCE,3/2/2018,2/10/2018,RELEASE/ DISPLAY OF INFO,18,1
Preferred Hotel & Resorts,GENERAL BUSINESS,3/2/2018,1/25/2018,HACKERS/ UNAUTHORIZED,9182,100
"Remington Hotels, LLC",GENERAL BUSINESS,3/2/2018,2/1/2018,PHISHING,313,1
"H Street Building Corp. and Universal Building, Inc.",GENERAL BUSINESS,3/2/2018,1/29/2018,RELEASE/ DISPLAY OF INFO,117,2
Parkway Corporation,GENERAL BUSINESS,3/2/2018,2/21/2018,PHISHING,589,1
"Cary E. Williams, CPA",FINANCIAL SERVICES/INSURANCE,3/2/2018,1/29/2018,"HACKERS/ UNAUTHORIZED, ACCESS",7690,15
"Know Bio, LLC",GENERAL BUSINESS,3/2/2018,2/7/2018,PHISHING,14,14
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,3/2/2018,2/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",175,175
Centris Federal Credit Union,FINANCIAL SERVICES/INSURANCE,3/1/2018,11/1/2015,"HACKERS/ UNAUTHORIZED, ACCESS",12049,26
Gap Inc,GENERAL BUSINESS,3/1/2018,2/16/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",600,16
"Beachbody, LLC",GENERAL BUSINESS,3/1/2018,2/2/2018,RELEASE/ DISPLAY OF INFO,920,27
WakeMed Health & Hospital,HEALTHCARE,3/1/2018,11/30/2017,HACKERS/ UNAUTHORIZED,1,1
WakeMed Health and Hospital,HEALTHCARE,3/1/2018,11/28/2017,HACKERS/ UNAUTHORIZED,3,3
Lincoln National Life Insurance Company,FINANCIAL SERVICES/INSURANCE,3/1/2018,2/20/2018,RELEASE/ DISPLAY OF INFO,1,1
Principal Life Insurance Company,FINANCIAL SERVICES/INSURANCE,3/1/2018,1/31/2018,RELEASE/ DISPLAY OF INFO,870,6
Optimal Health Chiropractic,HEALTHCARE,2/28/2018,11/27/2017,RELEASE/ DISPLAY OF INFO,2,2
Catawba County,GOVERNMENT,2/28/2018,10/18/2017,HACKERS/ UNAUTHORIZED,9182,8280
OneMain Financial,FINANCIAL SERVICES/INSURANCE,2/28/2018,12/29/2017,RELEASE/ DISPLAY OF INFO,9,1
St. Peter's Ambulatory Surgery Center d/b/a St. Peter's Surgery & Endoscopy Center,HEALTHCARE,2/28/2018,1/8/2018,HACKERS/ UNAUTHORIZED ACCESS,20027,7
The Renaissance Companies,GENERAL BUSINESS,2/28/2018,9/22/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",33,3
"IKEA North America Services,",GENERAL BUSINESS,2/28/2018,2/5/2018,RELEASE/ DISPLAY OF INFO,342,13
"Offit Capital Advisors, LLC",FINANCIAL SERVICES/INSURANCE,2/28/2018,1/24/2018,PHISHING,54,1
Innovate HR,GENERAL BUSINESS,2/28/2018,2/15/2018,RELEASE/ DISPLAY OF INFO,931,171
"ASI Constructors, Inc.",GENERAL BUSINESS,2/28/2018,1/31/2018,PHISHING,336,22
"NBT Bank, N.A.",FINANCIAL SERVICES/INSURANCE,2/28/2018,1/31/2018,RELEASE/ DISPLAY OF INFO,62,1
The Kraft Heinz Company,GENERAL BUSINESS,2/28/2018,1/19/2018,RELEASE/ DISPLAY OF INFO,177,6
FastHealth Corporation,GENERAL BUSINESS,2/27/2018,11/2/2017,HACKERS/ UNAUTHORIZED,657529,10626
"Servis One, Inc. dba BSI Financial Services",FINANCIAL SERVICES/INSURANCE,2/27/2018,1/10/2018,"HACKERS/ UNAUTHORIZED, ACCESS",15,5
Metro Wire Rope Corporation,GENERAL BUSINESS,2/27/2018,11/27/2017,PHISHING,108,1
Mercy Health Love County Hospital and Clinic,HEALTHCARE,2/27/2018,12/27/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",14229,9
ASCD,RELIGIOUS/NONPROFIT,2/27/2018,2/20/2018,PHISHING,192,4
"Brightworth, LLC",FINANCIAL SERVICES/INSURANCE,2/27/2018,1/17/2018,PHISHING,3,1
"FullContact, Inc",GENERAL BUSINESS,2/26/2018,2/9/2018,RELEASE/ DISPLAY OF INFO,42,1
MoneyGram International Inc.,FINANCIAL SERVICES/INSURANCE,2/26/2018,2/2/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",81,3
Bed Bath & Beyond Inc.,GENERAL BUSINESS,2/26/2018,1/7/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",153,5
University of Wisconsin- Superior Foundation,EDUCATIONAL,2/26/2018,2/5/2018,RELEASE/ DISPLAY OF INFO,3734,22
Mueller CPA,FINANCIAL SERVICES/INSURANCE,2/23/2018,1/31/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2921,12
ACTIVE Network,GENERAL BUSINESS,2/23/2018,1/25/2018,HACKERS/ UNAUTHORIZED,207,1
North 40 Outfitters,GENERAL BUSINESS,2/23/2018,1/10/2018,HACKERS/ UNAUTHORIZED,14734,326
"Winston, Williams, Creech, Evans & Company",GENERAL BUSINESS,2/23/2018,2/5/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1450,1395
"Santa Cruz Biotechnology, Inc.",GENERAL BUSINESS,2/22/2018,12/18/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2809,4
Department Of Commerce - Division of Employment,GOVERNMENT,2/22/2018,2/9/2018,RELEASE/ DISPLAY OF INFO,1,1
Paraco Gas Corporation,GENERAL BUSINESS,2/22/2018,12/15/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",130,1
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,2/22/2018,1/24/2018,"HACKERS/ UNAUTHORIZED, ACCESS",59,59
"Makeup Geek, LLC",GENERAL BUSINESS,2/21/2018,12/18/2017,HACKERS/ UNAUTHORIZED,2385,55
Riverside Logistics Services,GENERAL BUSINESS,2/20/2018,2/5/2018,PHISHING,142,1
OneMain Financial,FINANCIAL SERVICES/INSURANCE,2/20/2018,1/19/2018,LOST IN TRANSIT,1,1
Trimont Real Estate Advisors,FINANCIAL SERVICES/INSURANCE,2/19/2018,2/6/2018,PHISHING,6,4
"Cascade Health Services, LLC",GENERAL BUSINESS,2/19/2018,1/26/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",700,2
American Neighborhood Mortgage Acceptance Company LLC d/b/a AnnieMac Home Mortgage,FINANCIAL SERVICES/ INSURANCE,2/19/2018,9/20/2017,PHISHING,109,4
Wesley Enhanced Living,HEALTHCARE,2/16/2018,1/29/2018,RELEASE/ DISPLAY OF INFO,300,1
"Jemison Internal Medicine, PC",HEALTHCARE,2/16/2018,12/20/2017,HACKERS/ UNAUTHORIZED,6550,4
"Navistar, Inc.",GENERAL BUSINESS,2/16/2018,1/31/2018,RELEASE/ DISPLAY OF INFO,253,6
Marriott International Inc.,GENERAL BUSINESS,2/16/2018,2/5/2018,HACKERS/ UNAUTHORIZED,27,3
Country Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,2/16/2018,1/29/2018,LOST IN TRANSIT,1418,5
"Novozymes US, Inc.",GENERAL BUSINESS,2/15/2018,1/11/2018,PHISHING,158,45
Balasa Dinverno Foltz LLC,FINANCIAL SERVICES/INSURANCE,2/15/2018,2/11/2018,PHISHING,76,1
The Saint Louis Trust Company,FINANCIAL SERVICES/INSURANCE,2/15/2018,1/24/2018,PHISHING,90,1
Dollar General Corporation,GENERAL BUSINESS,2/15/2018,1/15/2018,RELEASE/ DISPLAY OF INFO,43,2
"LendKey Technologies, Inc.",FINANCIAL SERVICES/INSURANCE,2/15/2018,12/21/2017,RELEASE/ DISPLAY OF INFO,6403,152
UNC Health Care,HEALTHCARE,2/15/2018,1/12/2018,RELEASE/ DISPLAY OF INFO,1,1
"Hobe & Lucas Certified Public Accountants, Inc.",GENERAL BUSINESS,2/15/2018,11/17/2017,"HACKERS/ UNAUTHORIZED, ACCESS",91,1
Massachusetts Mutual Life Insurance Company,FINANCIAL SERVICES/INSURANCE,2/15/2018,2/9/2018,PHISHING,27,1
OneMain Financial,FINANCIAL SERVICES/INSURANCE,2/9/2018,1/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1253,100
Engle Martin & Associates,FINANCIAL SERVICES/INSURANCE,2/14/2018,1/3/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2508,26
Palo Alto Unified School District,EDUCATIONAL,2/14/2018,1/18/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",353,7
Flexible Benefit Service Corporation,FINANCIAL SERVICES/INSURANCE,2/14/2018,12/6/2017,PHISHING,19438,116
"Advanced Technology International, Inc.",GENERAL BUSINESS,2/14/2018,1/30/2017,RELEASE/ DISPLAY OF INFO,67,4
Hamilton Acquisition Corp. t/a Stallings Group,GENERAL BUSINESS,2/14/2018,1/29/2018,RELEASE/ DISPLAY OF INFO,7,1
"Management Services, LLC",GENERAL BUSINESS,2/14/2018,1/29/2018,RELEASE/ DISPLAY OF INFO,53,1
"AHM, Inc. on behalf of the Staybridge Suites Lexington & Holiday Inn Express New Buffalo",GENERAL BUSINESS,2/14/2018,10/27/2017,HACKERS/ UNAUTHORIZED ACCESS,244,3
Thomas Edison State University,EDUCATIONAL,2/14/2018,1/26/2018,HACKERS/ UNAUTHORIZED,557,13
"Medical Science & Computing, LLC",GENERAL BUSINESS,2/13/2018,1/29/2018,RELEASE/ DISPLAY OF INFO,137,1
Bed Bath & Beyond Inc.,GENERAL BUSINESS,2/13/2018,2/6/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",139,1
Central Islip Union Free School District,EDUCATIONAL,2/13/2018,2/1/2018,RELEASE/ DISPLAY OF INFO,1362,1
"Kingston Residence of Hickory, LLC",HEALTHCARE,2/13/2018,2/7/2018,RELEASE/ DISPLAY OF INFO,10,10
Perry & Associates CPA's A.C.,GENERAL BUSINESS,2/13/2018,1/16/2018,HACKERS/ UNAUTHORIZED,2450,9
Principal Life Insurance Company,FINANCIAL SERVICES/INSURANCE,2/13/2018,1/12/2018,RELEASE/ DISPLAY OF INFO,1,1
"Eastern Shore Rural Health, Inc.",HEALTHCARE,2/13/2018,2/2/2018,PHISHING,287,2
GOLDMAN SACHS & CO. LLC,FINANCIAL SERVICES/INSURANCE,2/12/2018,1/11/2018,PHISHING,32,2
Inspire Home Loans Inc.,FINANCIAL SERVICES/INSURANCE,2/9/2018,12/14/2017,PHISHING,2414,17
"Driscoll's, Inc.",GENERAL BUSINESS,2/9/2018,7/28/2017,PHISHING,1530,3
Connecticut Airport Authority,GOVERNMENT,2/9/2018,11/14/2017,PHISHING,144,4
Intuit Inc.,FINANCIAL SERVICES/INSURANCE,2/9/2018,1/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",31,31
City of Thomasville,GOVERNMENT,2/9/2018,2/4/2018,RELEASE/ DISPLAY OF INFO,269,269
"Kinetics Systems, Inc.",GENERAL BUSINESS,2/9/2018,2/1/2018,PHISHING,875,145
Fontainebleau Miami Beach,GENERAL BUSINESS,2/8/2018,1/13/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",158,2
"Corporate Employment Resources, Inc.",GENERAL BUSINESS,2/8/2018,1/26/2018,RELEASE/ DISPLAY OF INFO,4086,93
TrueNet Communications,GENERAL BUSINESS,2/8/2018,12/19/2017,HACKERS/ UNAUTHORIZED,161,5
Daintree Advisors LLC,FINANCIAL SERVICES/INSURANCE,2/8/2018,1/11/2018,PHISHING,74,1
"Moore Business Solutions, Inc.",FINANCIAL SERVICES/INSURANCE,2/8/2018,1/30/2018,"HACKERS/ UNAUTHORIZED, ACCESS",600,600
"XOS Technologies d/b/a XOS Digital, Inc.",GENERAL BUSINESS,2/7/2018,7/12/2017,"HACKERS/ UNAUTHORIZED, ACCESS",10,2
Vidant Medical Center,HEALTHCARE,2/7/2018,12/20/2017,RELEASE/ DISPLAY OF INFO,1,1
The City of Batavia,GOVERNMENT,2/7/2018,1/31/2018,PHISHING,268,1
"Montgomery County, Illinois",GOVERNMENT,2/7/2018,12/11/2017,PHISHING,573,1
ExamOne (a Quest Diagnostics company),GENERAL BUSINESS,2/7/2018,1/12/2018,LOST IN TRANSIT,1,1
"Trout, Ebersole & Groff LLP",FINANCIAL SERVICES/INSURANCE,2/6/2018,1/27/2018,PHISHING,626,275
CHESTNUT TAX SERVICES,GENERAL BUSINESS,2/5/2018,12/28/2017,HACKERS/ UNAUTHORIZED,1103,828
"PAR Electrical Contractors, Inc.",GENERAL BUSINESS,2/5/2018,12/22/2017,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",25500,120
OneMain Financial,FINANCIAL SERVICES/INSURANCE,2/5/2018,10/9/2017,LOST IN TRANSIT,4,4
1st Mariner Bank,FINANCIAL SERVICES/INSURANCE,2/5/2018,11/10/2018,PHISHING,1500,8
"Charles Komar & Sons, Inc.",GENERAL BUSINESS,2/5/2018,11/25/2017,HACKERS/ UNAUTHORIZED,99,2
Make-up Designory,EDUCATIONAL,2/2/2018,1/26/2018,RELEASE/ DISPLAY OF INFO,670,4
The Valerie Fund,RELIGIOUS/NONPROFIT,2/2/2018,8/30/2017,HACKERS/ UNAUTHORIZED,319,1
"Advanced Graphic Products, Inc. /dba/ ""Advanced-Online""",GENERAL BUSINESS,2/2/2018,1/3/2018,"HACKERS/ UNAUTHORIZED, ACCESS",22182,17
"Remote DBA Experts, LLC",GENERAL BUSINESS,2/2/2018,1/17/2018,PHISHING,281,55
Waldron Private Wealth,FINANCIAL SERVICES/INSURANCE,2/1/2018,1/29/2018,PHISHING,10,1
BRIGHTHOUSE LIFE INSURANCE COMPANY,FINANCIAL SERVICES/INSURANCE,2/1/2018,1/24/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1238,11
Great Eastern Resort Corporation,GENERAL BUSINESS,2/1/2018,12/15/2017,LOST IN TRANSIT,15,2
"Ventiv Technology, Inc.",GENERAL BUSINESS,2/1/2018,1/5/2018,PHISHING,239,2
Caliber Collision,GENERAL BUSINESS,2/1/2018,1/26/2018,PHISHING,29,1
Massachusetts Mutual Life Insurance Company,FINANCIAL SERVICES/INSURANCE,2/1/2018,1/22/2018,LOST IN TRANSIT,2,2
Duquesne University,EDUCATIONAL,1/31/2018,1/26/2018,RELEASE/ DISPLAY OF INFO,193,2
"Carolina Speech Pathology, LLC",HEALTHCARE,1/30/2018,1/25/2018,RELEASE/ DISPLAY OF INFO,1,0
"Cumberland County Hospital System, Inc. d/b/a Cape Fear Valley Health System",HEALTHCARE,1/25/2018,12/26/2017,RELEASE/ DISPLAY OF INFO,1,1
"Pentair Aquatic Eco Systems,",GENERAL BUSINESS,1/26/2018,1/2/2018,HACKERS/ UNAUTHORIZED,239,6
"Goldleaf Partners Services, Inc.",FINANCIAL SERVICES/INSURANCE,1/26/2018,10/31/2017,PHISHING,6020,29
"Member First Mortgage, LLC",FINANCIAL SERVICES/INSURANCE,1/26/2018,1/17/2018,PHISHING,36840,113
Metropolitan Life Insurance Company,FINANCIAL SERVICES/INSURANCE,1/26/2018,1/11/2018,"HACKERS/ UNAUTHORIZED, ACCESS",7097,84
Rogin Nassau LLC,GENERAL BUSINESS,1/25/2018,11/3/2017,PHISHING,268,2
The National Registry of Emergency Medical Technicians,RELIGIOUS/NONPROFIT,1/25/2018,12/14/2017,"HACKERS/ UNAUTHORIZED, ACCESS",843,2
Rocky Mountain Women's Health,HEALTHCARE,1/25/2018,12/4/2017,LOST IN TRANSIT,1166,1
Rosewood Hotel Group,GENERAL BUSINESS,1/19/2018,12/22/2017,HACKERS/ UNAUTHORIZED,9101,119
"SunTrust Bank, Inc.",FINANCIAL SERVICES/INSURANCE,1/25/2018,9/29/2017,RELEASE/ DISPLAY OF INFO,3,3
"KLX, Inc.",GENERAL BUSINESS,1/24/2018,1/2/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2450,13
Primerica,FINANCIAL SERVICES/INSURANCE,1/24/2018,1/2/2018,LOST IN TRANSIT,2,2
The Salvation Army of Augusta,RELIGIOUS/NONPROFIT,1/24/2018,11/7/2017,HACKERS/ UNAUTHORIZED,570,2
"Revolution Partners, LLC",FINANCIAL SERVICES/INSURANCE,1/23/2018,12/14/2017,PHISHING,228,2
"National Stores, Inc.",GENERAL BUSINESS,1/22/2018,12/22/2017,HACKERS/ UNAUTHORIZED,1,1
EASTCONN,EDUCATIONAL,1/22/2018,12/6/2017,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",194,1
Housing Authority of the City of Charlotte,GOVERNMENT,1/22/2018,1/19/2018,PHISHING,341,319
Netcracker Technology Corporation,GENERAL BUSINESS,1/22/2018,1/10/2018,PHISHING,9,1
Securadyne Systems LLC,GENERAL BUSINESS,1/19/2018,9/12/2017,HACKERS/ UNAUTHORIZED,112,1
The Coca-Cola Company,GENERAL BUSINESS,1/19/2018,11/28/2017,PHISHING,2528,26
"Mindlance, Inc.",GENERAL BUSINESS,1/19/2018,12/29/2017,HACKERS/ UNAUTHORIZED,3085,86
"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.",RELIGIOUS/NONPROFIT,1/19/2018,11/21/2017,HACKERS/ UNAUTHORIZED ACCESS,9769,67
Employer Leasing Company,GENERAL BUSINESS,1/18/2018,10/17/2017,RELEASE/ DISPLAY OF INFO,912,1
Four Seasons Hotels Limited,GENERAL BUSINESS,1/18/2018,12/15/2017,HACKERS/ UNAUTHORIZED,2116,4
