ID,Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
1655,USXpressEnterprisesInc,11/14/2019,7/1/2019,400,
1656,USXpressInc,8/1/2019,5/28/2019,3,112
1657,UnionAssociatedPhysiciansClinicLLC,1/14/2019,12/27/2018,1,1
1658,UnionBenefitPlanners,3/29/2019,11/6/2018,1,2764
1659,UnitedServicesAutomobileAssociation,7/9/2019,3/12/2019,1,1
1660,UnityHealthcare,,,,
1661,UniversalBearingsLLC,11/29/2018,6/2/2018,91,97
1662,UniversityofAlaska,6/5/2019,1/31/2018,18,7445
1663,UniversityofMary,3/12/2019,1/9/2019,1,146
1664,UniversityofNebraska,7/10/2019,6/10/2019,5,896
1665,UniversityofVermontHealthNetworkElizabethCommunityHospital,12/17/2018,10/9/2018,10,"32,000"
1666,UnumGroupColonialLifeandAccidentInsuranceCompany,1/18/2019,6/1/2018,2,2927
1667,UrbanOneInc,3/28/2019,2/28/2019,906,"18,012"
1668,USOncologyInc,5/9/2019,6/7/2018,22,5168
1669,ValleyHopeAssociation,1/18/2019,10/9/2018,67,"70,799"
1670,ValleyProfessionalsCommunityHealthCenter,1/25/2019,10/26/2018,"11,651","12,029"
1671,VegaUSLLC,12/5/2018,10/31/2017,6,135
1672,VeritivCorporation,11/19/2019,,48,"3,493"
1673,VirginiaGayHospital,8/16/2019,12/4/2018,11,"29,285"
1674,VitageneInc,8/6/2019,1/1/2015,33,"2,614"
1675,VitalizeLLC,4/24/2019,7/1/2018,5,4001
1676,VNSFederalServicesLLC,5/21/2019,4/12/2019,1,675
1677,VoltInformationSciencesInc,2/15/2019,8/6/2018,35,"9,064"
1678,WallStreetGreetings,9/12/2019,7/30/2019,6,412
1679,WashingtonDepartmentofHealth,6/3/2019,2/1/2018,1,1481
1680,WausauMedMalManagementServicesLLC,12/20/2018,11/4/2018,3,1432
1681,WaysideTechnologyGroupInc,11/15/2019,6/12/2019,4,"1,228"
1682,WeichertCompanies,7/17/2019,11/5/2017,5,"6,126"
1683,WeldallManufacturingInc,10/21/2019,6/27/2019,1,209
1684,WeldersSupplyCompany,1/7/2019,11/14/2018,22,883
1685,WelkResortGroupInc,2/22/2019,7/24/2018,7,1872
1686,WellsFargoBankNA,7/19/2019,7/3/2019,2,2
1687,WennerGroup,3/21/2019,2/15/2019,2,3062
1688,WentworthInstituteofTechnology,2/19/2019,9/8/2018,3,3926
1689,WesternTechnicalCollege,3/21/2019,5/10/2018,33,"28,835"
1690,WestminsterFinancial,11/22/2019,10/8/2019,26,"2,981"
1691,WieseUSAInc,8/1/2019,4/8/2019,5,14
1692,WilliamLyonHomesInc,5/30/2019,2/25/2019,1,397
1693,UnknownRespondent,,,,
1694,WilliamsSomomaInc,11/18/2018,9/20/2018,1,10
1695,WillitsMaddenPC,10/17/2019,7/1/2019,2,76
1696,WilmingtonUniversity,6/24/2019,4/13/2019,1,136
1697,WilsonDavisandCoInc,3/27/2019,12/4/2018,4,116
1698,WindhamProfessionalsInc,2/8/2019,12/19/2018,3,298
1699,WiseHealthSystem,7/12/2019,3/14/2019,12,"35,946"
1700,WolffShoeCompany,10/31/2019,3/11/2019,48,"5,084"
1701,WomensClinicofIndianapolis,,,,
1702,WoodRanchMedical,9/18/2019,8/10/2019,10,"5,827"
1703,WorWicCommunityCollege,6/19/2019,3/12/2019,1,"10,682"
1704,WorldReliefCorporationofNationalAssociationofEvangelicals,9/19/2019,4/4/2019,5,"2,059"
1705,WrightFoodsGroupLLCdbaCarolinaDairy,7/26/2019,3/25/2019,7,89
1706,XTRALeaseLLC,9/11/2019,,14,837
1707,YaleNewHavenHealth,11/8/2019,7/3/2019,8,"27,007"
1708,YoungMensChristianAssociationofGreaterIndianapolis,3/6/2019,1/25/2019,"4,128","4,216"
1709,YouthForChristUSAInc,10/16/2019,6/24/2019,58,873
1710,YouthVillagesDataFactsInc,1/18/2019,10/19/2018,2,316
1711,ZeroTechnologiesLLC,7/12/2019,11/4/2018,198,"11,727"
1712,ZippyShellIncorporated,7/24/2019,12/6/2018,1,442
1713,ZollServicesLLC,3/18/2019,11/8/2018,91,"277,319"
1714,ZoomInformationInc,,,,
1715,ZurichAmericanInsuranceCompany,1/22/2019,8/1/2018,2,850
1716,1800ContactsInc,11/13/2018,10/10/2018,2,150
1717,1873349OntarioInc,11/30/2018,6/1/2016,114,"74,548"
1718,1stMarinerBank,2/5/2018,9/21/2017,6,1500
1719,44North,9/25/2018,5/9/2018,8,242
1720,4AsBenefitsonBehalfofEntitiesListedinExhibit1?Data Breach,12/26/2018,12/6/2017,109,4711
1721,9WHaloOpCoLPdbaAngelica,6/7/2018,4/3/2018,2,201
1722,A.S.K.ServicesInc.,1/25/2018,1/24/2018,34,229
1723,ABCBusCompaniesInc,3/2/2018,2/16/2018,47,741
1724,Abeles&Hoffman,2/13/2018,9/26/2017,1,237
1725,AcademyMortgageCorporation,8/31/2018,5/21/2018,3,357
1726,ACECashExpressInc,12/14/2018,10/27/2018,5,4360
1727,ACTIVENetwork,2/23/2018,12/13/2016,8,207
1728,AdelmanTravelSystemsInc,10/18/2018,6/14/2018,1,48
1729,AdjutantGeneralsOfficeofIndiana,,,,
1730,AdoptaHighwayMaintenanceCorporation,12/6/2018,10/23/2018,2,405
1731,"AdvancedGraphicProducts,Inc.dbaAdvanced?Online",2/2/2018,4/29/2017,10,22.182
1732,AdvancedMedicalReviewsLLC,10/8/2018,9/1/2013,1,
1733,AdvancedTechnologyGroup,6/1/2018,10/1/2017,5,1020
1734,AEIFundManagementInc,9/28/2018,7/5/2018,9,833
1735,Aetna,1/30/2018,,1,20
1736,AetnaInc,8/17/2018,3/7/2018,4,178
1737,AffiliatedServiceProvidersofIndianaInc,8/27/2018,6/6/2018,21,25
1738,Aflac,9/28/2018,9/8/2017,5,7366
1739,AimbridgeHospitalityHoldingsLLC,6/7/2018,1/8/2018,"1,129","77,587"
1740,AirCanada,8/29/2018,8/22/2018,3,"20,000"
1741,AkinDohertyKlein&FeugePC,5/8/2018,1/1/2018,1,334
1742,AlabamaFarmCreditACA,5/1/2018,,1,574
1743,AlaskaAirlinesInc,5/4/2018,10/1/2017,12,"4,102"
1744,Allconnect,4/2/2018,2/14/2018,2,"1,854"
1745,AllStarDriverEducation,4/4/2018,3/29/2018,4,37
1746,AltonLane,1/11/2018,11/23/2016,4,1208
1747,AmericanEsotericLaboratories,4/20/2018,10/15/2017,36,"61,701"
1748,AmericanHospitalityManagement,2/14/2018,11/6/2015,126,244
1749,AmericanInstituteofAeronauticsandAstronautics,8/7/2018,6/4/2018,13,671
1750,AmericanNationalInsuranceCompany,5/25/2018,3/27/2018,69,"3,790"
1751,AmericanSocietyofAnesthesiologists,4/23/2018,3/8/2018,6,819
1752,AmeriFirstFinancialCorporation,5/1/2018,,1,1
1753,AmeriFirstHomeMortgage,3/28/2018,,26,887
1754,AmeripriseFinancialInc,1/17/2018,11/1/2017,1,56
1755,AmeripriseFinancialInc,12/12/2018,11/11/2018,13,1513
1756,AmeripriseFinancialInc,8/30/2018,,1,11
1757,AmeripriseFinancialInc,6/5/2018,,1,1
1758,AnchorFundLLC,3/9/2018,2/7/2018,1,485
1759,ANEWRealty,3/12/2018,3/8/2018,1,1
1760,AngelesEquityPartnersLLC,3/30/2018,3/1/2018,1,1
1761,AnotherPlanetEntertainment,9/27/2018,4/9/2018,6,3142
1762,ApexBenefitsGroupInc,8/30/2018,7/23/2018,5,6
1763,AppliedPlanAdministrators,3/29/2018,2/10/2018,313,"22,661"
1764,AquaFinanceInc,8/16/2018,4/23/2018,17,569
1765,ArcadisUSInc,4/16/2018,2/20/2018,4,47
1766,ArcherDanielsMidlandCompany,,10/10/2018,1,37
1767,ArkansasChildrensHospital,6/28/2018,11/7/2016,3,4075
1768,ArrowElectricCompany,5/25/2018,2/22/2018,39,251
1769,ASCD,2/22/2018,2/20/2018,1,192
1770,AscensusInc,3/21/2018,2/14/2018,31,36
1771,AscensusInc,4/12/2018,3/19/2018,1,1
1772,ASIConstructorsInc.,3/2/2018,1/31/2018,2,336
1773,AthensFederalCommunityBank,11/30/2018,8/21/2018,7,1093
1774,ATIHoldingsLLC,3/27/2018,1/9/2018,78,"34,665"
1775,AtriumHospitality,4/24/2018,4/1/2016,1,182
1776,AustinFoamPlasticsInc,8/3/2018,11/17/2017,1,66
1777,AustinNicholsCoIncorporated,4/9/2018,3/14/2018,1,37
1778,AutismNewJerseyInc,3/16/2018,1/12/2018,1,26
1779,AutomatedPetCareProductsInc,7/17/2018,11/9/2017,42,2693
1780,AveannaHealthcare,8/27/2018,8/14/2018,20,20
1781,AXA Equitable Life Insurance Company,11/21/2018,11/1/2018,185,"33,700"
1782,BackcountryEdgeInc,12/11/2018,11/24/2018,7,643
1783,BadgerDaylightingLtd.,3/5/2018,1/31/2018,7,92
1784,BallStateUniversity,,,,
1785,BankersInsuranceGroupInc,8/15/2018,,3,1075
1786,BankersLife,10/25/2018,5/30/2018,"32,308","799,563"
1787,BankofHope,7/30/2018,6/28/2018,7,"11,362"
1788,BannerEngineeringInc,6/27/2018,3/18/2018,2,1229
1789,BaptistHealthMedicalGroup,8/15/2018,8/3/2018,1,1
1790,BaptistHealthMedicalGroup,4/4/2018,3/19/2018,1,1
1791,BarnesandThornburgLLP,6/29/2018,4/20/2018,2,3
1792,BauerMediaGroupUSA,5/4/2018,3/29/2018,1,410
1793,BCSFinancialCorporation,12/14/2018,10/29/2018,2,39
1794,BeachbodyLLC,3/2/2018,2/2/2018,17,854
1795,BeaconHealthSystem,6/1/2018,4/2/2018,27,141
1796,BearingDistributorsInc,4/6/2018,3/30/2018,19,857
1797,BedBath&BeyondInc.,2/26/2018,11/8/2017,1,153
1798,BedBath&BeyondInc.,2/12/2018,,2,139
1799,BeechGroveMeadows,5/11/2018,5/11/2018,1,1
1800,BeiGeneLTD,9/21/2018,5/22/2018,2,145
1801,BellPartnersInc,5/23/2018,11/21/2017,1,523
1802,BellwetherEnterpriseRealEstateCapitalLLC,5/25/2018,1/30/2018,1,355
1803,BenchmadeKnifeCo,12/21/2018,9/1/2018,42,2702
1804,BenefitOutsourcingSolutions,6/7/2018,8/20/2015,142,"1,144"
1805,BestBuyCoInc,4/13/2018,9/26/2017,,
1806,BeveragesandMoreIncdbaBevMo,12/17/2018,8/2/2018,6,14519
1807,BigfootGunBelts,3/23/2018,10/31/2017,151,"4,141"
1808,BiodesixInc,8/24/2018,,5,92
1809,Bio?RadLaboratories,4/5/2018,6/1/2017,2,362
1810,BlattnerEnergyInc,4/30/2018,2/2/2018,6,248
1811,BLD,12/19/2018,11/14/2018,15,187
1812,BlueBeaconInternational,4/6/2018,1/29/2018,"1,872","33,644"
1813,BlueSpringsFamilyCarePC,7/16/2018,5/11/2018,11,"44,977"
1814,BluewaterThermalSolutionsLLC,1/19/2018,1/4/2018,5,225
1815,BMWBankofNorthAmerica,8/17/2018,7/19/2018,2,54
1816,BombasLLC,5/21/2018,9/1/2013,771,"41,000"
1817,BoysTownNationalResearchHospital,7/20/2018,5/23/2018,1,"105,626"
1818,BrinkerInternationalInc,5/11/2018,3/1/2018,,
1819,BritishAirwaysPLC,9/7/2018,8/21/2018,176,"429,000"
1820,BronsonNutritionalsLLC,3/19/2018,5/15/2017,350,"25,450"
1821,BrowardCollege,1/10/2018,7/18/2017,63,"44,000"
1822,BrownsburgMeadows,5/2/2018,4/10/2018,2,2
1823,BrunetteandAssociatesLLC,11/7/2018,2/27/2018,2,4
1824,BTCEIncdbaHomeBrewit.com,4/10/2018,9/26/2017,207,"1,024"
1825,BuehlersFreshFoodsLLC,10/12/2018,2/1/2016,5,2040
1826,ByramHealthcare,10/22/2018,6/1/2016,2,52
1827,CableHillPartnersLLC,5/15/2018,1/10/2018,2,989
1828,CactusWellheadLLC,5/17/2018,5/9/2018,1,"1,086"
1829,CaliforniaCollegeoftheArts,2/26/2018,1/19/2018,1,2709
1830,"CaliforniaStateUniversity,Fresno",3/6/2018,12/1/2017,27,"10,777"
1831,CaliforniaStateUniversityEastBay,10/5/2018,3/27/2018,4,9941
1832,CambridgeDentalConsultingGroup,5/9/2018,3/13/2018,1,"3,840"
1833,CambridgeHealthAlliance,3/28/2018,,1,"2,527"
1834,CameronMemorialCommunityHospital,12/1/2017,8/15/2017,8,8
1835,CameronMemorialCommunityHospital,11/15/2017,11/8/2017,2,2
1836,CameronWoods,,,,
1837,CampbellsvilleUniversityInc,10/19/2018,7/19/2018,7,
1838,CandJFinancialLLC,9/11/2018,5/4/2018,1,372
1839,CapitalDigestiveCareLLC,4/23/2018,2/23/2018,7,"13,572"
1840,CapitalFarmCredit,4/25/2018,,2,"5,167"
1841,CapitalIntegrationSystemsLLC,6/22/2018,2/1/2018,6,"2,321"
1842,CareerTechnologyCentersofLickingCounty,7/6/2018,2/12/2018,31,"9,578"
1843,CariteInc.,1/23/2018,1/17/2018,30,346
1844,"CaryE.Williams,CPA",3/2/2018,1/5/2018,8,"7,690"
1845,CastlightHealth,12/27/2018,,5,120
1846,CathayPacificAirwaysLimited,10/25/2018,,1,"9,400,000"
1847,CBIZMHMLLC,7/19/2018,5/21/2018,1,1246
1848,CBTX,12/21/2018,5/30/2018,4,7703
1849,CCRMSanFrancisco,8/10/2018,6/8/2018,1,366
1850,CedarvilleUniversity,2/15/2018,1/31/2018,6,241
1851,CenderaFundingInc,10/25/2018,9/29/2018,3,5328
1852,CenlarFSB,3/20/2018,5/19/2016,1,100
1853,CenterstoneofIndiana,,,,
1854,CentralChristianCollegeofKansas,6/15/2018,7/11/2017,9,631
1855,CentrisFederalCreditUnion,3/1/2018,11/1/2015,10,"12,049"
1856,CeresPartnersLLC,10/25/2018,5/1/2018,2,8
1857,CeteraAdvisorsLLC,1/8/2018,11/8/2017,19,1260
1858,CeteraAdvisorsLLC,4/25/2018,11/8/2017,8,"2,299"
1859,ChallengerSportsInc,10/22/2018,8/26/2018,138,"11,123"
1860,ChamberlainGroupInc,11/20/2018,10/16/2018,13,580
1861,ChapmanandChapmanInc,8/16/2018,3/7/2018,6,2545
1862,"CharlesKomar&Sons,Inc.",2/5/2018,11/23/2017,1,99
1863,CharmsOfficeAssistant,8/24/2018,,238,"17,017"
1864,ChattanoogaClothingCompany,5/31/2018,10/26/2017,59,835
1865,CheddarsScratchKitchen,8/22/2018,11/3/2017,"13,604","567,000"
1866,ChicagoPropertyManagementandInvestments,10/16/2018,2/1/2017,2,79
1867,ChildrensMercyHospital,1/31/2018,12/2/2017,17,"38,873"
1868,ChilisGrillandBar,,,,
1869,ChipotleMexicanGrillInc,8/22/2018,7/21/2018,1,33
1870,ChopraEnterprisesLLC,3/6/2018,,3,614
1871,ChosenHealthcare,7/27/2018,5/8/2018,310,310
1872,CHROMEFederalCreditUnion,3/6/2018,6/14/2017,2,3122
1873,CitiBankNA,,,,
1874,CitibankNA,4/18/2018,4/1/2015,1,410
1875,CityofGoodyearArizona,6/4/2018,6/13/2017,11,"11,247"
1876,CityofHopkinsville,6/8/2018,5/8/2018,2,120
1877,CityofMidwestCityOklahoma,7/23/2018,12/11/2017,1,"4,559"
1878,ClinicalPathologyLaboratoriesSoutheastInc,3/21/2018,9/20/2017,19,"42,720"
1879,ClubSoda,,,1,1
1880,CNGFinancialCorporationInc,8/15/2018,7/11/2018,9,"104,649"
1881,CNOFinancial,,,,
1882,CNUofIndianaLLCdbaCashNetUSA,4/27/2018,2/20/2018,28,"3,265"
1883,CNUOnlineHoldingsLLC,3/8/2018,2/19/2018,39,"3,011"
1884,CollierHeggernessandBronkCPAs,11/7/2018,,1,2354
1885,ColoradoBankersLifeInsuranceCompany,8/3/2018,3/28/2018,"1,155","99,797"
1886,ColumbiaCollegeChicago,2/28/2018,2/15/2018,2,93
1887,ColumbiaHealthcareCenter,5/21/2018,5/21/2018,1,1
1888,ColumbusRegionalHealth,4/25/2018,4/23/2018,1,1
1889,CommunityFirstBank,3/21/2018,1/19/2018,3,"2,837"
1890,CommunityHealthNetwork,2/15/2018,5/2/2017,1,1
1891,CommunityHealthNetwork,1/30/2018,1/13/2018,25,25
1892,CommunityHealthNetwork,,,,
1893,CommunityHealthNetwork,2/2/2018,7/10/2017,11,11
1894,CommunityHealthNetwork*,1/31/2018,1/2/2018,1,1
1895,CommunityHospitalofBremen,1/17/2018,1/17/2018,115,115
1896,CommunityHospitalSouth,11/1/2018,7/26/2018,1,1
1897,CommunityPhysiciansofIndianaInc,3/22/2018,2/14/2018,1,1
1898,CommunityPhysiciansofIndianaInc,1/11/2018,11/29/2017,1,1
1899,CommunityRehabilitationHospital,3/29/2018,3/19/2018,2,2
1900,CommunityRehabilitationHospitalSouth,8/2/2018,7/30/2018,9,9
1901,ComplyRightInc,7/13/2018,4/20/2018,"12,056","662,475"
1902,ConcannonMillerandCoPC,7/13/2018,2/9/2018,3,292
1903,"CorporateEmploymentResources,Inc.",2/9/2018,1/26/2018,107,"4,086"
1904,CorporationServiceCompany,5/17/2018,11/25/2017,698,"94,148"
1905,CortlandPartners,8/15/2018,4/26/2018,1,588
1906,CotyInc,7/6/2018,1/12/2018,41,"4,753"
1907,CountryMutualInsuranceCompany,2/19/2018,1/15/2018,4,1390
1908,CPTGroupInc?Data Breach,4/27/2018,11/22/2017,36,"76,299"
1909,CRISF,10/15/2018,6/25/2018,1,118
1910,CrossRoadHealthMinistriesInc,3/30/2018,10/10/2017,3,245
1911,CruzstarLLC,2/19/2018,11/5/2017,401,"28,740"
1912,CurtinMaritimeCorp.,3/5/2018,1/22/2018,1,191
1913,CVSHealth,7/27/2018,6/11/2018,1,12
1914,"CyrusOne,Inc.",1/8/2018,10/18/2017,10,402
1915,DanaIncorporated,3/23/2018,3/9/2018,3,24
1916,DaneStreetLLC,,,100,
1917,DardenRestaurants,3/14/2018,10/23/2017,1,48
1918,DataIntensity,10/1/2018,7/9/2018,5,266
1919,DCInternational,,7/21/2018,,
1920,Deaconess DeaconessClinic?Data Breach,12/19/2018,11/16/2018,1,1
1921,DeaconessHospital,,,,
1922,DeaconessHospital,2/15/2018,1/31/2018,1,1
1923,DeaconessHospital,1/12/2018,12/6/2017,4,4
1924,DeaconessHospital,12/27/2018,11/13/2018,1,1
1925,DecaturCountyMemorialHospital,,,,
1926,DecaturCountyMemorialHospital,5/9/2018,1/31/2018,2,2
1927,DecisionHRHoldingsInc,10/8/2018,,2,4938
1928,DeephavenMortgageLLC,5/8/2018,1/10/2018,48,"5,593"
1929,DelawareLifeInsuranceCo,8/31/2018,8/13/2018,1,
1930,DelicatoVineyards,8/15/2018,4/26/2018,2,1087
1931,"DeliManagement,Inc.d/b/aJason'sDeli,Inc.",1/11/2018,6/8/2017,,"2,000,000,000"
1932,DeloitteTaxLLP,4/10/2018,4/6/2018,1,1
1933,DeltaAirLinesInc,4/11/2018,9/26/2017,"10,088","825,000"
1934,DeltaDentalofMissouri,4/26/2018,3/21/2018,4,297
1935,DeltaSteelInc,7/27/2018,2/2/2018,8,443
1936,DentalCenterofNorthwestOhio,12/28/2018,8/16/2018,477,85874
1937,DepartmentofChildServices,8/13/2018,8/7/2018,3,3
1938,DiCiccoGulmanandCompanyLLP,6/21/2018,5/10/2018,87,"1,354"
1939,DollarGeneralCorporation,2/15/2018,1/18/2018,1,43
1940,DollarShaveClubInc,6/20/2018,5/26/2018,18,1035
1941,DoralCorporation,2/2/2018,1/23/2018,9,335
1942,DoyleandAssociatesPC,8/1/2018,2/21/2018,2,489
1943,DrAmyWoodruff,10/5/2018,,2,
1944,"DraperandKramer,Inc.",2/23/2018,,11,37
1945,Driscoll'sInc.,2/9/2018,7/17/2017,1,1530
1946,DrRobertCarpenter,10/5/2018,,1,
1947,DunkinBrandsInc,11/28/2018,,2118,"175,221"
1948,EbbsRobertsHeadDawInc,9/18/2018,6/26/2017,6,4200
1949,EBSCOSignGroupInc,7/16/2018,9/12/2017,25,871
1950,ElkhartCountyProsecutorAttorneyOfficeIVDChildSupport,9/5/2018,7/27/2018,0,2
1951,ElmcroftSeniorLivingInc,6/11/2018,5/10/2018,"2,894","168,490"
1952,ElPasoLosAngelesLimousineExpressInc,11/2/2018,12/9/2016,35,"68,647"
1953,ElwoodStaffingServicesInc,12/7/2018,12/6/2018,1,1
1954,EmployeeBenefitsCorporation,,,,
1955,EmployeeBenefitsCorporation,3/20/2018,3/7/2018,16,16
1956,EmployeeBenefitsCorporationForefront Dermatology,5/22/2018,3/7/2018,138,"1,298"
1957,EmployeeBenefitsCorporationForeFrontManagement,5/22/2018,3/7/2018,67,455
1958,EmployeeBenefitsCorporationInterVarsityChristianFellowship,5/22/2018,3/7/2018,16,855
1959,EmployIndy,1/19/2018,1/10/2018,1,1
1960,EmployIndy,,5/31/2018,1,1
1961,EnchromaInc,6/26/2018,5/15/2018,1,149
1962,EngleMartin&Associates,2/14/2018,,11,2508
1963,EntrustEnergy,11/12/2018,5/26/2018,8,4782
1964,EnvisionHealthcareCorporation,10/10/2018,7/17/2018,244,"21,757"
1965,EquiasAllianceLLC,5/8/2018,1/10/2018,565,"2,264"
1966,EquityConceptsLLC,11/29/2018,4/20/2018,6,3794
1967,ErieInsuranceGroup,6/13/2018,5/9/2018,2,25
1968,ERPIronOreLLC,6/7/2018,12/1/2015,700,700
1969,ESAManagementLLC,6/15/2018,,8,"1,324"
1970,ESINorthAmericaInc,9/20/2018,5/9/2018,1,698
1971,ExamOne,8/21/2018,7/26/2018,1,1
1972,ExamOne,3/15/2018,2/12/2018,1,1
1973,ExamOne,10/24/2018,9/11/2018,2,2
1974,ExamOne,7/27/2018,7/7/2018,1,1
1975,ExamOne,1/12/2018,12/27/2017,1,1
1976,ExitOneHotelLLC,,,,
1977,Experian,,,,
1978,Facebook,,,,
1979,FacebookInc,,,,
1980,FairbanksNorthStarBorough,7/19/2018,4/14/2018,9,6346
1981,FairchildMaddox&Leonidas,3/2/2018,,3,"2,365"
1982,Family&SocialServicesAdministration,2/21/2018,1/31/2018,1,1
1983,Family&SocialServicesAdministration,2/12/2018,2/5/2018,1,1
1984,FareportalInc,5/10/2018,10/1/2017,1,"880,000"
1985,FareportalInc,5/10/2018,10/1/2017,1,"880,000"
1986,FarmCreditServicesofAmerica,5/15/2018,4/8/2018,1,114
1987,FarmerBrosCo,12/11/2018,5/1/2018,22,2412
1988,FarmgirlFlowersInc,5/11/2018,4/26/2018,24,"1,870"
1989,FastHealthCorporation,2/27/2018,8/14/2017,"16,034","657,529"
1990,FCCIServicesInc,9/17/2018,9/11/2018,1,1
1991,FeconInc,2/28/2018,2/20/2018,1,218
1992,FederalExpressCorporation,9/5/2018,8/30/2018,1,1
1993,FeldEntertainmentInc,8/6/2018,4/5/2018,1,867
1994,FidelityNationalFinancialonbehalfofChicagoTitleCompanyLLC,7/16/2018,7/2/2018,2,2
1995,FirstGroupofAmericaInc,9/27/2018,8/1/2015,3,73
1996,FirstMerchantsBank,5/18/2018,3/31/2018,223,223
1997,FirstMerchantsBank,5/21/2018,4/26/2018,5,5
1998,FirstMerchantsBank,3/28/2018,3/14/2018,25,315
1999,FirstNationalBankofOmaha,8/31/2018,7/13/2018,1,31
2000,FiveBelowInc,10/5/2018,8/14/2018,85,3234
2001,FiveGuysHoldingsInc,11/2/2018,5/23/2018,13,"19,191"
2002,FlemingCountySchools,2/20/2018,1/14/2018,1,160
2003,FlexibleBenefitServiceCorporation,2/14/2018,11/21/2017,1098,19438
2004,FloridaFarmBureauCasualtyInsuranceCompany,10/5/2018,6/27/2018,2,4000
2005,FontainebleauMiamiBeach,2/8/2018,11/20/2017,2,158
2006,FordMotorCompany,5/31/2018,3/13/2018,1,1
2007,ForethoughtLifeInsuranceCompany,10/25/2018,10/10/2018,1,16
2008,Forever21Inc,11/14/2017,4/3/2017,,
2009,FoundationBuildingMaterialsLLC,5/23/2018,2/1/2018,31,1246
2010,FrancescasServicesCorporation,11/19/2018,12/28/2017,1682,"84,275"
2011,FranciscanACOInc,8/13/2018,7/6/2018,1,1
2012,FranciscanAllianceInc,12/22/2018,10/22/2018,13,18
2013,FranciscanHealthIndianapolis,1/17/2018,1/6/2018,2,2
2014,FranciscanHealthIndianapolis,7/2/2018,2/26/2013,4,4
2015,FranciscanHealthIndianapolis,9/4/2018,4/26/2018,15,19
2016,FranciscanHealthIndianapolis,5/31/2018,4/18/2018,1,1
2017,FranciscanPhysicianNetowrkdbaLowellHealthCenter,11/2/2018,9/19/2018,1,1
2018,FranciscanPhysicianNetwork,11/9/2018,6/20/2018,1,1
2019,FranciscanPhysicianNetwork,5/17/2018,2/15/2018,1,1
2020,FranciscanPhysicianNetwork,6/12/2018,,16,17
2021,FranciscanPhysicianNetwork,6/25/2018,2/2/2018,1,1
2022,FranciscanPhysicianNetworkdbaCoolspringHealthCenter,11/9/2018,9/24/2018,1,1
2023,FranciscanPhysicianNetworkDyerFamilyHealthCenter,,,,
2024,FranciscanUniversityofSteubenville,11/30/2018,10/1/2018,49,2400
2025,FranciscanVNSHomeCare,5/11/2018,4/13/2018,30,30
2026,FredUsingerInc,3/29/2018,9/24/2017,644,"35,147"
2027,FreeSpeechSystemsLLC,12/14/2018,11/12/2018,21,1290
2028,FriedrichAirConditioningCo,4/2/2018,2/7/2018,1,117
2029,FrostBank,,,,
2030,FSSAonbehalfofConduent,,,,
2031,FSSAonbehalfofDXC,,,,
2032,FSSAonbehalfofPhoenixDataCorporation,10/1/2018,9/19/2018,2,2
2033,FundingCircleUSAInc,3/30/2018,6/1/2017,149,"10,796"
2034,GallagherBassettServicesInc,8/3/2018,9/1/2013,4,1933
2035,GamePlanAdvisorsIncWoottonFinancialGroup,6/26/2018,4/1/2018,2,1286
2036,GarretsonResolutionGroupInc,8/30/2018,4/4/2018,29,1327
2037,GeneralElectricCreditUnion,11/26/2018,9/1/2018,5,280
2038,GeorgeCorleyWallaceStateCommunityCollege,,,,
2039,GHGGreyhealthGroupLLC,2/15/2018,1/25/2018,1,683
2040,GibsonGeneralHospital,,,,
2041,GivaudanFlavorsCorporationandGivaudanFragrancesCorporation,10/9/2018,9/7/2018,21,4200
2042,GlobalLTInc,,9/5/2018,,
2043,GlobalUniversity,5/8/2018,12/31/2017,"3,018","139,810"
2044,GoldenLiving,,,,
2045,GoldleafPartnersServicesInc.,,,,
2046,GoldSilver,12/19/2018,9/28/2018,9,3465
2047,GoodwillofCentralandSouthernIndianaInc,9/4/2018,8/29/2018,1,1
2048,GoodyTickets,10/9/2018,9/15/2018,3,259
2049,GoogleLLC,,,,
2050,GreatBancTrustCompany,6/15/2018,10/23/2017,166,"10,023"
2051,GS1USInc,10/25/2018,7/7/2017,845,"78,907"
2052,"GuaranteedRate,Inc.",1/12/2018,6/9/2017,"2,610","187,788"
2053,GuaranteedRateInc,6/12/2018,11/1/2017,60,"5,956"
2054,GuardianConsumerServiceIncdbaPavasoInc,7/20/2018,6/22/2018,1,99
2055,GuardianLIfeInsuranceCompanyofAmerica,3/29/2018,2/21/2018,1,1
2056,GYAgemniLLC,3/16/2018,11/1/2017,6,320
2057,HairbowCenterLLC,10/25/2018,,3,125
2058,HallmarkHomeMortgage,1/12/2018,,6,2816
2059,HallStructuredFinance,11/2/2018,9/12/2018,2,122
2060,HarleyDavidsonMotorCompanyInc,12/6/2018,8/27/2018,11,959
2061,HasbroInc,8/7/2018,9/15/2017,1,"2,039"
2062,Hatscom,11/14/2018,8/18/2018,21,1268
2063,HaynesFurnitureCompanyIncorporated,5/10/2018,5/2/2018,1,109
2064,HeacockInsuranceGroupLLCandHeacockPayrollLLC,7/12/2018,2/23/2018,53,"4,348"
2065,HealthandHospitalCorporationofMarionCounty,7/30/2018,7/30/2018,1,1
2066,HealthandHospitalCorporationofMarionCounty,8/6/2018,7/20/2018,1,1
2067,HealthandHospitalCorporationofMarionCounty,8/2/2018,7/19/2018,7,7
