Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
Shannon Restaurant LLC,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,2
Sole Society,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,8
Tieks by Gavrieli,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,14
Trump Hotels,,None,"Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286",17-Aug,9/12/2017,8/1/2017,,,Discover card account info may have been compromised,1
"AT&T Services, Inc.","208 S. Akard Street, Dallas, TX 75202",None,"Jon Neiditz, Kilpatrick, Townsend & Stockton, LLP; 404-815-6004; jneiditz@kilpatricktownsend.com",2/1/17-8/8/17,9/14/2017,2/1/2017,8/8/2017,,Unauthorzed AT&T messages to customer accounts,11
"ABB, Inc.","305 Gregson Drive, Cary, NC 27511",None,"Theodore Claypoole, Womble Carlyle Sandridge & Rice LLP, 404-879-2410; tclaypoole@wcsr.com",8/25/2017,9/11/2017,8/25/2017,,,Name or other personal identifier in combination with SSN,31
Frontier Natural Products Co-Op breach notice,,None,"Joshua James, Bryan Cave LLP, 202-508-6265; josh.james@bryancave.com",5/12/17 to 8/22/17,9/11/2017,5/12/2017,8/22/2017,,"Name, shipping and billing address, and credit card number",10
SRI International,"333 Ravenswood Avenue, Menlo Park, CA 94025","Jocelyn To, Asst General Counsel, 650-859-4073; jocelyn.to@sri.com",N/A,Approx 7/26/17,9/8/2017,7/26/2017,,,Name or other personal identifier in combination with SSN,81
"Equifax, Inc.","1550 Peachtree Street, N.E., Atlanta,GA 30309",None,"Phyllis B. Sumner, Esq., King & Spalding, 404-572-4799; psumner@kslaw.com",5/13/17-7/30/17,9/7/2017,5/13/2017,7/30/2017,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,"524,517 approximately"
Major League Lacrosse,"20 Guest Street, Suite 125, Boston, MA 02135",None,"Melanie Witte, Troutman Sanders, LLP, 415-477-5731; melanie.witte@troutmansanders.com",8/23/-24/17,9/7/2017,8/23/2017,8/24/2017,,Name or other personal identifier in combination with SSN,12
"Fiduciary Management, Inc.","100 E. Wisconsin Ave, #2200, Milwaukee, WI 53202",None,"Christopher Dilenno, Esq., Mullen Coughlin LLC, 287-930-4775; cdilenno@mullen.legal",8/7/2017,9/6/2017,8/7/2017,,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",6
"The reThink Group, Inc.","5870 Charlotte Lane, Suite 300, Cumming, GA 30040",None,"Nathaniel Bessey, Brann & Isaacson, (207) 786-3566; nbessey@brannlaw.com",7/11/17-8/4/17,9/6/2017,7/11/2017,8/4/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",5
Sixty Hotels,"206 Spring Street, 4th Floor, New York, NY 02108",None,"Craig Cardon, Sheppard, Mullin, Richter & Hampton LLP; 310-228-3749; ",8/10/16-3/9/17,9/5/2017,8/10/2016,3/9/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",9
Hand & Upper Extremity Centers d/b/a Hand Rehabilitation Specialists,"101 Hodencamp Road, Suite 100, Thousand Oaks, CA 91360",None,"Melanie Witte, Troutman Sanders, LLP, 415-477-5731; melanie.witte@troutmansanders.com",7//5/17,9/1/2017,7/5/2017,,,Name or other personal identifier in combination with SSN,4
"Aptos, Inc. (Re: Mrs. Prindables)","945 East Paces Ferry Road, Suite 2500, Atlanta, GA 30326","Todd McClamroch, VP of Marketing, Mrs. Prindables, 847-929-6568; tmcclamroch",N/A,7/5/17-8/9/17,9/1/2017,7/5/2017,8/9/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2
"WRJ Holdings LLC, d/b/a Classic Firearms","3305 Westwood Industrial Drive, Monroe, NC 28110",None,"Amy Mushahwar, Davis Wright Tremaine LLP, 202-973-4263; amymushahwar@dwt.com",4/24/17-6/8/17,9/1/2017,4/24/2017,6/8/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",55
"Med-Cert, Inc.","3853 Northdale Blvd, #344, Tampa, Florida 33624",None,"Kathleen Mosier, Faegre Baker Daniels, LLP, 574-239-1958; kathleen.ricemosier@vaegrebd.com",Approx June 2017,9/1/2017,6/1/2017,,,Name or other personal identifier in combination with SSN,210
Evans Hotels,,None,"Kristopher Kleiner, Associate, Norton Rose Fulbright US LLP, 313-801-2758; kris.kleiner@nortonrosefulbright.com",8/10/16-3/9/17,9/1/2017,8/10/2016,3/9/2017,,Payment card information of certain individuals who provided card information when making reservations,5
Akira,"200 N. Fairfield Ave., Chicago, IL 60612",None,"James Prendergast, Mullen Coughlin LLC, 267-930-4798; jprendergast@mullen.law",11/16-07/17,9/1/2017,11/16/2019,7/17/2019,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",11
"Gregory Wilt, CPA, Mario Bottoni CPA, Advanced Financial Services, Inc., and Accu-Pay Payroll and Bookkeeping Svcs, Inc.","320 Fayette Street, Manlius, NY 13104",None,"David Shannon, Marshall Dennehey Warner Coleman & Goggin PC, 215-575-2615; DJShannon@mdwcg.com",5/1/2017,8/31/2017,5/1/2017,,,"Name or other personal identifier in combinatino with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2
Avanti Markets Inc.,,None,"Joseph Lazzarotti, Jackson Lewis, PC, 220 Headquarters Plaza, East Tower, 7th Floor, Morristown, NJ 07960; 973-538-6890",Discovered 7/4/17,8/30/2017,,,7/4/2017,Supplement to 7/24/17 notice (cardholder names were not compromised),See Prior Notice
Mr. Cooper,"8950 Cypress Waters Blvd., Coppell, TX 75019","Eureka Cornelius, Sr. Compliance Specialist, 469-240-4544; Eureka.Cornelius@mrcooper.com",N/A,8/5/2017,8/30/2017,8/5/2017,,,"Name or other personal identifier in combination   with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",19
Orchards Inn,,None,"Kristopher Kleiner, Associate, Norton Rose Fulbright US LLP, 313-801-2758; kris.kleiner@nortonrosefulbright.com",8/10/16-3/9/17,8/31/2017,8/10/2016,3/9/2017,,Payment card information provided by customers making reservations,2
Red Roof Inns,,None,"Melissa K. Ventrone, Thompson Coburn LLP, 55 East Monroe Street, 37th Floor, Chicago, IL 60603; 312-580-2219; MVentrone@ThompsonCoburn.com",8/10/2016,8/29/2017,8/10/2016,,,"Name, address, email address, phone numbers, credit card or debit card number, exp date and security code.",16
"The Domain Hotel, Sunnyvale, California",,,"Sandy Garfinkel, Eckert Seamons, US Steel Tower, 600 Grant Street, 44th FL, Pittsburgh, PA 15219; 412-566-6868; sgarfinkel@eckertseamans.com",8/10/16-3/9/17,8/28/2017,8/10/2016,3/9/2017,,"Payment card information for reservations, including cardholder name, card number and exp date, and potentially the card security code. Also possibly guest name, email, phone number, street address and other contact information",1
"The Bicycle Hotel & Casino, Bell Gardens, California",,None,"Sandy Garfinkel, Eckert Seamons, US Steel Tower, 600 Grant Street, 44th FL, Pittsburgh, PA 15219; 412-566-6868; sgarfinkel@eckertseamans.com",8/10/16-3/9/17,8/28/2017,8/10/2016,3/9/2017,,"Payment card information for reservations, including cardholder name, card number and exp date, and potentially the card security code. Also possibly guest name, email, phone number, street address and other contact information",1
The Gallivant Times Square,"NY, NY",None,"Sandy Garfinkel, Eckert Seamons, US Steel Tower, 600 Grant Street, 44th FL, Pittsburgh, PA 15219; 412-566-6868; sgarfinkel@eckertseamans.com",8/10/16-3/9/17,8/28/2017,8/10/2016,3/9/2017,,"Payment card information for reservations, including cardholder name, card number and exp date, and potentially the card security code. Also possibly guest name, email, phone number, street address and other contact information",1
The Nathan Hale Inn & Conference Center,,None,"Sandy Garfinkel, Eckert Seamons, US Steel Tower, 600 Grant Street, 44th FL, Pittsburgh, PA 15219; 412-566-6868; sgarfinkel@eckertseamans.com",8/10/16-3/9/17,8/28/2017,8/10/2016,3/9/2017,,"Payment card information for reservations, including cardholder name, card number and exp date, and potentially the card security code. Also possibly guest name, email, phone number, street address and other contact information",6
The Roosevelt Hotel,"NY, NY",None,"Sandy Garfinkel, Eckert Seamans, US Steel Tower, 600 Grant Street 44th Floor, Pittsburgh, PA 15219",8/10/16-3/9/17,8/28/2017,8/10/2016,3/9/2017,,"Payment card information for reservations, including cardholder name, card number and exp date, and potentially the card security code. Also possibly guest name, email, phone number, street address and other contact information",23
CoreLogic Credco ,,"Melissa Martinez, 949-214-1087; melissamartinez@corelogic.com or Mark Wynn at 949-214-1539; mwymann@corelogic.com.",N/A,7/21/17 - 8/7/17,8/29/2017,7/21/2017,8/7/2017,,Name or other personal identifier in combination with SSN,78
"CBS Consolidated, Inc., dba Cornerstone Bus Management Solutions","206 S. 13th Street, Suite 600, Lincoln, NE 68508",None,"Patricia Shea, K&L Gates LLP, 717-231-5870; patricia.shea@klgates.com",Discovered 7/10/17,8/28/2017,,,7/10/2017,Name or other personal identifier in combination with SSN,97
Fidelity,,"William Duserick, CPO, 617-392-1224",N/A,7/11/17-8/15/17,8/25/2017,7/11/2017,8/15/2017,,"Name, address, SSN, birthdate, Fidelity Acct #, account positions, value and transaction history.",1
"Mark Andrews, CPA, LLC",,None,"Gregory Bautista, Wilson Elser Moskowitz Edelman  Dicker, LLP; 914-872-7839; Gregory.Bautista@wilsonelser.com",Discovered 6/27/17,8/24/2017,,,6/27/2017,"Personally identifiable information including names, SSN and other tax information",1
Aptos,"945 East Paces Ferry Road, Sutie 2500, Atlanta, Georgia 30326","David Baum, Sr. VP, General Counsel, securityinfo@aptos.com",N/A,Follow up to 2/25/17 notice,8/24/2017,,,,"Additional retailer - PianoWorks, Inc., 2805 Buford Hwy, Duluth, GA 30096, Sam Bennett, 770-623-0683; sam@pianoworks.com",3
"GT Distributors, Inc.","2545 Brockton Dr., #100, Austin, TX 78758",None,"Randal Gainer, Baker & Hostetler LLP, 206-332-1381; rgainer@bakerlaw.com",5/16/17-7/10/17,8/25/2017,5/16/2017,7/10/2017,,"Name or other personal identifier in combination   with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",2
Crescent Mortgage Company,"Atlanta, Georgia",None,"David Katz, Nelson Mullins, Atlantic Station, 201 17th Street, NW/ Suite 1700, Atlanta, GA 30363; 404-322-6000; david.katz@nelsonmullins.com",7/11/17-8/5/17,8/24/2017,7/11/2017,8/5/2017,,"Name, address, phone number, SSN, financial accounts & personal info in documents related to loan application and  closing documents including wiring instructions",1
"Aimbridge Hospitality Holdings, LLC","5851 Legacy Circle Drive, Suite 400, Plano, TX 75024",None,"Jim Prendergast, Mullen Coughlin LLC, 287-930-4798; jprendergast@mullen.law",8/10/17-3/9/17,8/24/2017,8/10/2017,3/9/2017,,"Name or other personal identifier in combination   with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",22
"Rutherford, MacDonald & Olson, P.C.",,None,"David Zetoony, Bryan Cave, LLP, One Boulder Plaza, 1801 13th Street, Suite 300, Boulder, CO 80302","""recently discovered"" - exact date or date range not stated.",8/23/2017,NA,,NA,Payroll related information ,1
Taylor University,"236 W. Reade Ave, Upland, IN 46989",None,"Eric Packel, Baker & Hostetler LLP, 215-564-3031; epackel@bakerlaw.com",4/17/2017,8/23/2017,4/17/2017,,,Name or other personal identifier in combination with Driver's license number or non-driver identification card number.,2
"Zymo Research Corp (""Zymo"")",,None,"Kelly Wilkins, Snell & Wilmer LLP, One Arizona Center, 400 East Van Buren Street, Suite 1900, Phoenix, Arizona 85004; 602-382-6370; kwilkins@swlaw.com",On or about 3/15/17,8/22/2017,3/15/2017,,,"Name, address, email address, hashed passwords; and credit card information, including credit card number, card verfication code, and exp date.",Not specified.
American Friends Service Committee,"1502 Cherry Street, Philadelphia, PA 19102",None,"Joseph Lazzarotti, Jackson Lewis, PC, 220 Headquarters Plaza, East Tower, 7th Floor, Morristown, NJ 07960; 973-538-6890",4/12/2017,8/21/2017,4/12/2017,,,Name or other personal identifier in combination with SSN,4
"Dutch, LLC","5301 South Santa Fe, Vernon, CA 90058","Shereef Moustafa, Manager, 323-277-3900; shereefm@joie.com",N/A,"6/9/16-6/5/17, 12/25/16-1/26/17",8/17/2017,"6/9/2016, 12/25/16","6/5/17, 1/26/17",,"Name or other personal identifier in combination   with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",22
"Tax-On-Time, LLC","55 Park Avenue, Rutherford, NJ 07070",None,"Joseph Lazzarotti, Jackson Lewis, PC, 220 Headquarters Plaza, East Tower, 7th Floor, Morristown, NJ 07960; 973-538-6890",6/6/2017,8/17/2017,6/6/2017,,,"Name or other personal identifier in combination   SSN and financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",7
All States AG Parts Inc,,None,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",17-Jul,8/17/2017,7/1/2017,,,Discover Card payment information,2
American Blue Ribbon Holdings,,None,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",17-Jul,8/17/2017,7/1/2017,,,Discover Card payment information,2
Catholic Answers,,None,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",17-Jul,8/17/2017,7/1/2017,,,Discover Card payment information,8
