Company Name,clean_name,Company Type,D-U-N-S@ Number,Manufacturing Indicator,Subsidiary Status,Year of Founding,Location Type,Physical State,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1)
EDUCATIONAL TESTING SERVICE INC,Educational Testing Service,Private,00-250-8463,Manufacturer,Non-Subsidiary,1947,Headquarters,NEW JERSEY,611710,Educational Support Services,"541720, 611710","""Research and Development in the Social Sciences and Humanities "", ""Educational Support Services""","8732, 8748","""Commercial nonphysical research"", ""Business consulting, nec""",87480102,"Testing service, educational or personnel","$1,358,021,141 ","2,756","2,157","$1,392,943,660 "
"CHART INDUSTRIES, INC.",Chart Industries Inc,Public,79-609-3458,Non Manufacturer,Non-Subsidiary,1992,Headquarters,GEORGIA,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,"333249, 333415, 333999","""Other Industrial Machinery Manufacturing "", ""Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing "", ""All Other Miscellaneous General Purpose Machinery Manufacturing ""","3443, 3559, 3569","""Fabricated plate work (boiler shops)"", ""Special industry machinery, nec"", ""General industrial machinery, nec""",34430200,"Heat exchangers, condensers, and components","$1,299,100,000 ","4,605",26,"$1,084,300,000 "
"MONEYGRAM INTERNATIONAL, INC.",Money Gram International Inc,Public,14-579-1997,Manufacturer,Non-Subsidiary,1940,Headquarters,TEXAS,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320,"""Financial Transactions Processing, Reserve, and Clearinghouse Activities """,6099,"""Functions related to deposit banking""",60999903,"Electronic funds transfer network, including switching","$1,285,100,000 ","2,936",77,"$1,447,600,000 "
THE COMMERCE INSURANCE COMPANY,Commerce Insurance,Public,07-534-8359,Manufacturer,Subsidiary,1971,Headquarters,MASSACHUSETTS,524210,Insurance Agencies and Brokerages,,,,,64110000,"Insurance agents, brokers, and service","$1,240,281,690 ","1,495","1,205","$1,316,617,444 "
"PITT COUNTY MEMORIAL HOSPITAL, INCORPORATED",Pincipal Financial Group,Private,05-640-3462,Manufacturer,Subsidiary,1953,Headquarters,NORTH CAROLINA,622110,General Medical and Surgical Hospitals,622110,"""General Medical and Surgical Hospitals """,8062,"""General medical & surgical hospitals""",80629903,"Hospital, medical school affiliated with residency","$1,201,287,000 ","15,000","11,000","$1,201,287,000 "
"MERRILL LYNCH GROUP, INC.",Merrill Lynch,Private,60-650-0635,Manufacturer,Subsidiary,1987,Headquarters,NEW YORK,523930,Investment Advice,,,,,62829902,Investment advisory service,"$886,698,547 ","4,167",353,"$825,826,196 "
TRUSTEES OF BOSTON COLLEGE,TriNet HR Corp,Private,04-589-6339,Manufacturer,Non-Subsidiary,1863,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$835,632,000 ","2,493",18,"$835,632,000 "
BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross Blue Shield of RI,Private,07-312-8407,Manufacturer,Non-Subsidiary,1939,Headquarters,RHODE ISLAND,524114,Direct Health and Medical Insurance Carriers,524114,"""Direct Health and Medical Insurance Carriers """,6324,"""Hospital and medical service plans""",63249901,Dental insurance,"$754,060,996 ","1,100",146,"$329,711,457 "
FUTURE ELECTRONICS CORP.,Future Electronics Corp,Private,05-972-8071,Manufacturer,Subsidiary,1972,Headquarters,MASSACHUSETTS,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,,,50650300,Electronic parts,"$738,631,628 ","4,000","1,100","$587,667,208 "
MASSACHUSETTS FINANCIAL SERVICES COMPANY,Massachusetts Financial Services Company,Private,04-943-5415,Manufacturer,Subsidiary,1969,Headquarters,MASSACHUSETTS,523930,Investment Advice,"523930, 523999","""Investment Advice "", ""Miscellaneous Financial Investment Activities ""","6211, 6282, 6289","""Security brokers and dealers"", ""Investment advice"", ""Security & commodity services, nec""",62829902,Investment advisory service,"$716,534,973 ","1,700","1,200","$1,092,112,442 "
EASTERN BANK,Eastern Bank,Private,00-695-5009,Manufacturer,Subsidiary,1818,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$595,479,000 ","1,358",217,"$534,707,000 "
"RADISSON HOTELS INTERNATIONAL, INC.",Radisson,Private,13-063-9305,Manufacturer,Subsidiary,1983,Headquarters,MINNESOTA,721110,Hotels (except Casino Hotels) and Motels,"237210, 531210, 533110, 541613, 561499, 721110","""Land Subdivision "", ""Offices of Real Estate Agents and Brokers"", ""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Marketing Consulting Services "", ""All Other Business Support Services "", ""Hotels (except Casino Hotels) and Motels ""","6531, 6552, 6794, 7011, 7389, 8742","""Real estate agents and managers"", ""Subdividers and developers, nec"", ""Patent owners and lessors"", ""Hotels and motels"", ""Business services, nec"", ""Management consulting services""",70110300,Hotels,"$545,527,681 ","17,800",160,"$755,451,995 "
DELTA DENTAL OF NEW YORK INC.,Delta Dental of New York Inc,Private,07-863-6859,Manufacturer,Non-Subsidiary,1963,Single Location,PENNSYLVANIA,524114,Direct Health and Medical Insurance Carriers,,,,,63249901,Dental insurance,"$544,880,612 ",10,10,"$2,650,281 "
LEXISNEXIS RISK SOLUTIONS INC.,LexisNexis,Private,06-011-7244,Manufacturer,Subsidiary,1975,Headquarters,GEORGIA,541618,Other Management Consulting Services,,,,,87480000,"Business consulting, nec","$512,497,262 ","5,165","1,650","$537,551,853 "
"CAROMONT HEALTH, INC.",Caroll Enterprises Inc,Private,62-205-8519,Manufacturer,Non-Subsidiary,1984,Headquarters,NORTH CAROLINA,561110,Office Administrative Services,"561110, 621498, 622110","""Office Administrative Services"", ""All Other Outpatient Care Centers "", ""General Medical and Surgical Hospitals ""","8062, 8093, 8741","""General medical & surgical hospitals"", ""Specialty outpatient clinics, nec"", ""Management services""",87419907,Nursing and personal care facility management,"$510,637,401 ","2,400","1,900","$602,656,507 "
"EAGLE BANCORP, INC.",Eagle Bancorp Inc,Public,00-879-1217,Manufacturer,Non-Subsidiary,1997,Headquarters,MARYLAND,522110,Commercial Banking,522110,"""Commercial Banking """,6022,"""State commercial banks""",60229901,"State trust companies accepting deposits, commercial","$455,329,000 ",466,386,"$415,872,000 "
COLONIAL LIFE & ACCIDENT INSURANCE COMPANY INC,Colonial Life & Accident Insurance Co,Private,00-791-9376,Manufacturer,Subsidiary,1939,Headquarters,SOUTH CAROLINA,524113,Direct Life Insurance Carriers,524113,"""Direct Life Insurance Carriers ""","6311, 6321","""Life insurance"", ""Accident and health insurance""",63210101,Accident insurance carriers,"$443,380,311 ","1,300","1,200","$479,914,709 "
"NORTH SHORE MEDICAL CENTER, INC.",North Shore Medical Center,Private,62-065-5746,Manufacturer,Subsidiary,1985,Headquarters,MASSACHUSETTS,622110,General Medical and Surgical Hospitals,622110,"""General Medical and Surgical Hospitals """,8062,"""General medical & surgical hospitals""",80620000,General medical and surgical hospitals,"$416,036,580 ","5,000",23,"$407,191,421 "
"SEA RAY BOATS, INC.",Sea Ray Boats Inc,Private,06-108-7029,Non Manufacturer,Subsidiary,1972,Headquarters,TENNESSEE,336612,Boat Building,336612,"""Boat Building """,3732,"""Boat building and repairing""",37329902,"Boats, fiberglass: building and repairing","$331,872,047 ","1,782",800,"$331,872,047 "
"BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS, INC.",Blue Cross and Blue Shield of MA Inc,Private,05-781-5201,Manufacturer,Non-Subsidiary,1937,Headquarters,MASSACHUSETTS,524114,Direct Health and Medical Insurance Carriers,"524114, 561110","""Direct Health and Medical Insurance Carriers "", ""Office Administrative Services""","6321, 6324, 8741","""Accident and health insurance"", ""Hospital and medical service plans"", ""Management services""",63210102,Health insurance carriers,"$329,711,457 ","2,800","2,800","$329,711,457 "
EAST BOSTON SAVING BANK,East Boston Savings Bank,Private,01-975-9497,Manufacturer,Subsidiary,1848,Headquarters,MASSACHUSETTS,522110,Commercial Banking,,,,,60290000,"Commercial banks, nec","$278,042,000 ",401,63,"$199,235,000 "
"MFS INVESTMENT MANAGEMENT, LLC",MFS Investment Management,Private,95-836-2212,Manufacturer,Subsidiary,2019,Headquarters,MASSACHUSETTS,525910,Open-End Investment Funds,,,,,67229901,Money market mutual funds,"$245,251,237 ",722,163,"$235,445,579 "
"BOND BROTHERS, INC.",Bond Brothers,Private,00-799-8115,Manufacturer,Non-Subsidiary,1907,Headquarters,MASSACHUSETTS,236220,Commercial and Institutional Building Construction,,,,,15420101,"Commercial and office building, new construction","$242,628,872 ",350,100,"$242,628,872 "
SALEM FIVE CENTS SAVINGS BANK,Salem Five Cents Savings Bank,Private,00-695-5827,Manufacturer,Subsidiary,1855,Headquarters,MASSACHUSETTS,522110,Commercial Banking,,,,,60220000,State commercial banks,"$223,787,000 ",450,175,"$198,095,000 "
COLONIAL PENN LIFE INSURANCE COMPANY,Colonial Penn Life Insurance,Private,05-712-3671,Manufacturer,Subsidiary,1957,Single Location,PENNSYLVANIA,524114,Direct Health and Medical Insurance Carriers,,,,,63210102,Health insurance carriers,"$195,508,299 ",350,350,"$195,508,299 "
MIDDLESEX SAVINGS BANK,Middlesex Savings Bank,Private,00-695-5181,Manufacturer,Non-Subsidiary,1835,Headquarters,MASSACHUSETTS,522120,Savings Institutions,522120,"""Savings Institutions """,6036,"""Savings institutions, except federal""",60369902,"State savings banks, not federally chartered","$181,374,000 ",464,50,"$161,650,000 "
EISAI INC.,Eisai Inc,Private,18-924-6791,Non Manufacturer,Subsidiary,1995,Headquarters,NEW JERSEY,325412,Pharmaceutical Preparation Manufacturing,,,,,28340000,Pharmaceutical preparations,"$177,119,883 ",500,220,"$163,434,268 "
THE TRUSTEES OF MOUNT HOLYOKE COLLEGE,Mount Holyoke College,Private,06-698-5714,Manufacturer,Non-Subsidiary,1836,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$151,471,000 ","1,000",37,"$142,585,000 "
"DAVIS VISION, INC.",Davis Vision Inc,Private,62-774-5276,Non Manufacturer,Subsidiary,1991,Headquarters,NEW YORK,339115,Ophthalmic Goods Manufacturing,339115,"""Ophthalmic Goods Manufacturing """,3851,"""Ophthalmic goods""",38510101,"Eyeglasses, lenses and frames","$150,908,045 ",3,3,"$186,306,229 "
LIFEWATCH CORP,LifeWatch Corp,Private,80-126-6201,Non Manufacturer,Subsidiary,2006,Headquarters,ILLINOIS,621999,All Other Miscellaneous Ambulatory Health Care Services,,,,,80990200,Physical examination and testing services,"$147,360,816 ",601,4,"$247,803,651 "
CITIZENS MEMORIAL HOSPITAL DISTRICT,Citizens Memorial Hospital,Private,13-958-3426,Manufacturer,Non-Subsidiary,1983,Single Location,MISSOURI,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110500,"Specialized medical practitioners, except internal","$123,000,000 ",134,134,"$123,000,000 "
INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY CHAR,Institution for Savings,Private,78-556-8390,Manufacturer,Non-Subsidiary,1997,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$117,825,000 ",59,4,"$103,379,000 "
"PARTNERS HOME CARE, INC.",Partners Home Care,Private,10-886-0842,Manufacturer,Non-Subsidiary,1901,Headquarters,MASSACHUSETTS,621610,Home Health Care Services,,,,,80829902,Visiting nurse service,"$107,526,825 ",185,21,"$98,294,603 "
THE MAY INSTITUTE INC,May Institute Inc,Private,08-158-2637,Manufacturer,Non-Subsidiary,1955,Headquarters,MASSACHUSETTS,624190,Other Individual and Family Services,,,,,83220000,Individual and family services,"$106,520,889 ","2,000",150,"$106,520,889 "
"PENTEL OF AMERICA, LTD.",Penn Mutual Life Insurance Co,Private,00-552-6041,Manufacturer,Subsidiary,1966,Headquarters,CALIFORNIA,424120,Stationery and Office Supplies Merchant Wholesalers,,,,,51120102,Pens and/or pencils,"$105,542,174 ",138,132,"$105,000,000 "
PEOPLESBANK,Peoples Federal Savings Bank,Private,00-695-4697,Manufacturer,Non-Subsidiary,1885,Headquarters,MASSACHUSETTS,522110,Commercial Banking,,,,,60220000,State commercial banks,"$104,890,000 ",220,108,"$90,457,000 "
BRISTOL COUNTY SAVINGS BANK INC,Bristoal Country Savings Bank,Private,01-976-1584,Manufacturer,Non-Subsidiary,1846,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60360000,"Savings institutions, except federal","$99,428,000 ",163,40,"$87,190,000 "
NORTHERN BANK & TRUST COMPANY,Northern Bank & Trust Company,Private,00-176-5650,Manufacturer,Non-Subsidiary,1960,Headquarters,MASSACHUSETTS,522110,Commercial Banking,,,,,60229901,"State trust companies accepting deposits, commercial","$98,942,000 ",95,30,"$98,942,000 "
"NETWORK SOLUTIONS, LLC",Network Solutions LLC,Private,09-636-1225,Manufacturer,Subsidiary,1979,Headquarters,VIRGINIA,519190,All Other Information Services,"517311, 518210, 519190, 522320","""Wired Telecommunications Carriers "", ""Data Processing, Hosting, and Related Services"", ""All Other Information Services"", ""Financial Transactions Processing, Reserve, and Clearinghouse Activities ""","4813, 7374, 7375, 7389","""Telephone communications, exc. radio"", ""Data processing and preparation"", ""Information retrieval services"", ""Business services, nec""",73750000,Information retrieval services,"$97,462,169 ",900,400,"$97,462,169 "
COBRA ELECTRONICS CORPORATION,Cobra Electronics Corp,Public,00-506-8986,Manufacturer,Subsidiary,1961,Headquarters,ILLINOIS,443142,Electronics Stores,443142,"""Electronics Stores """,5999,"""Miscellaneous retail stores, nec""",59990600,Telephone and communication equipment,"$90,000,000 ",156,80,"$100,000,000 "
HOMEQ SERVICING CORPORATION,HomEq Servicing,Private,04-986-0505,Manufacturer,Subsidiary,1967,Headquarters,CALIFORNIA,522292,Real Estate Credit,,,,,61629903,Mortgage bankers,"$79,404,904 ","1,200","1,000","$79,404,904 "
FCI USA LLC,FCI USA LLC,Private,00-118-4167,Manufacturer,Subsidiary,1924,Headquarters,PENNSYLVANIA,335931,Current-Carrying Wiring Device Manufacturing,,,,,36430302,Connectors and terminals for electrical devices,"$72,000,000 ",500,350,"$72,000,000 "
SCHRODER INVESTMENT MANAGEMENT NORTH AMERICA INC.,SC State Auditor,Private,02-919-2945,Manufacturer,Subsidiary,1939,Headquarters,NEW YORK,523930,Investment Advice,,,,,62829902,Investment advisory service,"$66,122,695 ",143,75,"$66,122,695 "
"FORTUNE INDUSTRIES, INC.",Fortune Industries Inc,Public,86-011-5786,Manufacturer,Subsidiary,1988,Headquarters,INDIANA,561311,Employment Placement Agencies,"541612, 561311","""Human Resources Consulting Services "", ""Employment Placement Agencies ""","7361, 8742","""Employment agencies"", ""Management consulting services""",73610000,Employment agencies,"$56,347,668 ",96,85,"$57,188,475 "
KAYAK SOFTWARE CORPORATION,K Hovnanian Enterprises,Public,17-530-8845,Manufacturer,Subsidiary,2004,Headquarters,CONNECTICUT,561510,Travel Agencies,561510,"""Travel Agencies""",4724,"""Travel agencies""",47249901,"Tourist agency arranging transport, lodging and car rental","$42,527,877 ",185,27,"$42,527,877 "
NEWBURYPORT FIVE CENTS SAVINGS BANK INC,Newburyport Five Cents Savings Bank,Private,00-695-5330,Manufacturer,Non-Subsidiary,1854,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$36,474,000 ",90,90,"$31,775,000 "
ROUNDPOINT MORTGAGE SERVICING CORPORATION,Roundpoint Mortgage Servicing Corp,Private,82-910-8286,Manufacturer,Subsidiary,2007,Headquarters,NORTH CAROLINA,522298,All Other Nondepository Credit Intermediation,,,,,61599901,General and industrial loan institutions,"$28,401,271 ",89,53,"$28,401,271 "
MECHANICS COOPERATIVE BANK,Mechanics Cooperative Bank,Private,06-984-7861,Manufacturer,Non-Subsidiary,1877,Headquarters,MASSACHUSETTS,522110,Commercial Banking,,,,,60220000,State commercial banks,"$27,970,000 ",30,30,"$25,290,000 "
BRIDGEWATER SAVINGS BANK,Bridgewater Savings Bank,Private,01-975-9562,Manufacturer,Non-Subsidiary,1872,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60359902,Federal savings banks,"$26,066,000 ",100,40,"$23,672,000 "
"CHILDREN'S FRIEND, INC.",Children's Friend,Private,09-238-7281,Manufacturer,Non-Subsidiary,1976,Headquarters,GEORGIA,624410,Child Day Care Services,,,,,83519901,Group day care center,"$24,575,743 ",950,15,"$25,610,351 "
CAPE ANN SAVINGS BANK,Cape Ann Savings Bank,Private,00-695-4465,Manufacturer,Non-Subsidiary,1846,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$23,789,000 ",70,65,"$21,376,000 "
"NASHBAR DIRECT, INC.",Nashbar Direct Inc,Private,05-231-9001,Manufacturer,Subsidiary,1964,Single Location,OHIO,454110,Electronic Shopping and Mail-Order Houses,,,,,59619910,"Fitness and sporting goods, mail order","$23,786,138 ",200,200,$0 
CAPE COD COOPERATIVE BANK,Cape Cod Cooperative Bank,Private,07-660-6599,Manufacturer,Non-Subsidiary,1921,Headquarters,MASSACHUSETTS,522310,Mortgage and Nonmortgage Loan Brokers,,,,,61630000,Loan brokers,"$23,514,698 ",90,30,"$25,516,691 "
HEALTH DIALOG SERVICES CORPORATION,"Health and Human Services, State of NH",Private,93-394-9158,Manufacturer,Subsidiary,1995,Headquarters,NEW HAMPSHIRE,621610,Home Health Care Services,621610,"""Home Health Care Services""",8082,"""Home health care services""",80820000,Home health care services,"$22,693,462 ",300,30,"$27,067,695 "
NORTH EASTON SAVINGS BANK,North Easton Savings Bank,Private,01-976-0784,Manufacturer,Non-Subsidiary,1864,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$20,467,000 ",70,70,"$19,236,000 "
FAMILY SAVINGS FEDERAL CREDIT UNION (INC),Family Federal Savings,Private,10-208-1635,Manufacturer,Non-Subsidiary,1951,Headquarters,ALABAMA,522130,Credit Unions,,,,,60610000,Federal credit unions,"$18,755,063 ",92,48,"$17,762,917 "
