Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country/Region,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country/Region,Physical County,Physical State,Physical Zipcode,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
NATIONAL RESTAURANT ASSOCIATION,Private,07-313-3969,,,07-313-3969,NATIONAL RESTAURANT ASSOCIATION,07-313-3969,NATIONAL RESTAURANT ASSOCIATION,38.903777,"BUSINESS ASSOCIATIONS, NSK",-77.046031,Manufacturer,Low,1 - Most likely to pay,No,Owns,(202) 973-3951,Non-Subsidiary,WWW.RESTAURANT.ORG,1919,,,361525480,07-313-3969,NATIONAL RESTAURANT ASSOCIATION,,Headquarters,,,,,,,2055 L ST NW STE 700,WASHINGTON,USA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,200364985,813910,Business Associations,,,,,86110100,Trade associations,"$110,192,183",250,75,"$110,192,183",250,"85,000"
"CSC CORPORATE DOMAINS, INC.",Private,80-847-5805,,,04-451-9650,CORPORATION SERVICE COMPANY INC,04-451-9650,CORPORATION SERVICE COMPANY INC,39.76047,"LEGAL SERVICES, NSK",-75.623399,Manufacturer,Low,2 - Likely to pay,No,Rent,(902) 746-5201,Subsidiary,WWW.CSCGLOBAL.COM,1997,,CSC,,04-451-9650,CORPORATION SERVICE COMPANY INC,,Headquarters,,,,,,,251 LITTLE FALLS DR,WILMINGTON,USA,NEW CASTLE,DELAWARE,198081674,541110,Offices of Lawyers,,,,,81110000,Legal services,"$103,568,220",855,84,"$2,046,072",21,0
"PENTAIR AQUATIC ECO-SYSTEMS, INC.",Private,03-802-8759,Both,,03-802-8759,"PENTAIR AQUATIC ECO-SYSTEMS, INC.",03-802-8759,"PENTAIR AQUATIC ECO-SYSTEMS, INC.",28.641347,"PLUMBING FIXTURES,EQUIP,AND SUPPLIES,NEC",-81.462376,Manufacturer,Low,3 - Neutral,No,Owns,(407) 886-7575,Non-Subsidiary,WWW.PENTAIRAES.COM,1978,,PENTAIR AQUATIC HABITATS,591907012,03-802-8759,"PENTAIR AQUATIC ECO-SYSTEMS, INC.",,Headquarters,,,,,,,2395 APOPKA BLVD,APOPKA,USA,ORANGE,FLORIDA,327037772,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,,,,50740000,Plumbing and hydronic heating supplies,"$101,897,376",140,80,"$101,897,376",140,"30,000"
"EASTWOOD CONSTRUCTION, LLC",Private,08-507-3856,,,08-507-3856,"EASTWOOD CONSTRUCTION, LLC",08-507-3856,"EASTWOOD CONSTRUCTION, LLC",35.234743,"SINGLE-FAMILY HOUSING CONSTRUCTION, NSK",-80.913671,Manufacturer,Low,2 - Likely to pay,No,Owns,(704) 399-4663,Non-Subsidiary,WWW.EASTWOODHOMES.COM,1977,,EASTWOOD HOMES,561169279,08-507-3856,"EASTWOOD CONSTRUCTION, LLC",,Headquarters,,,,,,,2857 WESTPORT RD,CHARLOTTE,USA,MECKLENBURG,NORTH CAROLINA,282083647,236115,New Single-Family Housing Construction (except For-Sale Builders),,,,,15219901,"New construction, single-family houses","$99,887,665",270,30,"$90,806,968",270,0
PROTRAVEL INTERNATIONAL LLC,Private,10-330-1636,,,10-330-1636,PROTRAVEL INTERNATIONAL LLC,10-330-1636,PROTRAVEL INTERNATIONAL LLC,40.761611,"TRAVEL AGENCIES, NSK",-73.983986,Manufacturer,High,5 - Least Likely to pay,No,,(212) 755-4550,Non-Subsidiary,WWW.PROTRAVELINC.COM,1983,,PROTRAVEL,133189146,10-330-1636,PROTRAVEL INTERNATIONAL LLC,,Headquarters,,,,,,,1633 BROADWAY FL 35,NEW YORK,USA,NEW YORK,NEW YORK,100196770,561510,Travel Agencies,,,,,47240000,Travel agencies,"$99,207,609",800,100,"$90,545,569",800,0
CATHOLIC UNITED FINANCIAL,Private,07-649-9961,,,07-649-9961,CATHOLIC UNITED FINANCIAL,07-649-9961,CATHOLIC UNITED FINANCIAL,45.046982,CIVIC AND SOCIAL ASSOCIATIONS,-93.14708,Manufacturer,Low,1 - Most likely to pay,No,Owns,(651) 490-0170,Non-Subsidiary,WWW.CATHOLICUNITEDFINANCIAL.ORG,1878,,,410182070,07-649-9961,CATHOLIC UNITED FINANCIAL,,Headquarters,,,,,,,3499 LEXINGTON AVE N,SAINT PAUL,USA,RAMSEY,MINNESOTA,551267055,813410,Civic and Social Organizations,,,,,86410200,Fraternal associations,"$96,313,207",50,50,"$96,313,207",50,"36,000"
RAIN BIRD CORPORATION,Private,00-848-9197,Both,,00-848-9197,RAIN BIRD CORPORATION,00-848-9197,RAIN BIRD CORPORATION,34.142469,"VALVES AND PIPE FITTINGS, NEC",-117.921233,Non Manufacturer,Low,4 - Less likely to pay,No,Rent,(626) 812-3400,Non-Subsidiary,WWW.RAINBIRD.COM,1933,,RAIN BIRD,951498991,00-848-9197,RAIN BIRD CORPORATION,,Headquarters,,,,,,,970 W SIERRA MADRE AVE,AZUSA,USA,LOS ANGELES,CALIFORNIA,917021873,332919,Other Metal Valve and Pipe Fitting Manufacturing,"332913, 332919, 333111","""Plumbing Fixture Fitting and Trim Manufacturing "", ""Other Metal Valve and Pipe Fitting Manufacturing "", ""Farm Machinery and Equipment Manufacturing ""","3432, 3494, 3523","""Plumbing fixture fittings and trim"", ""Valves and pipe fittings, nec"", ""Farm machinery and equipment""",34949902,"Sprinkler systems, field","$94,498,538",850,125,"$85,907,762",250,0
NEUE GALERIE NEW YORK,Private,02-503-9376,Importer,,,,,,40.781383,"MUSEUMS AND ART GALLERIES, NSK",-73.960452,Manufacturer,Low,2 - Likely to pay,No,Owns,(212) 628-6200,Non-Subsidiary,WWW.NEUEGALERIE.ORG,1998,,,134047433,,,,Single Location,,,,,,,1048 5TH AVE,NEW YORK,USA,NEW YORK,NEW YORK,100280111,712110,Museums,,,,,84129902,Museum,"$91,681,178",25,25,"$101,867,976",25,0
REEB MILLWORK CORPORATION,Private,01-169-5533,Both,,01-169-5533,REEB MILLWORK CORPORATION,01-169-5533,REEB MILLWORK CORPORATION,0,"LUMBER, PLYWOOD, AND MILLWORK, NSK",0,Non Manufacturer,Low,N/A,No,,(610) 867-6160,Non-Subsidiary,WWW.REEB.COM,1919,,,221223387,01-169-5533,REEB MILLWORK CORPORATION,,Headquarters,P.O. BOX 5332,BETHLEHEM,USA,NORTHAMPTON,PENNSYLVANIA,180150332,1000 MALONEY CIR,BETHLEHEM,USA,NORTHAMPTON,PENNSYLVANIA,180158976,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,,,,50310300,Doors and windows,"$90,819,917",256,124,$0,0,0
"FLEXSHOPPER, INC.",Public,83-278-8132,,,83-278-8132,"FLEXSHOPPER, INC.",83-278-8132,"FLEXSHOPPER, INC.",26.394045,"SHORT-TERM BUSINESS CREDIT, NSK",-80.105877,Manufacturer,Low,3 - Neutral,No,Rent,(855) 353-9289,Non-Subsidiary,WWW.FLEXSHOPPER.COM,2003,,FLEXSHOPPER,,83-278-8132,"FLEXSHOPPER, INC.",,Headquarters,,,,,,,901 W YAMATO RD STE 260,BOCA RATON,USA,PALM BEACH,FLORIDA,334314415,522298,All Other Nondepository Credit Intermediation,,,,,61530000,"Short-term business credit institutions, except agricultural","$88,789,889",180,25,"$88,789,889",125,"21,622"
"CENTURY, LLC",Private,80-011-5891,Both,,80-011-5891,"CENTURY, LLC",80-011-5891,"CENTURY, LLC",35.454445,SPORTING AND RECREATION GOODS,-97.379544,Non Manufacturer,Low,2 - Likely to pay,No,,(405) 732-2226,Non-Subsidiary,WWW.CENTURYMARTIALARTS.COM,1992,,CENTURY MARTIAL ART SUPPLY,731403012,80-011-5891,"CENTURY, LLC",,Headquarters,,,,,,,1000 CENTURY BLVD,OKLAHOMA CITY,USA,OKLAHOMA,OKLAHOMA,731107961,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,,,,50910000,Sporting and recreation goods,"$85,976,324",300,141,"$79,239,641",300,"455,000"
ORRSTOWN BANK,Private,01-517-0038,,,19-657-9080,"ORRSTOWN FINANCIAL SERVICES, INC.",19-657-9080,"ORRSTOWN FINANCIAL SERVICES, INC.",40.05125,STATE COMMERCIAL BANKS,-77.518936,Manufacturer,Low,1 - Most likely to pay,No,Owns,(717) 532-6114,Subsidiary,WWW.ORRSTOWN.COM,1907,,,230934350,19-657-9080,"ORRSTOWN FINANCIAL SERVICES, INC.",,Headquarters,P.O. BOX 250,SHIPPENSBURG,USA,CUMBERLAND,PENNSYLVANIA,172570250,77 E KING ST,SHIPPENSBURG,USA,CUMBERLAND,PENNSYLVANIA,172571351,522110,Commercial Banking,,,,,60229901,"State trust companies accepting deposits, commercial","$85,071,000",105,10,"$85,071,000",105,"5,000"
BROWARD COLLEGE,Private,07-602-3225,,,00-407-8374,STATE OF FLORIDA,08-113-7849,THE FLORIDA COLLEGE SYSTEM,26.119143,"COLLEGES AND UNIVERSITIES, NSK",-80.142124,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(954) 201-7350,Subsidiary,WWW.BROWARD.EDU,1960,,,237181959,00-407-8374,STATE OF FLORIDA,,Headquarters,,,,,,,111 E LAS OLAS BLVD,FORT LAUDERDALE,USA,BROWARD,FLORIDA,333012206,611310,"Colleges, Universities, and Professional Schools",,,,,82210101,"College, except junior","$82,424,603","1,434",175,"$82,424,603","1,434","45,000"
"INTERNATIONAL COUNCIL OF SHOPPING CENTERS, INC.",Private,06-825-8326,,,06-825-8326,"INTERNATIONAL COUNCIL OF SHOPPING CENTERS, INC.",06-825-8326,"INTERNATIONAL COUNCIL OF SHOPPING CENTERS, INC.",40.75876,"BUSINESS ASSOCIATIONS, NSK",-73.981299,Non Manufacturer,Low,5 - Least Likely to pay,No,Rent,(646) 728-3800,Non-Subsidiary,WWW.ICSC.COM,1957,,ICSC,131854667,06-825-8326,"INTERNATIONAL COUNCIL OF SHOPPING CENTERS, INC.",,Headquarters,,,,,,,1221 AVE OF THE AMRCAS FL,NEW YORK,USA,NEW YORK,NEW YORK,100201001,813910,Business Associations,,,,,86110100,Trade associations,"$81,855,545",400,150,"$81,855,545",400,"45,677"
LEAFFILTER NORTH LLC,Private,79-196-9640,,,79-196-9640,LEAFFILTER NORTH LLC,79-196-9640,LEAFFILTER NORTH LLC,41.208409,"ROOFING, SIDING, AND SHEETMETAL WORK, NSK",-81.436953,Manufacturer,Low,4 - Less likely to pay,No,,(330) 655-7950,Non-Subsidiary,WWW.LEAFFILTER.COM,2007,,,,79-196-9640,LEAFFILTER NORTH LLC,,Headquarters,,,,,,,1595 GEORGETOWN RD STE G,HUDSON,USA,SUMMIT,OHIO,442364045,238390,Other Building Finishing Contractors,,,,,17610101,Gutter and downspout contractor,"$80,541,046",401,106,"$82,376,073",469,0
"CREATIVE BUS SALES, INC.",Private,03-874-3944,Exporter,,03-874-3944,"CREATIVE BUS SALES, INC.",03-874-3944,"CREATIVE BUS SALES, INC.",33.985736,"NEW AND USED CAR DEALERS, NSK",-117.70648,Manufacturer,Low,3 - Neutral,No,,(866) 948-0787,Non-Subsidiary,WWW.CREATIVEBUSSALES.COM,1990,,GETAWAY BUS,330388707,03-874-3944,"CREATIVE BUS SALES, INC.",,Headquarters,,,,,,,14740 RAMONA AVE,CHINO,USA,SAN BERNARDINO,CALIFORNIA,917105747,441110,New Car Dealers,,,,,55110000,New and used car dealers,"$78,666,659",136,35,"$87,407,399",99,0
CALIFORNIA COLLEGE OF THE ARTS,Private,07-395-1170,,,07-395-1170,CALIFORNIA COLLEGE OF THE ARTS,07-395-1170,CALIFORNIA COLLEGE OF THE ARTS,37.836218,"COLLEGES AND UNIVERSITIES, NSK",-122.251131,Manufacturer,Low,2 - Likely to pay,No,Owns,(510) 594-3600,Non-Subsidiary,WWW.CCA.EDU,1922,,C C A,941156485,07-395-1170,CALIFORNIA COLLEGE OF THE ARTS,,Headquarters,,,,,,,5212 BROADWAY,OAKLAND,USA,ALAMEDA,CALIFORNIA,946181426,611310,"Colleges, Universities, and Professional Schools",,,,,82210101,"College, except junior","$76,192,000",280,180,"$76,192,000",280,"150,000"
"CALIFORNIA STATE UNIVERSITY, FRESNO",Private,79-375-1087,,,07-154-9000,STATE OF CALIFORNIA,94-738-1554,CALIFORNIA STATE UNIVERSITY SYSTEM,36.815267,"COLLEGES AND UNIVERSITIES, NSK",-119.74527,Manufacturer,Medium,5 - Least Likely to pay,No,,(559) 278-4240,Subsidiary,WWW.FRESNOSTATE.EDU,2008,,FRESNOSTATE,770243780,07-154-9000,STATE OF CALIFORNIA,,Headquarters,,,,,,,5241 N MAPLE AVE,FRESNO,USA,FRESNO,CALIFORNIA,937400001,611310,"Colleges, Universities, and Professional Schools","611310, 923110","""Colleges, Universities, and Professional Schools "", ""Administration of Education Programs ""","8221, 9411","""Colleges and universities"", ""Admin. of educational programs""",82210102,University,"$73,408,502",500,17,"$81,565,002",500,0
"WORLD TRAVEL HOLDINGS, INC.",Private,79-824-7453,,,79-824-7453,"WORLD TRAVEL HOLDINGS, INC.",79-824-7453,"WORLD TRAVEL HOLDINGS, INC.",42.560589,"TRAVEL AGENCIES, NSK",-71.137653,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(617) 424-7990,Non-Subsidiary,WWW.WORLDTRAVELHOLDINGS.COM,2003,,CRUISES ONLY,141973427,79-824-7453,"WORLD TRAVEL HOLDINGS, INC.",,Headquarters,,,,,,,100 FORDHAM RD BLDG C2ND,WILMINGTON,USA,MIDDLESEX,MASSACHUSETTS,018872168,561510,Travel Agencies,561510,"""Travel Agencies""",4724,"""Travel agencies""",47240000,Travel agencies,"$72,811,857",700,100,"$72,811,857",700,"21,000"
"BULLETPROOF 360, INC.",Private,07-968-2045,,,,,,,47.604859,"GROCERIES AND RELATED PRODUCTS, NEC, NSK",-122.33636,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(206) 466-5428,Non-Subsidiary,WWW.BULLETPROOF.COM,2013,,,,,,,Single Location,,,,,,,1012 1ST AVE STE 400,SEATTLE,USA,KING,WASHINGTON,981041193,424490,Other Grocery and Related Products Merchant Wholesalers,,,,,51490602,Health foods,"$72,359,623",290,290,"$59,801,341",290,"5,830"
"LION EQUITY PARTNERS, LLC",Private,96-200-3997,,,96-200-3997,"LION EQUITY PARTNERS, LLC",96-200-3997,"LION EQUITY PARTNERS, LLC",39.72048,"INVESTORS, NEC",-104.958218,Manufacturer,Low,2 - Likely to pay,No,,(303) 847-4100,Non-Subsidiary,WWW.LIONEQUITY.COM,2007,,,,96-200-3997,"LION EQUITY PARTNERS, LLC",,Headquarters,,,,,,,260 JOSEPHINE ST STE 220,DENVER,USA,DENVER,COLORADO,802064719,523910,Miscellaneous Intermediation,,,,,67990000,"Investors, nec","$68,181,632",308,8,"$68,181,632",309,0
"CHAR-BROIL, LLC",Private,78-785-1166,Both,,09-407-4523,W. C. BRADLEY CO.,09-407-4523,W. C. BRADLEY CO.,32.529038,HOMEFURNISHINGS,-84.97114,Manufacturer,Low,1 - Most likely to pay,No,Owns,(706) 571-7000,Subsidiary,WWW.CHARBROIL.COM,2004,,,,09-407-4523,W. C. BRADLEY CO.,,Headquarters,,,,,,,1442 BELFAST AVE,COLUMBUS,USA,MUSCOGEE,GEORGIA,319044432,423220,Home Furnishing Merchant Wholesalers,,,,,50230108,"Grills, barbecue","$60,165,696",200,199,"$60,165,696",200,"1,000,000"
"FUNDING CIRCLE USA, INC.",Private,00-562-2699,,,21-655-3897,FUNDING CIRCLE HOLDINGS PLC,21-172-7923,FUNDING CIRCLE LTD,37.788221,"SHORT-TERM BUSINESS CREDIT, NSK",-122.39999,Manufacturer,Low,5 - Least Likely to pay,No,,(855) 385-5356,Subsidiary,WWW.FUNDINGCIRCLE.COM,2014,,ENDURANCE LENDING NETWORK,,00-562-2699,FUNDING CIRCLE HOLDINGS PLC,,Single Location,,,,,,,85 2ND ST STE 400,SAN FRANCISCO,USA,SAN FRANCISCO,CALIFORNIA,941053462,522298,All Other Nondepository Credit Intermediation,,,,,61530100,Working capital financing,"$59,812,503",55,55,"$59,971,780",55,0
"CAPITAL DIGESTIVE CARE, LLC",Private,02-563-5747,,,02-563-5747,"CAPITAL DIGESTIVE CARE, LLC",02-563-5747,"CAPITAL DIGESTIVE CARE, LLC",39.060768,"OFFICES AND CLINICS MEDICAL DOCTORS,NSK",-76.962434,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(240) 485-5203,Non-Subsidiary,WWW.CAPITALDIGESTIVECARE.COM,2007,,,651313380,02-563-5747,"CAPITAL DIGESTIVE CARE, LLC",,Headquarters,,,,,,,12510 PROSPERITY DR # 200,SILVER SPRING,USA,MONTGOMERY,MARYLAND,209041640,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110103,Gastronomist,"$59,049,000",300,30,"$72,900,000",300,"7,400"
CITY OF BOZEMAN,Private,08-370-5293,,,08-370-5293,CITY OF BOZEMAN,08-370-5293,CITY OF BOZEMAN,45.679366,"EXECUTIVE OFFICES, NSK",-111.031713,Manufacturer,Low,1 - Most likely to pay,No,Owns,(406) 582-2300,Non-Subsidiary,WWW.BOZEMAN.NET,1883,,,816001238,08-370-5293,CITY OF BOZEMAN,,Headquarters,P.O. BOX 1230,BOZEMAN,USA,GALLATIN,MONTANA,597711230,411 E MAIN ST,BOZEMAN,USA,GALLATIN,MONTANA,597154700,921110,Executive Offices,,,,,91110201,City and town managers' office,"$58,474,623",360,23,$0,360,"15,000"
"ASI CONSTRUCTORS, INC.",Private,60-183-8209,Importer,,65-005-6179,PATEL ENGINEERING LIMITED,65-005-6179,PATEL ENGINEERING LIMITED,39.747529,"SINGLE-FAMILY HOUSING CONSTRUCTION, NSK",-104.983328,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(303) 741-6410,Subsidiary,WWW.ASICONSTRUCTORS.COM,2005,,A S I,203978997,60-183-8209,PATEL ENGINEERING LIMITED,,Single Location,,,,,,,280 E 20TH AVE,DENVER,USA,DENVER,COLORADO,802053148,236115,New Single-Family Housing Construction (except For-Sale Builders),,,,,15210000,Single-family housing construction,"$57,698,310",110,110,"$79,147,201",110,"4,000"
"ALPHA INDUSTRIES, INC.",Private,00-337-7694,Importer,,00-337-7694,"ALPHA INDUSTRIES, INC.",00-337-7694,"ALPHA INDUSTRIES, INC.",38.871236,"MENS AND BOYS SUITS AND COATS, NSK",-77.438713,Non Manufacturer,Low,1 - Most likely to pay,No,Rent,(703) 378-1420,Non-Subsidiary,WWW.ALPHAINDUSTRIES.COM,1959,,,620627504,00-337-7694,"ALPHA INDUSTRIES, INC.",,Headquarters,,,,,,,14200 PK MADOW DR STE 110,CHANTILLY,USA,FAIRFAX,VIRGINIA,20151,315210,Cut and Sew Apparel Contractors,315210,"""Cut and Sew Apparel Contractors """,2311,"""Men's and boys' suits and coats""",23110302,"Military uniforms, men's and youths': purchased materials","$57,406,173",400,350,"$63,055,869",400,"70,000"
"APTOS, INC.",Private,06-760-5154,,,08-059-9879,"APTOS HOLDING (US) 2, INC.",08-059-9879,"APTOS HOLDING (US) 2, INC.",33.846557,"CUSTOM COMPUTER PROGRAMMING SERVICES, NSK",-84.356522,Manufacturer,Low,4 - Less likely to pay,No,Rent,(866) 493-7037,Subsidiary,WWW.APTOS.COM,1981,,,141624962,08-059-9879,"APTOS HOLDING (US) 2, INC.",,Headquarters,,,,,,,945 E PACES FERRY RD NE # 2500,ATLANTA,USA,FULTON,GEORGIA,303261362,541511,Custom Computer Programming Services,,,,,73710101,"Computer software systems analysis and design, custom","$56,133,000",350,230,"$62,370,000",350,0
"TAUCK, INC.",Private,04-768-1069,Importer,,04-768-1069,"TAUCK, INC.",04-768-1069,"TAUCK, INC.",41.181024,TOUR OPERATORS,-73.414848,Manufacturer,Low,2 - Likely to pay,No,Rent,(203) 899-6500,Non-Subsidiary,WWW.TAUCK.COM,1925,,TAUCK WORLD DISCOVERY,131368720,04-768-1069,"TAUCK, INC.",,Headquarters,,,,,,,10 WESTPORT RD FL 1,WILTON,USA,FAIRFIELD,CONNECTICUT,068974548,561520,Tour Operators,"561510, 561520","""Travel Agencies"", ""Tour Operators""","4724, 4725","""Travel agencies"", ""Tour operators""",47250000,Tour operators,"$53,578,575",350,175,"$54,541,475",350,0
AMERICAN ESOTERIC LABORATORIES,Private,15-251-8713,,,15-251-8713,AMERICAN ESOTERIC LABORATORIES,15-251-8713,AMERICAN ESOTERIC LABORATORIES,35.171679,TESTING LABORATORIES,-89.839476,Manufacturer,Low,2 - Likely to pay,No,Rent,(901) 405-8200,Non-Subsidiary,WWW.AEL.COM,2003,,AEL,,15-251-8713,AMERICAN ESOTERIC LABORATORIES,,Headquarters,,,,,,,1701 CENTURY CENTER CV,MEMPHIS,USA,SHELBY,TENNESSEE,381348975,541380,Testing Laboratories,,,,,87340000,Testing laboratories,"$53,449,739",700,11,"$53,449,739",700,"60,000"
"CORPORATE EMPLOYMENT RESOURCES, INC.",Private,03-067-3102,Importer,,21-109-5301,IMPELLAM GROUP PLC,10-565-8806,"CORPORATE SERVICES GROUP HOLDINGS, INC.",33.84979,"EMPLOYMENT AGENCIES, NSK",-84.361348,Manufacturer,Low,4 - Less likely to pay,No,,(713) 438-1400,Subsidiary,WWW.CORESTAFF.COM,2001,Ernst & Young LLP,CORESTAFF SERVICES,953496539,10-565-8806,IMPELLAM GROUP PLC,,Headquarters,,,,,,,3475 LENOX RD NE STE 450,ATLANTA,USA,FULTON,GEORGIA,303263231,561311,Employment Placement Agencies,"561311, 561320","""Employment Placement Agencies "", ""Temporary Help Services""","7361, 7363","""Employment agencies"", ""Help supply services""",73610000,Employment agencies,"$48,998,232",496,150,"$48,998,232",496,0
"PLOW & HEARTH, LLC",Private,96-230-6218,Importer,,83-936-9857,"EVERGREEN ENTERPRISES, INC.",83-936-9857,"EVERGREEN ENTERPRISES, INC.",38.347899,CATALOG AND MAIL-ORDER HOUSES,-78.29129,Manufacturer,Low,4 - Less likely to pay,No,Owns,(540) 948-2272,Subsidiary,WWW.PLOWHEARTH.COM,1980,,WIND AND WEATHER,,83-936-9857,"EVERGREEN ENTERPRISES, INC.",,Headquarters,P.O. BOX 5000,MADISON,USA,MADISON,VIRGINIA,227271500,7021 WOLFTOWN HOOD RD,MADISON,USA,MADISON,VIRGINIA,227272200,454110,Electronic Shopping and Mail-Order Houses,,,,,59619916,"Mail order house, nec","$48,802,745",199,100,"$56,136,465",199,"100,000"
VILLAGE OF WELLINGTON,Private,02-602-8332,,,02-602-8332,VILLAGE OF WELLINGTON,02-602-8332,VILLAGE OF WELLINGTON,26.65784,"EXECUTIVE OFFICES, NSK",-80.238493,Manufacturer,Low,1 - Most likely to pay,No,Owns,(561) 791-4000,Non-Subsidiary,WWW.WELLINGTONFL.GOV,1953,,,650645105,02-602-8332,VILLAGE OF WELLINGTON,,Headquarters,,,,,,,12300 FOREST HILL BLVD,WELLINGTON,USA,PALM BEACH,FLORIDA,334147699,921110,Executive Offices,,,,,91110201,City and town managers' office,"$47,546,192",300,4,$0,300,"14,000"
"SHOE STATION, INC.",Private,11-854-3867,Importer,,11-854-3867,"SHOE STATION, INC.",11-854-3867,"SHOE STATION, INC.",30.663253,SHOE STORES,-88.122393,Manufacturer,Low,4 - Less likely to pay,No,Rent,(251) 476-7472,Non-Subsidiary,WWW.SHOESTATION.COM,1984,,,630879160,11-854-3867,"SHOE STATION, INC.",,Headquarters,,,,,,,720 EXECUTIVE PARK DR,MOBILE,USA,MOBILE,ALABAMA,366063595,448210,Shoe Stores,,,,,56610000,Shoe stores,"$43,458,035",340,60,"$48,286,705",340,"7,000"
CABRILLO COMMUNITY COLLEGE DISTRICT,Private,96-472-4277,,,,,,,36.988237,JUNIOR COLLEGES,-121.924939,Manufacturer,Low,3 - Neutral,No,,(831) 479-6100,Non-Subsidiary,WWW.CABRILLO.EDU,2010,,CABRILLO COLLEGE,,,,,Single Location,,,,,,,6500 SOQUEL DR,APTOS,USA,SANTA CRUZ,CALIFORNIA,950033119,611210,Junior Colleges,,,,,82229901,Community college,"$41,874,937",99,99,"$41,874,937",99,0
"STRATEGIC ANALYSIS, INC.",Private,15-387-8996,,,15-387-8996,"STRATEGIC ANALYSIS, INC.",15-387-8996,"STRATEGIC ANALYSIS, INC.",38.879927,MANAGEMENT CONSULTING SERVICES,-77.1086,Manufacturer,Low,3 - Neutral,No,Rent,(703) 527-5410,Non-Subsidiary,WWW.SAINC.COM,1986,,,541367100,15-387-8996,"STRATEGIC ANALYSIS, INC.",,Headquarters,,,,,,,4075 WILSON BLVD STE 200,ARLINGTON,USA,ARLINGTON,VIRGINIA,222032141,541611,Administrative Management and General Management Consulting Services,,,,,87429902,Business management consultant,"$38,525,951",280,125,"$38,525,951",280,"29,000"
NORTHWEST UNIVERSITY,Private,07-573-8443,,,07-573-8443,NORTHWEST UNIVERSITY,07-573-8443,NORTHWEST UNIVERSITY,47.658442,"COLLEGES AND UNIVERSITIES, NSK",-122.196155,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(425) 822-8266,Non-Subsidiary,WWW.NORTHWESTU.EDU,1934,,,910615846,07-573-8443,NORTHWEST UNIVERSITY,,Headquarters,P.O. BOX 579,KIRKLAND,USA,KING,WASHINGTON,980830579,5520 108TH AVE NE,KIRKLAND,USA,KING,WASHINGTON,980337523,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$38,182,000",150,73,"$38,182,000",150,"202,821"
CENTRIS FEDERAL CREDIT UNION,Private,06-867-3441,,,06-867-3441,CENTRIS FEDERAL CREDIT UNION,06-867-3441,CENTRIS FEDERAL CREDIT UNION,41.205214,FEDERAL CREDIT UNIONS,-96.097147,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(402) 334-7000,Non-Subsidiary,WWW.CENTRISFCU.ORG,1934,,,470376036,06-867-3441,CENTRIS FEDERAL CREDIT UNION,,Headquarters,,,,,,,11825 Q ST,OMAHA,USA,DOUGLAS,NEBRASKA,681373503,522130,Credit Unions,,,,,60610000,Federal credit unions,"$37,246,378",165,55,"$37,246,378",165,0
"WEST MUSIC COMPANY, INC.",Private,02-220-4960,Importer,,02-220-4960,"WEST MUSIC COMPANY, INC.",02-220-4960,"WEST MUSIC COMPANY, INC.",41.70034,MUSICAL INSTRUMENT STORES,-91.637131,Manufacturer,Low,1 - Most likely to pay,No,Owns,(866) 657-3450,Non-Subsidiary,WWW.CONTENT.WESTMUSIC.COM,1954,,SOUND SOLUTION,420737247,02-220-4960,"WEST MUSIC COMPANY, INC.",,Headquarters,P.O. BOX 5521,CORALVILLE,USA,JOHNSON,IOWA,522410521,401 WESTCOR DR,CORALVILLE,USA,JOHNSON,IOWA,522412884,451140,Musical Instrument and Supplies Stores,,,,,57360101,Organs,"$36,761,610",162,118,"$33,000,000",162,"38,870"
