Respondent,Notification Sent,Breach Occurred,IN Affected,Total Affected,Status/Disposition
TheMid-AtlanticCarpenters'TrainingCenters,1/3/2018,10/19/2017,5,2700,Closed
TheNationalRegistryofEmergencyMedicalTechnicians,1/25/2018,11/17/2017,1,843,Closed
TheNationalRestaurantAssociation-DataBreach,4/30/2018,9/27/2017,31,"1,595",Closed
TheNorthwesternMutualLifeInsuranceCompany-DataBreach,10/10/2018,8/23/2018,1,2604,Closed
ThePleasureChestLTD-DataBreach,5/3/2018,10/11/2017,3,222,Closed
TheRenaissanceCompanies,2/28/2018,9/22/2017,13,33,Closed
TheTaxSpecialists-DataBreach,11/20/2018,,2,1188,Closed
TheTownofChristiansburg-DataBreach,11/26/2018,5/17/2018,1,909,Closed
TheVanguardGroupInc,3/6/2018,2/14/2018,1,1,Closed
TheVariableAnnuityLifeInsuranceCompany-DataBreach,7/17/2018,,1,13,Closed
ThermoFisherScientificInc-DataBreach,3/30/2018,,29,"2,900",Closed
ThomasChandlerThomas&HinshawLLP-DataBreach,6/22/2018,2/15/2018,5,"3,406",Closed
TipmontREMC-DataBreach,8/23/2018,7/19/2018,8,8,Closed
TitleNine-DataBreach,9/7/2018,5/19/2018,9,765,Open
TKCHoldingsInc-DataBreach,8/26/2018,4/13/2018,6,2128,Closed
TOA(USA)Inc,2/28/2018,3/1/2014,467,467,Closed
TommieCopperInc-DataBreach,7/11/2018,11/10/2017,548,"28,437",Open
TotalPhasseInc-DataBreach,6/11/2018,3/2/2018,3,734,Closed
ToyotaIndustriesNorthAmericaInc-DataBreach,10/1/2018,8/15/2018,"6,630","19,320",Open
TradeMotion-DataBreach,7/24/2018,10/13/2017,"1,036","81,782",Open
TranDotComSolutions-DataBreach,3/27/2018,,1,14,Closed
Transamerica,6/1/2018,3/1/2017,"7,770","226,881",Open
TransamericaRetirementSolutionsLLC-DataBreach,11/2/2018,8/22/2018,357,"10,636",Open
TransUnionLLC-DataBreach,10/8/2018,7/26/2017,16,242,Open
TransUnionLLC-DataBreach,10/23/2018,2/22/2017,57,7492,Open
"TravisMathew, LLC",10/25/2018,8/13/2018,108,5754,Open
TrinityCollegeofNursingandHealthSciences-DataBreach,8/9/2018,7/27/2018,1,137,Closed
"TrueNetCommunications,Inc.",,,,,Closed
TrustCompanyofIllinoisTCWealthPartners-DataBreach,6/29/2018,4/25/2018,39,2559,Closed
TurnerConstructionCompany-DataBreach,12/10/2018,9/13/2018,2,929,Open
TuskegeeUniversity-DataBreach,6/21/2018,9/24/2017,168,"14,283",Closed
"Tx:TeamRehab,Inc.",1/22/2018,10/30/2017,2,6,Closed
USFacilities-DataBreach,12/19/2018,5/19/2018,7,799,Open
UberTechnologiesInc-DataBreach,10/24/2018,8/30/2018,2,197,Closed
UberTechnologiesInc-DataBreach,,,1,1,Closed
UMHPropertiesInc-DataBreach,3/15/2018,2/14/2018,124,581,Closed
UnderArmour/MyFitnessPalApp-DataBreach,,,,,Closed
UnifiedTrustCompanyNA-DataBreach,11/7/2018,12/6/2017,"1,228","43,000",Open
UnionAssociatedPhysiciansClinicdbaUnionMedicalGroup-DataBreach,2/22/2018,2/10/2018,4,5,Closed
UnionHospital,1/23/2018,1/18/2018,1,1,Closed
UnionHospitalInc-DataBreach,6/29/2018,6/14/2018,1,1,Closed
UnitedDentalPartners,3/7/2018,1/2/2018,2,58,Closed
UnitedServicesAutomobileAssociation-DataBreach,8/15/2018,8/7/2018,1,1,Closed
UniversityofToledo-DataBreach,4/30/2018,1/16/2018,70,"6,094",Closed
UniversityofWisconsin-SuperiorFoundation,2/22/2018,2/1/2018,20,"3,734",Closed
UnoAllaVoltaLLC-DataBreach,5/29/2018,4/18/2018,26,"1,121",Closed
UPS-DataBreach,3/14/2018,2/14/2018,59,"2,395",Closed
UrsaFarmersCooperative-DataBreach,4/3/2018,2/7/2018,2,"2,634",Closed
USGreenFiberLLC-DataBreach,4/2/2018,2/12/2018,5,816,Closed
UTEC-DataBreach,6/4/2018,3/23/2018,88,93,Closed
ValleyoftheSunYMCA,1/17/2018,9/21/2017,3,"2,649",Closed
VanguardDealerServices-DataBreach,9/26/2018,7/27/2018,1,593,Closed
VentivTechnologyInc.,2/1/2018,10/14/2017,3,239,Closed
VerintSystemsInc-DataBreach,5/11/2018,7/28/2017,1,229,Closed
VictoriaIndependentSchoolDistrict-DataBreach,4/4/2018,7/11/2017,6,"35,108",Closed
VillageofWellington-DataBreach,6/7/2018,11/28/2017,5,6125,Closed
VillagePeopleLLC-DataBreach,9/25/2018,8/14/2018,2,1550,Open
ViyetLLCdbaSothebysHome-DataBreach,11/29/2018,,19,6156,Open
VSAPartnersInc,1/24/2018,12/1/2017,5,455,Closed
WWGraingerInc-DataBreach,4/18/2018,9/26/2017,371,"17,902",Closed
WalgreensCo-DataBreach,6/1/2018,12/20/2017,35,"4,365",Closed
WallerandAssociatesInc-DataBreach,6/29/2018,4/29/2016,2,1310,Closed
WaltersandMasonRetailIncdbaAltardState-DataBreach,11/30/2018,8/15/2018,228,8151,Open
WashingtonInitiativeforSupportiveEmployment-DataBreach,11/14/2018,9/8/2018,1,59,Open
HealthandHospitalCorporationofMarionCounty-DataBreach,8/3/2018,6/8/2018,1,1,Closed
WeddleBrothersConstructionCompaniesInc-DataBreach,11/6/2018,8/12/2017,2185,,Open
WeicherCompany-DataBreach,6/11/2018,12/1/2017,2,"3,553",Closed
WeilAkmanBaylinColemanPA-DataBreach,6/7/2018,3/23/2018,1,"3,956",Closed
WelkResortGroupInc-DataBreach,7/25/2018,9/29/2017,5,"1,464",Closed
WellsGardenerTechnologiesInc-DataBreach,9/5/2018,6/25/2018,1,35,Closed
WestEndBankSB-DataBreach,9/21/2018,9/18/2018,1,1,Closed
WestminsterCollege-DataBreach,12/28/2018,5/1/2018,2,1090,Open
WestMinsterInglesideKingFarmPresbyterianRetirementCommunities,1/19/2018,6/21/2017,6,"9,769",Closed
WhitmerandCompanyCPAsLLP-DataBreach,8/20/2018,12/24/2017,13,653,Closed
WhitmerCompanyCPA'sLP-DataBreach,4/10/2018,5/1/2017,14,536,Closed
WholeFoodsMarketGroupInc-DataBreach,10/31/2018,8/3/2018,9,644,Closed
WieseUSAInc-DataBreach,8/17/2018,2/15/2018,4,24,Closed
"WilliamA.Robinson,CPA",1/31/2018,1/15/2018,1,80,Closed
WisdomWealthAbundanceLLC,,,,,Closed
WithumSmithBrownPC-DataBreach,4/25/2018,3/28/2018,3,228,Closed
WoodlawnHospital-DataBreach,,,,,Open
WorldTravelHoldingsInc-DataBreach,4/16/2018,10/1/2017,17,"1,511",Closed
WyndhamVacationResortsInc-DataBreach,11/15/2018,9/17/2018,4,26,Open
XCommerceIncdbaMagentoInc-DataBreach,,,,,Open
XPOLogisticsInc-DataBreach,4/2/2018,2/16/2018,1,14,Closed
YaleUniversity-DataBreach,7/26/2018,4/1/2008,555,"119,000",Closed
YRCWorldwideInc-DataBreach,9/21/2018,7/24/2018,938,"19,635",Closed
ZenithAmericanSolutions-DataBreach,3/21/2018,1/24/2018,1,1,Closed
ZimmerUSIncdbaZimmerBiomet-DataBreach,6/11/2018,5/24/2018,54,81,Closed
HealthandHospitalCorporationofMarionCounty-DataBreach,8/7/2018,6/5/2018,32,32,Closed
ZRSManagementInc-DataBreach,5/16/2018,3/1/2018,5,423,Closed
zumBrunnen-DataBreach,12/28/2018,8/7/2018,1,60,Open
ZurichAmericanInsuranceCompany-DataBreach,9/1/2018,9/1/2013,1,789,Closed
1Hotel,8/17/2017,8/10/2016,3,529,Open
21cMuseumHotelsLLC,7/10/2017,8/10/2016,151,3746,Open
"3BirdsMarketing,LLC",4/5/2017,2/3/2017,1,92,Closed
"AaronJ.Butler,AttorneyatLaw",7/14/2017,6/22/2017,303,303,Closed
"ABB,Inc.",9/11/2017,8/25/2017,127,28012,Closed
AbbottNutrition,2/23/2017,,120140,1652,Open
ABNBFederalCreditUnion,1/24/2017,1/12/2017,1,293,Closed
"ADFInternational,Inc.",4/12/2013,3/10/2017,1,303,Closed
"AdvancedICUCare,Inc.",4/19/2017,3/9/2017,1,320,Closed
Aero-TechLightBulbCo.,9/22/2017,7/4/2017,20,802,Closed
"AffyTapple,LLC",2/24/2017,2/1/2016,37,,Open
"AffyTapple,LLC",9/1/2017,7/5/2017,4,,Closed
AgriBeefCo.,5/4/2017,11/22/2016,77,7933,Closed
"AGSManufacturing,Inc.",1/12/2017,1/10/2017,1,60,Closed
"AimbridgeHospitalityHoldings,LLC",8/24/2017,8/10/2016,66,14884,Closed
Akira,9/1/2017,11/1/2016,952,22513,Closed
AlamoCapital,4/13/2017,3/14/2017,1,1537,Closed
Allergan,9/6/2017,7/25/2017,1,150,Closed
AllstateInsuranceCompany,4/7/2017,,1,358,Closed
AlphaChiSigma,4/10/2017,1/1/2017,5,25,Closed
"AM2Enterprises,LLC",9/15/2017,7/31/2017,246,13088,Closed
AmbassadorTitleServiceandDRITitle&Escrow,2/28/2017,,34,,Closed
AmericanFriendsServiceCommittee,8/21/2017,4/12/2017,4,269,Closed
AmericanGeneralLifeInsuranceCompany,9/7/2017,,1,1,Closed
"AmericanHealthNetworkofIndiana,LLC",4/28/2017,4/13/2017,103,105,Closed
"AmericanHealthNetworkofIndiana,LLC",5/17/2017,10/1/2016,30,30,Closed
AmericanHospitalAssociation,3/22/2017,1/24/2017,2,31,Closed
AmericanPharmacistsAssociation,12/29/2016,4/23/2016,,,Closed
AmericanSeniorCommunities,2/18/2017,1/11/2017,18000,18000,Open
AmericanTireDistributorsHoldingsInc.,3/17/2017,3/3/2017,44,5391,Closed
"Ameriflight,LLC",3/27/2017,3/21/2017,6,876,Closed
AmeripriseFinancialInc,3/15/2017,12/5/2016,1,687,Closed
AmeripriseFinancialInc,4/7/2017,,1,1,Closed
AmeripriseFinancialInc,2/27/2017,,2,2,Closed
"AmplifyEducation,Inc.",2/17/2017,2/2/2017,4,560,Closed
"AnchorPackaging,Inc.",2/5/2017,1/27/2017,4,1538,Closed
Anthem,7/28/2017,7/8/2016,1606,,Open
"Aptos,Inc.",2/25/2017,2/1/2016,28513,,Open
Aqua-AstonHospitalityLLC,7/14/2017,8/10/2016,44,11827,Open
"ArabellaAdvisors,LLC",2/22/2017,1/5/2016,3,553,Closed
ArabianHorseAssociation,4/26/2017,2/16/2017,1,54,Closed
ArapahoeMentalHealthCenterd/b/aAllHealthNetwork,3/20/2017,2/7/2017,1,578,Closed
"Arby'sRestaurantGroup,Inc.",3/10/2017,10/20/2016,unknown,unknown,Closed
ArcelorMittalUSALLC,2/22/2017,2/6/2017,10,42,Closed
ArcherDanielsMidland,9/1/2017,5/31/2017,9,301,Closed
ArgyleIndependentSchoolDistrict,1/26/2017,1/18/2017,1,473,Closed
AshlandUniversity,2/24/2017,2/3/2017,8,,Closed
"AspenTennessee,LLCd/b/aHotelPreston",7/14/2017,7/12/2016,2,269,Closed
AssurantInc.asagentforCitiMortgageInc.,6/16/2017,5/1/2017,4,286,Closed
AstadiaInc.,2/6/2017,2/2/2017,1,437,Closed
"AT&TServices,Inc.",5/19/2017,1/25/2017,336,14878,Closed
"AuroraSpecialtyTextilesGroup,Inc.",3/14/2017,1/26/2017,1,98,Closed
"AutoneumNorthAmerica,Inc.",2/14/2017,2/3/2017,376,,Closed
AvantiMarketsInc.,7/24/2017,7/2/2017,unknown,unknown,Closed
B.C.ZieglerandCompany,2/27/2017,2/23/2017,1,145,Closed
BallStateUniversity,,,,,Closed
BankersLifeandCasualtyCompany,4/5/2017,1/25/2017,4,4,Closed
BarclaysBankDelaware,3/6/2017,1/5/2017,1,37,Closed
"BechtelOil,Gas&ChemicalsConstructionServices,Inc.",5/10/2017,4/27/2017,8,8937,Closed
BeckerLandscape,2/3/2017,2/2/2017,205,205,Closed
"BedrockManufacturingCompany,LLC",7/14/2017,3/1/2017,3,965,Closed
Benchmark,2/24/2017,10/23/2017,,,Closed
"BettyLou's,Inc.",6/30/2017,2/17/2017,2,453,Closed
BiomedicalSystemsCorporation,3/13/2017,3/2/2017,1,405,Closed
"BlittandGaines,P.C.",4/7/2017,2/16/2017,1,1,Closed
"Bloem,LLC",2/7/2017,1/10/2017,1,93,Closed
"BluestemBrands,Inc.",4/12/2017,3/24/2017,220,10259,Closed
BMOHarrisBank,3/17/2017,,1201,,Closed
BMOHarrisBankN.A.,5/31/2017,5/15/2017,1726,38391,Closed
BMV,6/21/2017,5/21/2017,1,1,Closed
BMV*,,,,,Closed
"BolttechMannings,Inc.",6/23/2017,5/26/2017,2,14,Closed
"BostwickLaboratories,Inc.",3/2/2017,2/21/2017,2,269,Closed
BowlingGreenStateUniversity,1/3/2017,12/6/2016,1,,Closed
Brace Industrial Group/Platinum Scaffolding Services,4/22/2017,2/27/2017,12,1005,Closed
BramblesUSAInc.,9/19/2017,8/14/2017,5,105,Closed
BrandMortgage,9/18/2017,8/6/2017,1,329,Closed
BridgeInvestmentGroupLLC,6/12/2017,6/4/2017,8,1948,Closed
BrighamYoungUniversity,7/12/2017,6/1/2017,3,,Closed
BrooksBrothers,5/12/2017,4/4/2016,unknown,unknown,Closed
"Brown/Armstrong,PC",9/23/2017,,1,1003,Closed
"Brownells,Inc.",4/7/2017,2/9/2017,1,512,Closed
BrownsburgParksandRecreation,7/11/2017,7/7/2017,1,1,Closed
"Bulletproof360,Inc.",3/21/2017,10/26/2016,363,28033,Closed
BurdetteSmith&BishLLC,7/14/2017,3/23/2017,47,14185,Open
CaesarsEntertainment,9/1/2017,8/5/2017,2,162,Closed
"CaliberHomeLoans,Inc.",6/23/2017,1/18/2017,12338,144644,Open
CamelotEducation,3/2/2017,2/22/2017,1,1427,Closed
CampbellCountyHealth,1/27/2017,1/25/2017,2,1456,Closed
CampbellUnionHighSchoolDistrict,6/1/2017,,1,,Closed
CapitalFirstTrustCompany,5/10/2017,12/1/2016,1,81,Closed
"Carranco&Lawson,PC",8/3/2017,1/7/2017,1,779,Closed
CayanLLC,3/1/2017,2/9/2017,1,331,Closed
"CBRE,Inc.",7/12/2017,8/1/2016,2,94,Closed
"CBSConsolidated,Inc.,d/b/aCornerstoneBusiness&ManagementSolutions",8/28/2017,,595,21847,Open
"CCCRestaurantEnterprises,LLC",1/18/2017,5/5/2016,,,Closed
"CCSTechnologyGroup,LLC",1/18/2017,10/19/2016,1,,Closed
CenturyLink,2/20/2017,1/30/2017,48,8161,Closed
Chang-ShengInc.DBADirectron.com,7/26/2017,1/30/2017,12,657,Open
"Char-Broil,LLC",5/24/2017,3/22/2017,545,17124,Closed
"Charleskomar&Sons,Inc.",1/26/2017,3/1/2015,437,25127,Closed
CharlesSchwabCoInc,7/19/2017,8/10/2016,6,442,Closed
CharlesSchwabCoInc,5/24/2017,6/1/2000,15,940,Closed
ChartwellHospitalityLLC,2/6/2017,1/25/2017,1,1636,Closed
"Chester,Inc.",2/9/2017,1/10/2017,53,53,Closed
ChicagoMethodistSeniorServices,5/1/2017,4/13/2017,2,669,Closed
"ChicagoTitleCompany,LLC",7/13/2017,6/30/2017,2,,Closed
"ChicagoTitleCompany,LLC",7/31/2017,7/21/2017,1,1,Closed
"ChicagoTitleCompany,LLC",2/13/2017,2/1/2017,1,1,Closed
"ChimesGourmet-RoxyTrading,Inc.",2/28/2017,1/22/2017,4,443,Closed
"ChipotleMexicanGrill,Inc.",5/26/2017,3/24/2017,unknown,unknown,Closed
Cigna,5/24/2017,,2,267,Closed
CintasCorporation,3/8/2017,1/26/2017,2,463,Closed
CitiBank,4/11/2017,3/27/2017,1,38,Closed
CitibankNA,3/29/2017,8/24/2016,1,33,Closed
CitibankNA,5/31/2017,5/16/2017,1,1,Closed
CitibankNA,3/1/2017,2/2/2017,1,5,Closed
CitizensMemorialHospitalDistrictandCitizensMemorialHealthcareFoundation,2/20/2017,2/8/2017,1,2504,Closed
"CityofHutchinson, Kansas",12/27/2016,11/9/2016,1,572,Closed
ClarkeUniversity,2/16/2017,2/7/2017,2,443,Closed
"ClarkRasmussenTaylor,CPAs",4/27/2017,4/11/2017,5,1361,Closed
ClarkSchaeferHackett,3/9/2017,2/7/2017,11,,Closed
CliftonLarsonAllenLLP,9/20/2017,6/14/2017,23,1239,Closed
"ClintonHealthAccessInitiative,Inc.",3/30/2017,3/14/2017,1,102,Closed
ClubQuartersHotels,7/12/2017,8/10/2016,126,92360,Open
"Clysar,LLC",5/26/2017,1/1/2017,1,329,Closed
CMACGM(America)LLC,2/24/2017,1/26/2017,1,337,Closed
Coatings&AdhesivesCorporation,7/20/2017,7/7/2017,1,189,Closed
"CoburnSupplyCompany,Inc.",6/26/2017,4/30/2017,1,55,Closed
"Coley,Eubank&Company,P.C.",4/12/2017,2/20/2017,1,753,Closed
CollegeofSouthernIdaho,2/8/2017,2/2/2017,1,2509,Closed
"ColumbiaWestProperties,Inc.",7/26/2017,8/10/2016,27,4406,Open
ColumbusRegionalHealthPhysicians,4/21/2017,4/5/2017,1,1,Closed
"CombatBrands,LLC",4/14/2017,7/1/2015,420,37863,Closed
"ComfortTechnology,d/b/aTherafitShoes",3/16/2017,2/2/2017,16,445,Closed
"CommonBond,Inc.",12/29/2016,11/25/2016,28,1661,Closed
CommonwealthHealthCorporation,4/3/2017,8/1/2014,437,108919,Closed
CommunityHealthNetwork,6/2/2017,5/22/2017,1,1,Closed
CommunityHealthNetwork,6/20/2017,5/22/2017,1,1,Closed
CommunityHealthNetwork,8/28/2017,7/28/2017,1,,Closed
CommunityHealthNetwork,4/17/2017,3/24/2017,1,1,Closed
CommunityHealthNetwork,5/5/2017,3/27/2017,1,1,Closed
CommunityHealthNetwork,2/3/2017,1/19/2017,1,1,Closed
CommunityHealthNetwork-SecurityBreach,8/4/2017,7/28/2017,1,1,Closed
ContinentalAmericanInsuranceCompany,3/24/2017,2/15/2017,19,675,Closed
Cooper'sHawkIntermediateHoldingsLLC,4/4/2017,1/8/2017,5,27,Closed
"CoPilotProviderSupportServices,Inc.",1/17/2017,,1282,221178,Closed
CoreLogicCredco,8/29/2017,7/21/2017,3,2189,Closed
"CoreSource,Inc.",1/20/2017,9/6/2016,3,71,Closed
CovantaHoldingCorporation,7/14/2017,4/17/2017,3,258,Closed
CoveFamily&SportsMedicine,6/16/2017,4/14/2017,3,4300,Closed
CrescentMortgageCompany,8/24/2017,7/14/2017,10,,Closed
CrimsonTraceCorporation,6/1/2017,6/1/2016,171,6866,Closed
CrosmanCorporation,1/6/2017,12/6/2016,3,82,Closed
CSMBakerySolutions,5/2/2017,2/24/2017,4,949,Closed
"CTHRentals,LLC",2/14/2017,,3,,Closed
"CurriculumAssociates,LLC",9/7/2017,7/13/2017,6,102,Open
"CustomMechanicalSystems,Corp.",2/24/2017,2/22/2017,42,114,Closed
CuttersSports,5/1/2017,9/5/2016,28,2098,Closed
DallasCountyCommunityCollegeDistrict,6/16/2017,2/21/2017,1,1431,Closed
DardenRestaurants,1/30/2017,1/18/2017,138,268,Closed
"DavidTurrentine&Associates,Inc.",6/20/2017,3/30/2017,24,1948,Closed
DaytonaStateCollege,3/7/2017,,12,1917,Closed
"DBMGlobal,Inc.",1/7/2017,1/7/2017,7,5895,Closed
DeaconessHealthSystem-SecurityBreach,3/6/2017,2/13/2017,1,1,Closed
DeaconessHospital,6/30/2017,1/9/2017,5,5,Closed
DeaconessHospital,6/16/2017,1/24/2017,3,3,Closed
DeaconessHospital,6/1/2017,1/4/2017,3,3,Closed
DeaconessHospital,3/6/2017,2/13/2017,1,1,Closed
"DearbornMid-WestCompany,LLC",3/2/2017,1/26/2017,126,934,Closed
"DelawareNorthCompanies,Inc.",7/31/2017,8/10/2016,172,22201,Open
"DelekUSHoldings,Inc.",7/26/2017,5/23/2017,50,27123,Closed
DeloitteTaxLLP,5/4/2017,4/20/2017,2,2,Closed
DeltaCareerEducationCorporation,4/14/2017,2/13/2017,180,162120,Closed
DenihanHospitality,8/16/2017,8/10/2016,249,20612,Open
DenisonUniversity,2/8/2017,12/1/2016,2,,Closed
DermatopathologyLaboratoryofCentralStates,5/25/2017,10/6/2013,1,87,Closed
DiamondInstituteforInfertilityandMenopause,4/28/2017,1/14/2017,1,14633,Closed
DistributionInternational,1/27/2017,1/25/2017,106,1133,Closed
"DonaldsonCompany,Inc.",4/24/2017,3/24/2017,668,4487,Closed
"DrivelineRetailMerchandising,Inc.",2/14/2017,1/25/2017,405,15878,Closed
E.&J.GalloWinery,9/15/2017,8/18/2017,12,7730,Closed
"EasyBreathe,Inc.",3/27/2017,1/6/2017,1588,78759,Closed
"EbelharWhitelead,PLLC",8/17/2017,1/1/2017,2,54,Closed
EdgewoodManagementCorp.,4/18/2017,3/15/2017,2,1873,Closed
"eHealthinsuranceServices,Inc.",1/27/2017,1/20/2017,1,1010,Closed
EJWelchCompany,5/9/2017,2/3/2017,18,138,Closed
"ElkayPlasticsCo.,Inc.",3/8/2017,,1,243,Closed
ElkhartCountyProsecutorsOffice,7/5/2017,6/1/2017,2,2,Closed
EllisPartnersinManagementSolutions,3/1/2017,1/30/2017,5,389,Closed
EmployIndy,3/24/2017,10/3/2016,2045,2045,Closed
EnlowandMinskyCPA,9/7/2017,,11,353,Closed
"EnterpriseLeasingCompanyofIndianapolis,LLC",3/9/2017,2/17/2017,1,14,Closed
"Equian,LLC",5/5/2017,8/23/2016,63,299,Closed
EquifaxInc,9/7/2017,5/13/2017,3.8 million,143 million,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Closed
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Open
EquifaxIncorp.*,,,,,Closed
"eScreen,Inc.",12/22/2016,12/8/2016,1,1,Closed
EsembleHealthPartners,6/20/2017,5/26/2017,1,639,Closed
EvansHotels,9/1/2017,8/10/2016,52,2448,Closed
"EvansonAssetManagement,LLC",2/15/2017,1/9/2017,2,222,Closed
EvergreenTankSolutionsandWaterMovers,4/10/2017,3/27/2017,1,413,Closed
EversRobinson,8/15/2017,7/17/2017,2,286,Closed
ExamOne,4/18/2017,3/15/2017,1,1,Closed
ExamOne,4/14/2017,1/24/2017,1,1,Closed
ExamOne,9/12/2017,7/5/2017,1,1,Closed
ExamOne,5/22/2017,5/5/2017,1,1,Closed
ExamOne,1/30/2017,12/16/2016,1,1,Closed
ExeterFinanceCorp.,1/11/2017,11/25/2016,1,54,Closed
"ExtremeReach,Inc.",4/28/2017,2/8/2017,5,3800,Closed
"Faller,Kincheloe&Co.,PLC",3/14/2017,2/4/2017,5,3430,Closed
FamilyServicesRochester,2/17/2017,12/26/2016,26,17037,Closed
"FamilyTreeHealthClinic,P.A.",6/19/2017,4/24/2017,3,13402,Closed
FarmCreditMid-America,3/29/2017,11/30/2016,1,1,Closed
FarmersandMerchantsBank,9/21/2017,7/25/2017,4,10650,Open
FastHealthCorporation,5/26/2017,1/14/2016,87,18301,Closed
FederalDirectTaxServices,2/28/2017,1/2/2017,8,258,Closed
FederalHomeLoanBankofIndianapolis,8/18/2017,5/23/2017,84,119,Closed
FidelityNationalFinancialInc,6/8/2017,5/26/2017,1,1,Closed
FidelityNationalFinancialInc,5/4/2017,1/11/2017,1,236,Closed
"FiduciaryManagement,Inc.",9/6/2017,8/7/2017,42,3055,Open
FieldandMainBank,4/26/2017,3/13/2017,25,165,Closed
FirstNationalBankofPennsylvania,4/7/2017,11/3/2016,2,9358,Closed
FisherSpiegelKunkle&Gerber,7/6/2017,11/29/2016,1,292,Closed
FNBCBankandTrust,5/9/2017,6/28/2016,1,24,Closed
FoodSafetyNetServices,3/30/2017,3/3/2017,1,573,Closed
"FoodWarmingEquipmentCompany,Inc.",1/31/2017,1/23/2017,1,180,Closed
FranciscanHealthHammond,5/4/2017,1/20/2017,1,1,Closed
FranciscanHealthIndianapolis,6/29/2017,3/15/2017,1,1,Closed
FranciscanHealthIndianapolis,6/6/2017,5/22/2017,1,1,Closed
FranciscanHealthIndianapolis,8/16/2017,3/17/2017,1,1,Closed
FranciscanHealthIndianapolis,8/18/2017,5/22/2017,1,1,Closed
FranciscanHealthMichiganCity,6/22/2017,4/22/2017,1,1,Closed
FranciscanPhysicianNetwork,9/25/2017,8/28/2017,1,1,Closed
FranciscanPhysicianNetwork,5/31/2017,12/1/2016,3,3,Closed
FrederickCountyPublicSchools,12/29/2016,,2,905,Closed
"FreedomSmokes,Inc.",6/5/2017,3/7/2017,553,21957,Open
FrontierAirlines,5/19/2017,,6,3605,Closed
FrontierCo-Op,9/11/2017,5/12/2017,25,1500,Closed
FrontlineEducation,5/31/2017,4/21/2017,2,53,Closed
"FroschInternationalTravel,Inc.",2/13/2017,2/10/2017,2,,Closed
Frost&Sullivan,3/9/2017,3/3/2017,1,370,Closed
FSSA,8/21/2017,6/22/2017,1,1,Closed
FSSA,6/23/2017,6/23/2017,1,1,Closed
FSSA,8/24/2017,8/16/2017,1,1,Closed
FSSA,8/15/2017,8/9/2017,1,1,Closed
FSSA,9/18/2017,9/12/2017,1,1,Closed
FSSA-Breach Notification,4/17/2017,3/30/2017,1,1,Closed
FSSA-Breach Notification,4/28/2017,4/26/2017,1,1,Closed
FSSA-Breach Notification,6/12/2017,6/9/2017,1,1,Closed
FSSA-Breach Notification,2/13/2017,2/7/2017,1,1,Closed
FSSA-Breach Notification,3/20/2017,3/8/2017,1,1,Closed
"GameStop,Inc.",6/5/2017,8/10/2016,27537,1338102,Open
"GannettCompany,Inc.",4/28/2017,3/28/2017,1538,18100,Closed
"Gardiner&AppelGroup,Inc.",2/20/2017,1/16/2017,2,1281,Closed
GatorCasesInc,1/11/2017,,,,Closed
"GenoceaBiosciences,Inc.",2/10/2017,2/1/2017,1,134,Closed
"GenpactInternational,Inc.",5/8/2017,1/12/2017,156,8517,Closed
GeokineticsInc.,3/14/2017,1/25/2017,1,709,Closed
"GetWellNetwork,Inc.",3/17/2017,3/8/2017,1,,Closed
GlaxoSmithKline,3/28/2017,3/14/2017,1,36,Closed
"Goldberg,Miller&Rubin,PC",2/23/2017,10/25/2016,2,5700,Closed
"Goldenvoice,LLC",3/20/2017,9/1/2016,6,27000,Closed
"Golf & Ski Warehouse, Inc.",7/7/2017,3/8/2017,39,4176,Open
"GolfTecEnterprises,LLC",6/23/2017,3/22/2017,127,22914,Closed
GoogleInc.,6/29/2017,8/10/2016,6,,Closed
GoshenCommunitySchools,4/15/2017,,23,23,Closed
GPSHospitalityHoldingCompanyLLC,4/13/2017,2/2/2017,121,8814,Closed
"GraphikDimensions,Ltd.",12/28/2016,7/12/2016,181,14095,Closed
"GreatWolfResorts,Inc.",7/19/2017,8/10/2016,6,5000,Open
"Gross,Puckey,Gruel&Roof,P.C.",3/20/2017,2/19/2017,2,130,Closed
"GTDistributors,Inc.",8/25/2017,5/16/2017,5,1287,Closed
HaanCraftsLLC,3/23/2017,1/13/2017,31,134,Closed
