Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
ErieInsuranceGroup,6/13/2018,5/9/2018,2,25
ERPIronOreLLC,6/7/2018,12/1/2015,700,700
ESAManagementLLC,6/15/2018,,8,"1,324"
ESINorthAmericaInc,9/20/2018,5/9/2018,1,698
ExamOne,8/21/2018,7/26/2018,1,1
ExamOne,3/15/2018,2/12/2018,1,1
ExamOne,10/24/2018,9/11/2018,2,2
ExamOne,7/27/2018,7/7/2018,1,1
ExamOne,1/12/2018,12/27/2017,1,1
ExitOneHotelLLC,,,,
Experian,,,,
Facebook,,,,
FacebookInc,,,,
FairbanksNorthStarBorough,7/19/2018,4/14/2018,9,6346
FairchildMaddox&Leonidas,3/2/2018,,3,"2,365"
Family&SocialServicesAdministration,2/21/2018,1/31/2018,1,1
Family&SocialServicesAdministration,2/12/2018,2/5/2018,1,1
FareportalInc,5/10/2018,10/1/2017,1,"880,000"
FareportalInc,5/10/2018,10/1/2017,1,"880,000"
FarmCreditServicesofAmerica,5/15/2018,4/8/2018,1,114
FarmerBrosCo,12/11/2018,5/1/2018,22,2412
FarmgirlFlowersInc,5/11/2018,4/26/2018,24,"1,870"
FastHealthCorporation,2/27/2018,8/14/2017,"16,034","657,529"
FCCIServicesInc,9/17/2018,9/11/2018,1,1
FeconInc,2/28/2018,2/20/2018,1,218
FederalExpressCorporation,9/5/2018,8/30/2018,1,1
FeldEntertainmentInc,8/6/2018,4/5/2018,1,867
FidelityNationalFinancialonbehalfofChicagoTitleCompanyLLC,7/16/2018,7/2/2018,2,2
FirstGroupofAmericaInc,9/27/2018,8/1/2015,3,73
FirstMerchantsBank,5/18/2018,3/31/2018,223,223
FirstMerchantsBank,5/21/2018,4/26/2018,5,5
FirstMerchantsBank,3/28/2018,3/14/2018,25,315
FirstNationalBankofOmaha,8/31/2018,7/13/2018,1,31
FiveBelowInc,10/5/2018,8/14/2018,85,3234
FiveGuysHoldingsInc,11/2/2018,5/23/2018,13,"19,191"
FlemingCountySchools,2/20/2018,1/14/2018,1,160
FlexibleBenefitServiceCorporation,2/14/2018,11/21/2017,1098,19438
FloridaFarmBureauCasualtyInsuranceCompany,10/5/2018,6/27/2018,2,4000
FontainebleauMiamiBeach,2/8/2018,11/20/2017,2,158
FordMotorCompany,5/31/2018,3/13/2018,1,1
ForethoughtLifeInsuranceCompany,10/25/2018,10/10/2018,1,16
Forever21Inc,11/14/2017,4/3/2017,,
FoundationBuildingMaterialsLLC,5/23/2018,2/1/2018,31,1246
FrancescasServicesCorporation,11/19/2018,12/28/2017,1682,"84,275"
FranciscanACOInc,8/13/2018,7/6/2018,1,1
FranciscanAllianceInc,12/22/2018,10/22/2018,13,18
FranciscanHealthIndianapolis,1/17/2018,1/6/2018,2,2
FranciscanHealthIndianapolis,7/2/2018,2/26/2013,4,4
FranciscanHealthIndianapolis,9/4/2018,4/26/2018,15,19
FranciscanHealthIndianapolis,5/31/2018,4/18/2018,1,1
FranciscanPhysicianNetowrkdbaLowellHealthCenter,11/2/2018,9/19/2018,1,1
FranciscanPhysicianNetwork,11/9/2018,6/20/2018,1,1
FranciscanPhysicianNetwork,5/17/2018,2/15/2018,1,1
FranciscanPhysicianNetwork,6/12/2018,,16,17
FranciscanPhysicianNetwork,6/25/2018,2/2/2018,1,1
FranciscanPhysicianNetworkdbaCoolspringHealthCenter,11/9/2018,9/24/2018,1,1
FranciscanPhysicianNetworkDyerFamilyHealthCenter,,,,
FranciscanUniversityofSteubenville,11/30/2018,10/1/2018,49,2400
FranciscanVNSHomeCare,5/11/2018,4/13/2018,30,30
FredUsingerInc,3/29/2018,9/24/2017,644,"35,147"
FreeSpeechSystemsLLC,12/14/2018,11/12/2018,21,1290
FriedrichAirConditioningCo,4/2/2018,2/7/2018,1,117
FrostBank,,,,
FSSAonbehalfofConduent,,,,
FSSAonbehalfofDXC,,,,
FSSAonbehalfofPhoenixDataCorporation,10/1/2018,9/19/2018,2,2
FundingCircleUSAInc,3/30/2018,6/1/2017,149,"10,796"
GallagherBassettServicesInc,8/3/2018,9/1/2013,4,1933
GamePlanAdvisorsIncWoottonFinancialGroup,6/26/2018,4/1/2018,2,1286
GarretsonResolutionGroupInc,8/30/2018,4/4/2018,29,1327
GeneralElectricCreditUnion,11/26/2018,9/1/2018,5,280
GeorgeCorleyWallaceStateCommunityCollege,,,,
GHGGreyhealthGroupLLC,2/15/2018,1/25/2018,1,683
GibsonGeneralHospital,,,,
GivaudanFlavorsCorporationandGivaudanFragrancesCorporation,10/9/2018,9/7/2018,21,4200
GlobalLTInc,,9/5/2018,,
GlobalUniversity,5/8/2018,12/31/2017,"3,018","139,810"
GoldenLiving,,,,
GoldleafPartnersServicesInc.,,,,
GoldSilver,12/19/2018,9/28/2018,9,3465
GoodwillofCentralandSouthernIndianaInc,9/4/2018,8/29/2018,1,1
GoodyTickets,10/9/2018,9/15/2018,3,259
GoogleLLC,,,,
GreatBancTrustCompany,6/15/2018,10/23/2017,166,"10,023"
GS1USInc,10/25/2018,7/7/2017,845,"78,907"
"GuaranteedRate,Inc.",1/12/2018,6/9/2017,"2,610","187,788"
GuaranteedRateInc,6/12/2018,11/1/2017,60,"5,956"
GuardianConsumerServiceIncdbaPavasoInc,7/20/2018,6/22/2018,1,99
GuardianLIfeInsuranceCompanyofAmerica,3/29/2018,2/21/2018,1,1
GYAgemniLLC,3/16/2018,11/1/2017,6,320
HairbowCenterLLC,10/25/2018,,3,125
HallmarkHomeMortgage,1/12/2018,,6,2816
HallStructuredFinance,11/2/2018,9/12/2018,2,122
HarleyDavidsonMotorCompanyInc,12/6/2018,8/27/2018,11,959
HasbroInc,8/7/2018,9/15/2017,1,"2,039"
Hatscom,11/14/2018,8/18/2018,21,1268
HaynesFurnitureCompanyIncorporated,5/10/2018,5/2/2018,1,109
HeacockInsuranceGroupLLCandHeacockPayrollLLC,7/12/2018,2/23/2018,53,"4,348"
HealthandHospitalCorporationofMarionCounty,7/30/2018,7/30/2018,1,1
HealthandHospitalCorporationofMarionCounty,8/6/2018,7/20/2018,1,1
HealthandHospitalCorporationofMarionCounty,8/2/2018,7/19/2018,7,7
HealthandHospitalCorporationofMarionCounty,4/12/2018,4/3/2018,1,1
HealthandHospitalCorporationofMarionCounty,7/13/2018,7/2/2018,1,1
HealthandHospitalCorporationofMarionCounty,9/4/2018,9/4/2018,1,1
HealthandHospitalCorporationofMarionCounty,6/26/2018,6/1/2018,13,13
HealthandHospitalCorporationofMarionCounty,9/5/2018,8/27/2018,1,1
HealthandHospitalCorporationofMarionCounty,8/3/2018,6/8/2018,1,1
HealthandHospitalCorporationofMarionCounty,8/7/2018,6/5/2018,32,32
HealthandHospitalCorporationofMarionCountydbaFranklinMeadows,11/27/2018,11/13/2018,1,1
HealthandHospitalCorporationofMarionCountydbaRosewalkVillage,12/6/2018,11/16/2018,1,1
HealthandWellnessofCarmel,,,,
HealthAuthorityfortheCityofHuntsville,11/8/2018,5/8/2018,18,"18,156"
HealthCareServiceCorporation,6/4/2018,4/19/2017,6,161
HealthEquityInc,6/12/2018,4/11/2018,123,"23,020"
HealthEquityInc,11/27/2018,9/4/2018,"4,468","189,957"
HealthFitnessLLC,9/14/2018,8/1/2015,3,73
HealthManagementConceptsInc,8/22/2018,7/19/2018,1,2583
HearthmarkLLC,9/21/2018,,1,1
"HeartlandBenefitPlanAdministrators,LLC",2/26/2018,11/29/2017,1,55
HeartlandHotelCorporation,10/25/2018,9/25/2018,1,2011
HellyHansenAS,7/20/2018,4/20/2018,10,"3,817"
HemenwayandBarnes,11/2/2018,9/1/2018,1,2116
HoosierHillsCreditUnion,8/22/2018,8/11/2018,150,150
HopebridgeLLC,8/31/2018,3/1/2018,18,23
HRUInc,,3/5/2018,,35
HRUInc,6/12/2018,3/5/2018,5,35
HSBCBankUSANA,11/26/2018,10/29/2018,3,903
HSBCBankUSANA,11/9/2018,10/4/2018,43,6733
HSBCBankUSANA,7/23/2018,6/11/2018,2,935
HudsonRiverHealthCareInc,3/7/2018,2/12/2018,2,1502
HudsonsBayCompany,4/27/2018,7/1/2017,,
HumanaInc,6/21/2018,6/3/2018,6,249
HumanaInc,9/26/2018,9/18/2018,1,6
HumanaInc,6/4/2018,1/17/2018,72,"6,836"
HumanaInc,9/26/2018,9/18/2018,1,6
HumanaInc,8/28/2018,8/17/2018,9,287
HumanaInc,9/21/2018,8/30/2018,4,24
IBJMediaCorporation,2/16/2018,1/17/2018,164,182
IDEM,5/21/2018,4/30/2018,1,1
IDEM,5/21/2018,2/16/2018,1,1
IDEM,1/22/2018,10/9/2017,1,1
IDEM,,9/4/2017,1,1
IDEM,6/12/2018,4/24/2018,1,1
IllinoisAutoElectricCo,10/12/2018,9/25/2018,46,177
ImpactAssetsInc,11/2/2018,8/28/2018,11,1216
ImprivataInc,11/26/2018,9/4/2018,2,103
IndependenceCommunityCollege,11/23/2018,5/11/2018,20,4839
IndependentOfficeProductsandFurnitureDealersAssociation,9/28/2018,6/5/2018,1,65
Indiana Department of Workforce Development,12/21/2018,7/31/2018,1,1
IndianaBureauofMotorVehicles,12/20/2018,12/19/2018,1,1
IndianaBureauofMotorVehicles,7/16/2018,7/13/2018,1,1
IndianaBureauofMotorVehicles,11/8/2018,10/29/2018,1,1
IndianaBureauofMotorVehicles,4/20/2018,,1,1
IndianaBureauofMotorVehicles,3/20/2018,3/8/2018,1,1
IndianaBureauofMotorVehicles,3/16/2018,3/8/2018,1,1
IndianaBureauofMotorVehicles,7/16/2018,7/13/2018,1,1
IndianaBureauofMotorVehicles,12/12/2018,12/12/2018,1,1
IndianaBureauofMotorVehicles,4/4/2018,3/28/2018,1,1
IndianaBureauofMotorVehicles,7/23/2018,7/10/2018,3,3
IndianaBureauofMotorVehicles,9/4/2018,8/29/2018,1,1
IndianaDepartmentofAdministration,12/10/2018,12/7/2018,0,2
IndianaDepartmentofEnvironmentalManagement,9/21/2018,10/5/2017,1,1
IndianaDepartmentofWorkforceDevelopment,3/6/2018,2/13/2018,22,23
IndianaDepartmentofWorkforceDevelopment,12/21/2018,11/12/2018,11,11
IndianaDepartmentofWorkforceDevelopment,10/22/2018,,2259,2645
IndianaDepartmentofWorkforceDevelopment,8/15/2018,7/27/2018,390,555
IndianaHorseRacingCommission,,,,
IndianapolisAirportAuthority,11/29/2018,9/21/2018,332,341
IndianapolisNeighborhoodHousingPartnership,7/24/2018,6/21/2018,5,5
IndianapolisNeighborhoodHousingPartnership,10/12/2018,10/5/2018,1,1
IndianaPublicRetirementSystem,8/17/2018,8/17/2018,1,1
IndianaStatePersonnelDepartment,9/21/2018,9/18/2018,2,2
IndianaUniversity,10/24/2018,7/4/2018,1,1
IndianaUniversity,10/9/2018,9/24/2018,27,22
IndianaUniversity,2/21/2018,2/9/2018,1,1
IndianaUniversity,,,,
IndianaUniversityHealthInc,3/5/2018,1/31/2018,7,92
IndianaUniversityHealthInc,6/11/2018,4/12/2018,3,3
InnovateHR,2/16/2018,2/15/2018,225,931
InnovateHR,2/16/2018,2/15/2018,225,931
InogenInc,4/13/2018,12/9/2017,843,"29,528"
InsightPrivateAdvisorsLLC,3/6/2018,1/23/2018,2,55
InsightSourcingGroup&SpendHQ,1/23/2018,11/30/2017,2,123
InsmedInc,9/17/2018,7/16/2018,1,522
InspireHomeLoansInc,3/29/2018,12/1/2017,1,"5,403"
InstituteforSupplyManagement,4/5/2018,1/25/2018,3,246
InternationalManagementAdvisorsLtd,5/18/2018,4/26/2018,6,696
InternationalSocietyofExplosivesEngineers,10/26/2018,8/9/2018,2,133
"InterstatePlastics,Inc.",3/6/2018,10/27/2017,16,"1,031"
IntervalInternationalInc,4/4/2018,1/1/2016,11,"1,413"
IntuitInc,,,1,1
IntuitInc,,,11,11
IntuitInc.,,,8,8
IntuitInc.,,,9,9
IntuitInc.,,2/13/2018,34,34
IntuitInc,,5/20/2018,1,1
IntuitInc,,,7,7
IntuitInc,5/15/2018,4/16/2018,2,2
IntuitInc,,3/15/2018,9,9
InvacareCorporation,3/15/2018,1/12/2018,5,187
iRemedyHealthcareCompaniesIncformerlyPacquinHealthcareCompaniesInc,6/29/2018,10/1/2017,10,390
IslandOutdoorLLC,3/15/2018,11/1/2017,29,979
ISSSolutionsInc,3/7/2018,1/23/2018,10,"2,295"
IthacaCollege,3/14/2018,7/14/2017,2,143
IthacaCollege,6/13/2018,3/8/2018,2,359
IUHealthMethodistHospital,,,1,1
"JemisonInternalMedicine,PC",2/16/2018,12/20/2017,3,"6,229"
JenniferMillerLTD,11/12/2018,2/1/2018,11,1050
JESandiferFinancialConsultantsInc,8/2/2018,6/27/2018,8,357
JewishFederationofCincinnati,7/9/2018,5/14/2018,3,812
JoAnnJodyHendryx,11/16/2018,8/24/2018,53,67
Jobscience,,,,
JohnYTrent&AssociatesLLC,4/4/2018,9/29/2017,10,"3,348"
JointCommissionResourcesInc,8/28/2018,5/15/2018,1,191
JonesLangLaSalle,11/14/2018,5/15/2018,1,106
JulepBeautyInc,11/7/2018,10/12/2018,13,1150
JulianSurCPA,,,,
KARAuctionServicesInc,9/4/2018,9/4/2018,2,2
KaskaskiaCollege,6/12/2018,3/12/2018,6,659
KemcoSystemsCoLLC,11/9/2018,,4,
KHISolutionsInc,3/16/2018,3/16/2018,1,1
"Kindig, Heather",,,,
KindredHealthcare,3/29/2018,3/27/2018,1,1
KindredHospitalNorthwest,1/26/2018,1/11/2018,1,1
King&AssociatesCPAPC,3/23/2018,7/15/2017,4,2009
KingstonHealthcareCompany,2/14/2018,1/30/2018,,
KirbyandAssociatesPC,5/15/2018,2/15/2018,1,494
KMSFinancialServicesInc,12/3/2018,9/29/2018,2,364
KnapeandVogtManufacturingCompany,5/9/2018,2/10/2017,5,"1,873"
"KPVentures,LLC",2/15/2018,,2,5
KuligAccountingInc,9/10/2018,5/5/2018,3,2378
LAFashionEnterpriseLTD,7/19/2018,12/7/2017,5,"34,097"
LandOLakesInc,10/8/2018,8/27/2018,1,1
LeadershipPlatformAcquisitionCorporation,3/28/2018,1/31/2018,8,"1,095"
LeafFilterNorthLLC,10/4/2018,4/1/2018,26,2310
LehmanRobertsCompany,5/31/2018,2/21/2018,3,
"LendkeyTechnologies,Inc.",2/15/2018,6/27/2016,50,"6,403"
LibertyMutualInsuranceCompany,11/30/2018,,1,1
LifeskillsInc,2/5/2018,2/5/2018,1,246
LifeSpanInc,7/9/2018,7/4/2018,1,91
LifeTimeInc,1/11/2018,1/9/2018,1,15
LILLEbaby,8/28/2018,6/1/2016,873,"37,000"
LincolnFinancialGroup,5/1/2018,4/11/2018,1,18
LipscombandPittsInsuranceLLC,8/29/2018,3/19/2018,5,1592
LipscombandPittsInsuranceLLC,7/6/2018,1/20/2018,1,457
LiquidityServices,10/12/2018,4/1/2018,274,3000
LITaxandPlanningInconbehalfofLITax78Inc,4/16/2018,11/1/2017,5,"3,882"
LiteraMicrosystems,12/20/2018,3/18/2018,2,11
LJCooperCapitalManagementLLCdbaLJCooperWealthAdvisors,10/18/2018,9/18/2018,3,1202
L'OccitaneIncDBAL'OccitaneenProvence,6/22/2018,5/1/2018,4,329
LogansportMemorialHospital,10/5/2018,9/11/2018,1,1
LoneStarAgCredit,4/26/2018,,2,"1,500"
LordandTaylor,,,,
LosAngelesPhilharmonic,2/16/2018,2/14/2018,2,"2,442"
LoyolaUniversityofChicago,7/30/2018,7/17/2018,27,
LPLFinancialLLC,11/17/2018,11/1/2018,"4,551","270,000"
LPLFinancialLLC,4/10/2018,2/20/2018,1,297
LPNewburghLLC,8/27/2018,8/6/2018,1,1
LundbergFamilyFarms,11/21/2018,3/26/2018,2,201
LutzandCarrCPAsLLC,6/7/2018,,1,"1,657"
LutzandCompanyPC,9/21/2018,7/25/2018,3,1414
LuxuryRetreats,5/24/2018,9/7/2017,2,345
LyricOperaofChicago,10/26/2018,9/26/2018,8,302
MacysInc,7/3/2018,4/26/2018,"2,075","162,507"
MaestroHealthInc,8/17/2018,7/23/2018,5,57
MainLineArts,4/26/2018,2/9/2018,1,
Make?upDesignory,2/2/2018,1/24/2018,7,670
"MakeupGeek,LLC",1/31/2018,12/4/2017,30,"2,385"
MalleysChocolates,4/30/2018,3/18/2018,29,3486
Manduka,3/26/2018,2/22/2017,665,"64,270"
MarionCountyBank,6/12/2018,4/5/2018,2,"5,799"
MaronElectricCompany,5/11/2018,10/17/2017,17,274
MarriottInternationalInc,11/30/2018,,,"500,000,000"
MassachusettsMutualLifeInsuranceCompany,10/8/2018,9/24/2018,2,2
MatrixDesignGroupInc,7/20/2018,,2,700
MatrixServiceCompany,9/14/2018,4/23/2018,1,321
"McKenzie, Jessica",,,,
McMahanThomsonandAssociates,4/27/2018,12/2/2017,15,"2,677"
MCRInvestorsLLC,4/23/2018,3/11/2018,3,"6,178"
MeadowLakesofMooresvilleLLCdbaMeadowLakes,12/5/2018,1/15/2018,3,3
MedAssociatesInc,6/14/2018,3/22/2018,2,"276,057"
MedEvolve,7/10/2018,3/29/2018,99,"204,607"
MedProGroupdbaIndianaPatient'sCompensationFund,3/19/2018,12/22/2017,36,36
MedSheildInc,,,1,1
Medtronic,11/21/2018,,,
MedWatchLLC,4/13/2018,10/20/2017,41,506
MemberBusinessServicesLLCdbaCommercialAlliance,5/14/2018,1/26/2018,35,"7,475"
MemberFirstMortgageLLC,1/26/2018,11/25/2017,640,"36,840"
MennoniteDisabilitiesCommitteeIncdbaGoldenrod,6/8/2018,6/5/2018,1,1
MercyHealthLoveCountyHospitalandClinic,2/26/2018,,4,"14,229"
MetropolitanLifeInsuranceCompany,12/14/2018,9/10/2018,1,104
MiamiCorrectionalFacility,2/8/2018,2/5/2018,465,465
"Mindlance,Inc.",1/19/2018,12/28/2017,48,"3,085"
MintieCorporation,3/27/2018,2/16/2018,2,349
MiseEnPlaceRestaurantServicesInc,4/13/2018,3/6/2018,1,"27,997"
MJInsurance,12/26/2018,9/26/2018,2,5375
MondelezGlobalLLC,8/16/2018,7/24/2018,2,105
"MoneyGramInternational,Inc.",2/23/2018,2/1/2018,1,81
MonticelloCentralSchoolDistrict,1/12/2018,11/1/2017,1,2598
MooreStephensTillerLLC,7/23/2018,4/6/2018,2,1032
MorganStanleySmithBarneyLLC,2/2/2018,1/23/2018,1,1
MountwestCommunityandTechnicalCollege,5/10/2018,3/11/2018,2,"1,154"
MovementMortgageLLC,8/31/2018,10/9/2017,179,"60,064"
MSKGroupPC,7/5/2018,5/7/2018,173,"566,236"
MuellerCPA,2/23/2018,11/8/2017,62,2921
MunroandCompanyInc,8/20/2018,7/21/2018,5,728
MutualofOmahaBank,11/1/2018,8/29/2018,1,47
NampaSchoolDistrict,3/14/2018,1/21/2018,1,"4,054"
NardellaandTaylorLLP,9/7/2018,3/27/2018,12,2987
NationalRailroadPassengerCorporation(Amtrak),5/23/2018,10/1/2017,34,"2,853"
NationalRecreationandParkAssociation,5/1/2018,1/14/2018,3,336
"NationalStores,Inc.",1/22/2018,7/16/2017,TBD,"609,064"
NaviauxDubowHarrisLLC,7/3/2018,1/12/2018,4,325
"Navistar,Inc.",2/13/2018,1/24/2018,17,253
NeilDDilorenzoCPAPC,3/9/2018,1/13/2018,1,963
NekoosaCoatedProductsLLC,8/13/2018,7/10/2018,1,720
Net32Inc,10/25/2018,9/22/2018,119,"10,000"
NeweggInc,11/15/2018,8/13/2018,"3,017","202,231"
NewHorizonsClinicalResearchLLC,4/2/2018,8/1/2017,3,221
NewPennFinancialLLCdbaShellpointMortgageServicing,10/2/2018,9/1/2018,1,157
NewYorkOncologyHematologyPC,11/16/2018,4/20/2018,21,"128,420"
NextGenHealthcareInc,11/16/2018,10/16/2018,,
NFMLending,12/14/2018,5/1/2018,16,7069
NFPProperty&CasualtyServicesInc,3/23/2018,3/13/2018,36,573
NordstromInc,11/5/2018,10/9/2018,603,"107,106"
North40Outfitters,2/23/2018,1/20/2017,194,14734
NorthAmericanPowerandGasLLC,8/6/2018,,66,"8,690"
NorthAmericanRiskServicesInc,8/31/2018,2/7/2018,368,2693
NorthbayHealthcareCorporation,10/30/2018,5/8/2018,1,1567
NorthsideAnesthesiaServicesLLC,1/17/2018,11/20/2017,,75
NorthTexasMedicalCenter,4/23/2018,2/9/2018,1,"3,350"
NorthwestSurgicalSpecialistsPCdbaReboundOrthopedicsNeurosurgery,10/5/2018,5/22/2018,1,2245
NorthwestUniversity,6/29/2018,2/12/2018,5,1802
NotreDameClinicalLawCenter,9/15/2018,7/25/2018,2,2
NotreDamedeNamurUniversity,6/20/2018,4/23/2018,4,"2,879"
NovareNationalSettlementServiceLLC,6/21/2018,6/19/2018,1,1
OFDFoodsLLC,6/15/2018,4/13/2018,17,685
OhnwardBancsharesInc,4/17/2018,2/15/2018,1,125
OldRARIncformerlyRealAlloyRecyclingInc,7/6/2018,4/11/2018,888,3871
OldSecondNationalBank,6/11/2018,3/12/2018,18,"2,996"
Onco360andCareMedSpecialtyPharmacy,1/12/2018,4/9/2017,750,"53,173"
OneMainFinancial,2/6/2018,,58,1253
OneMainFinancial,4/27/2018,4/18/2018,1,1
OneMainFinancial,6/19/2018,6/6/2018,1,1
OneMainFinancial,7/17/2018,7/10/2018,1,1
OptomaTechnologyInc,7/26/2018,4/6/2018,7,685
Orbitz,3/22/2018,10/1/2017,"2,744","382,612"
OrrstownBank,8/28/2018,10/2/2017,26,"54,000"
OrthoIndyHospital,9/7/2018,9/7/2018,2,2
OSNationalLLC,12/7/2018,8/11/2018,6,57
OurHoneymoonWishesInc,8/3/2018,6/16/2018,3,220
OurPieceofthePie,11/9/2018,3/6/2018,2,"1,836"
OXO,11/1/2018,7/1/2018,41,3242
PACCARInc.,2/14/2018,1/22/2018,2,251
PacificManagementIncandNewFrontierManagementCorp,6/28/2018,1/12/2018,7,1251
ParadigmEquitiesInc,7/27/2018,7/14/2018,1,"1,131"
"PARElecrticalContractors,Inc.",2/5/2018,12/22/2017,355,"25,500"
ParkviewRegionalMedicalCenter,,8/1/2018,1,1
ParkwayCorporation,3/2/2018,2/14/2018,1,589
PeacefulValleyFarmSupply,9/12/2018,2/9/2018,234,"20,084"
PensionFundoftheChristianChurch,1/16/2018,10/12/2017,1954,"20,996"
PentairAquaticEcoSystemsInc.,1/26/2018,12/19/2017,2,239
PentegraServicesInc,11/16/2018,10/15/2017,1,301
PerfectCircleCreditUnion,6/29/2018,5/4/2018,62,105
PerformanceFoodGroupInc,9/19/2018,,"1,071","9,142"
Perry&AssociatesCPA'sA.C.,2/13/2018,7/7/2017,3,2450
PerryCountyMemorialHospital,,,,
PershingLLC,4/20/2018,1/31/2018,1,86
PF@ComInc,4/11/2018,2/20/2018,49,"4,423"
PharmacyTimesOfficeofContinuingProfessionalEducationLLC,11/13/2018,7/6/2018,883,"128,211"
PhysiciansHomeCare,7/17/2018,6/29/2018,1,1
PinnacleAdvisoryGroupInc,5/21/2018,3/20/2018,107,"1,706"
PinnacleTrailerSalesInc,7/16/2018,2/21/2018,1,"1,215"
PLAEInc,6/4/2018,3/15/2018,156,"9,627"
PlantTherapy,9/12/2018,7/17/2018,26,2043
PlantTherapy,7/13/2018,3/29/2018,417,"13,927"
PlatinumPartnersCreditOpportunitiesMasterFundLP,7/16/2018,3/19/2018,2,77
PleasantSolutions,12/6/2017,9/6/2017,1,134
PreferredHotels&Resorts,3/5/2018,6/20/2018,40,9182
PremierFixturesLLC,4/19/2018,1/17/2018,3,855
Presti&Naegele,3/15/2018,4/1/2017,4,"2,079"
PrincipalLifeInsuranceCompany?SecurityBreach,3/14/2018,3/9/2018,6,6
PrincipalLifeInsuranceCompany?SecurityBreach,11/5/2018,10/30/2018,1,1077
PrintingCenterUSAcom,5/25/2018,1/1/2018,40,
ProAssuranceIndemnityCompanyInc,3/9/2018,7/1/2012,45,45
ProfessionalGolfBallServicesLTD,6/18/2016,5/30/2016,31,2126
ProfessionalPublicationsInc,10/4/2018,3/9/2017,8,1162
ProSightSpecialtyInsurance,2/2/2018,2/1/2018,1,5
ProSightSpecialtyInsurance,2/2/2018,2/1/2018,1,5
ProsperMarketplaceInc,11/26/2018,10/3/2018,41,3115
PrudentialInsuranceCompanyofAmerica,10/11/2018,9/21/2018,16,1637
PrudentialInsuranceCompanyofAmerica,4/23/2018,3/29/2018,1,1
PrudentialInsuranceCompanyofAmerica,3/9/2018,1/19/2018,1,1
PrudentialInsuranceCompanyofAmerica,3/14/2018,1/22/2018,1,1
PsychiatricSpecialists,1/31/2018,,2,2
PurdueUniversity,5/25/2018,3/15/2018,110,110
PurdueUniversity,,,,
PurdueUniversity,7/13/2018,5/17/2018,"26,553","26,598"
QuadAssocLLC,10/18/2018,5/30/2018,"3,548",3855
QualifiedPlansLLC,6/6/2018,1/11/2018,258,"10,878"
QuantaTechnologyLLC,3/3/2018,3/2/2018,1,55
QuestNutrition,9/28/2018,11/10/2017,7,1552
RailEuropeNorthAmericaInc,4/30/2018,11/29/2017,173,"18,785"
RailEuropeSAS,5/11/2018,6/15/2017,26,"3,714"
RainforestAllianceHoldingInc,11/12/2018,10/3/2018,1,24
RamyBrookLLC,4/24/2018,3/18/2018,2,328
RBCRoyalBank,1/31/2018,10/3/2017,2,"66,000"
RBCWealthManagement,8/8/2018,,2,
RBCWealthManagement,5/16/2018,,1,
"Rea.deemingBeauty,Inc.d/b/abeautyblender",1/5/2018,4/23/2015,201,"18,133"
RedhorseCorporation,8/22/2018,2/28/2018,1,73
REDICOManagementInconbehalfofAmericanHouse,9/19/2018,9/10/2018,4,"3,852"
ReidHealth,10/30/2018,7/9/2018,1,1
REMIndianaInc,3/20/2018,12/21/2017,4,"7,520"
RemingtonHotelsLLC,3/2/2018,2/1/2018,1,313
"RemoteDBAExperts,LLC",2/1/2018,1/17/2018,2,281
RenaissancePhilanthropicSolutionsGroup,10/18/2018,6/5/2018,807,"33,663"
ResidentialCareXIIILLCdbaAsterPlace,10/30/2018,2/22/2018,73,73
RevUpGroupLLCDBARevUpSports,6/21/2018,9/19/2017,89,"3,576"
RichardOwenNurseryInc,9/5/2018,9/29/2017,297,"12,397"
RISEWisconsinInc,6/7/2018,4/8/2018,4,"6,470"
RiverCityMediaLLC,,,,
RiverMendHealthLLC,4/10/2018,3/27/2018,1,563
RMChin&AssociatesInc,3/21/2018,1/23/2018,1,71
RMHFranchiseHoldingsInc,3/2/2018,12/6/2017,,
RoadrunnerTransportationSystemsInc,9/10/2018,4/1/2018,775,9821
RobertGrahamDesignsLLC,12/7/2018,9/27/2018,12,
RoosLangan&McKendreeLLP,3/26/2018,2/15/2018,4,149
RosewoodHotelGroup,1/19/2018,5/29/2016,41,
RotaryInternational,3/13/2018,6/1/2017,14,"1,775"
RoundPointMortgageServicingCorporation?Data Breach,,11/26/2018,3,75
RRBowkerLLC,11/20/2018,5/1/2018,228,"18,578"
RushMemorialHospital,,,,
SABICInnovativePlastics,11/14/2018,5/15/2018,3,106
SaginawValleyStateUniversity,1/24/2018,11/26/2017,24,4949
SaksFifthAvenue,,,,
SalinBankandTrustCompany,7/13/2018,7/11/2018,8,8
SalterLabs,8/27/2018,4/9/2018,25,584
SanfordHeislerSharp,7/13/2018,5/9/2018,1,413
SanibelCaptivaTrustCompany,9/7/2018,7/30/2018,7,605
"SantaCruzBioTechnology,Inc.",2/22/2018,12/17/2017,1,2657
SchlageLockCompanyLLC,7/11/2018,7/10/2018,6,18
Scoppechio,1/26/2018,1/24/2018,27,204
Scrapbook.comLLC,10/19/2018,9/14/2018,14,728
SDIInc,3/2/2018,2/12/2018,2,409
SearsHoldingsManagementCorporation,4/25/2018,9/27/2017,"1,634","95,547"
SecurityNationalMortgageCompany,9/11/2018,5/4/2018,13,1631
SecurusTechnologiesInc,,5/15/2018,65,"1,700"
SEIULocal32BJ,5/25/2018,11/13/2017,13,"161,040"
